,sequence,labels,scores,Top 3
0,Inhaltsverzeichnis  Einleitung,gesundheit,0.3587057888507843,"[('gesundheit', 0.3587057888507843), ('none', 0.11850529909133911), ('bildung', 0.11836236715316772)]"
0,sssonnsnsssnnsnssnnnnnnsnnnnnnsnnnnnssnnnssnsnnnnssnnnsnnsnnnssssnnnnsnsnnsnsssnssnnsnnnee,none,0.2935680150985718,"[('none', 0.2935680150985718), ('bildung', 0.21231986582279205), ('gesundheit', 0.10927671939134598)]"
0,"Neue Verantwortung Deutschlands in der Welt - aus Überzeugung für Frieden,  Freiheit und Menschenrechte",bildung,0.444057822227478,"[('bildung', 0.444057822227478), ('gesundheit', 0.1409868746995926), ('politik und ideologie', 0.0987519845366478)]"
0,oossssssssssnnssssonnnnsssnnnnssnnnnsssnnnnsnsnnnnnsnnnsnssnnnne,none,0.2602071762084961,"[('none', 0.2602071762084961), ('bildung', 0.1726626455783844), ('soziale ursachen', 0.11932193487882614)]"
0,Stärkung der werte- und regelbasierten internationalen Ordnung,bildung,0.3940604031085968,"[('bildung', 0.3940604031085968), ('soziale ursachen', 0.13906925916671753), ('gesundheit', 0.1352655440568924)]"
0,Deutschland als Stabilitätsanker in der globalen Welt,bildung,0.48161429166793823,"[('bildung', 0.48161429166793823), ('gesundheit', 0.16646449267864227), ('soziale ursachen', 0.11976110190153122)]"
0,ueseesesesessessssesnssensennnnennen,bildung,0.2339172661304474,"[('bildung', 0.2339172661304474), ('none', 0.1706250011920929), ('politik und ideologie', 0.14624103903770447)]"
0,Aufbruch für die transatlantische Partnerschaft,bildung,0.46699947118759155,"[('bildung', 0.46699947118759155), ('gesundheit', 0.2742323577404022), ('soziale ursachen', 0.07777939736843109)]"
0,eeesessesessssesossenesnsnennnnenennenennnnennnnn,none,0.2255651205778122,"[('none', 0.2255651205778122), ('politik und ideologie', 0.14928899705410004), ('bildung', 0.13698172569274902)]"
0,Stabilität in ganz Europa,bildung,0.17023198306560516,"[('bildung', 0.17023198306560516), ('politik und ideologie', 0.15774250030517578), ('soziale ursachen', 0.15641403198242188)]"
0,esersesnenensenosnonnennsnennnnnnnsnnnnennsnennnnnsnennnnennnnnsnnsnsnennsnesnnnnssnsnnnennnn,none,0.3062775731086731,"[('none', 0.3062775731086731), ('bildung', 0.24746859073638916), ('politik und ideologie', 0.10909031331539154)]"
0,Besondere Verantwortung Deutschlands gegenüber Israel,gesundheit,0.40083882212638855,"[('gesundheit', 0.40083882212638855), ('bildung', 0.2642204463481903), ('politik und ideologie', 0.11596392840147018)]"
0,Neue Aufmerksamkeit für den asiatisch-pazifischen Raum,bildung,0.4109055697917938,"[('bildung', 0.4109055697917938), ('gesundheit', 0.3095707297325134), ('soziale ursachen', 0.06043808162212372)]"
0,eeeeeeseesesseeeeeennene,bildung,0.27367809414863586,"[('bildung', 0.27367809414863586), ('none', 0.17373406887054443), ('soziale ursachen', 0.14600005745887756)]"
0,Moderne und voll einsatzbereite Bundeswehr,gesundheit,0.29335203766822815,"[('gesundheit', 0.29335203766822815), ('none', 0.2635180950164795), ('bildung', 0.1739407181739807)]"
0,eesesessesossossenosnennnnnsnnnnnnennenenonnnnnen,none,0.17804156243801117,"[('none', 0.17804156243801117), ('bildung', 0.14784006774425507), ('politik und ideologie', 0.13926950097084045)]"
0,Für eine nachhaltige Entwicklung in der Einen Welt,bildung,0.3246264159679413,"[('bildung', 0.3246264159679413), ('gesundheit', 0.3001236319541931), ('wirtschaft', 0.09781006723642349)]"
0,uueseesessssessesssesnennenennnsnnnnnen,bildung,0.23014144599437714,"[('bildung', 0.23014144599437714), ('none', 0.19244542717933655), ('politik und ideologie', 0.1264137625694275)]"
0,Für eine Entwicklungspartnerschaft mit Afrika,bildung,0.4723703861236572,"[('bildung', 0.4723703861236572), ('gesundheit', 0.24129925668239594), ('wirtschaft', 0.09095902740955353)]"
0,eeessesessenesesnesennenennnnennnnenennenennnnenene,none,0.21408513188362122,"[('none', 0.21408513188362122), ('bildung', 0.1729271113872528), ('politik und ideologie', 0.14049813151359558)]"
0,Internationaler Klimaschutz zur Bewahrung der Schöpfung,klima,0.37901806831359863,"[('klima', 0.37901806831359863), ('gesundheit', 0.21352136135101318), ('bildung', 0.16361509263515472)]"
0,eesseneseenenneneno,bildung,0.23391304910182953,"[('bildung', 0.23391304910182953), ('none', 0.1955355405807495), ('gesundheit', 0.12971319258213043)]"
0,Neue Weltpolitikfähigkeit - mit Leidenschaft für ein starkes Europa,politik und ideologie,0.346810519695282,"[('politik und ideologie', 0.346810519695282), ('gesundheit', 0.2418350875377655), ('bildung', 0.23710140585899353)]"
