;label;score;sentence
0;neutral;0.9676231741905212;Deutschland
1;neutral;0.981593668460846;Aber normal
2;neutral;0.9834989905357361;normal
3;neutral;0.5016979575157166;Programm der Alternative für Deutschland für die Wahl zum  Deutschen Bundestag  AD
4;neutral;0.9633376002311707;Inhaltsverzeichnis  Demokratie und Rechtsstaat
5;neutral;0.9546517729759216;Das Volk ist der Souverän
6;neutral;0.9024910926818848;Volksabstimmungen nach Schweizer Modell
7;neutral;0.9469990134239197;Die Gewaltenteilung gewährleisten
8;neutral;0.7977818846702576;Entpolitisierung der Justiz
9;neutral;0.8708224296569824;Verfassungsschutz reformieren
10;neutral;0.8396300673484802;Trennung von Amt und Mandat und Kampf der Ämterpatronage
11;neutral;0.7884607911109924;Macht der Parteien beschränken
12;neutral;0.9832099676132202;Freie Listenwahl und freies Mandat
13;neutral;0.7977818846702576;Verkleinerung der Parlamente
14;neutral;0.9864417314529419;Berufspolitikertum: Mandats- und Amtszeiten begrenzen
15;neutral;0.9471656680107117;Lobbyismus eindämmen
16;neutral;0.9641247987747192;Freiheit und Verantwortung
17;neutral;0.9735907912254333;Bürgerlich-freiheitliche Rechtsordnung
18;neutral;0.967369794845581;Leistung statt Quote - Freiheit statt Diskriminierung
19;neutral;0.9773279428482056;Schutz der persönlichen Freiheit vor digitalen Übergriffen
20;neutral;0.9819874167442322;Hinweisgeber (Whistleblower) schützen
21;neutral;0.9641247987747192;EU und Europa
22;neutral;0.7490167021751404;Ein Europa der Vaterländer
23;neutral;0.8878549337387085;Zurückführung der Europäischen Union in einen Staatenbund souveräner Staaten
24;neutral;0.9641247987747192;Steuern und Finanzen
25;neutral;0.9447439312934875;Keine EU-Steuern
26;neutral;0.9765682220458984;Für ein Steuersystem mit wenigen Steuerarten und verständlicher Systematik
27;neutral;0.7977818846702576;Abschaffung der Substanzsteuern
28;neutral;0.9893475770950317;Wir wollen ein Land von Wohnungseigentümern werden
29;neutral;0.9654796123504639;Elementare Steuergerechtigkeit statt Nominalwertprinzip und Ungleichbehandlung von Steuerbürgern
30;neutral;0.9854975938796997;Besteuerung an Digitalzeitalter anpassen: Einführung einer Digitalsteuer
31;neutral;0.9676231741905212;Inhaltsverzeichnis
32;neutral;0.9815924763679504;Wirtschaft: Für einen „Blue Deal”
33;neutral;0.939207911491394;Wirtschafts- und Innovationspolitik für Deutschland
34;neutral;0.9539074897766113;Den Mittelstand entlasten
35;neutral;0.9804620742797852;Politisch induzierte Belastungen aussetzen
36;neutral;0.7049006223678589;Technologieführerschaft mit „Blue Deal”
37;neutral;0.9544732570648193;Soziale Marktwirtschaft statt sozialistischer „Industriepolitik“
38;neutral;0.9897906184196472;Der Euro ist gescheitert
