;label;score;sentence
0;neutral;0.4016084671020508;Deutschland
1;negativ;0.41029092669487;Aber normal
2;neutral;0.3911340534687042;normal
3;neutral;0.8973473906517029;Programm der Alternative für Deutschland für die Wahl zum  Deutschen Bundestag  AD
4;neutral;0.8688139319419861;Inhaltsverzeichnis  Demokratie und Rechtsstaat
5;neutral;0.5972861647605896;Das Volk ist der Souverän
6;neutral;0.8649945259094238;Volksabstimmungen nach Schweizer Modell
7;neutral;0.6615477204322815;Die Gewaltenteilung gewährleisten
8;negativ;0.7173449397087097;Entpolitisierung der Justiz
9;neutral;0.48779773712158203;Verfassungsschutz reformieren
10;neutral;0.5356305241584778;Trennung von Amt und Mandat und Kampf der Ämterpatronage
11;negativ;0.5334597826004028;Macht der Parteien beschränken
12;neutral;0.778800904750824;Freie Listenwahl und freies Mandat
13;negativ;0.48775598406791687;Verkleinerung der Parlamente
14;neutral;0.6900554299354553;Berufspolitikertum: Mandats- und Amtszeiten begrenzen
15;negativ;0.7202464938163757;Lobbyismus eindämmen
16;neutral;0.5725222229957581;Freiheit und Verantwortung
17;neutral;0.8397684097290039;Bürgerlich-freiheitliche Rechtsordnung
18;neutral;0.6592966914176941;Leistung statt Quote - Freiheit statt Diskriminierung
19;neutral;0.6063405275344849;Schutz der persönlichen Freiheit vor digitalen Übergriffen
20;neutral;0.8198025822639465;Hinweisgeber (Whistleblower) schützen
21;neutral;0.6892076134681702;EU und Europa
22;neutral;0.6931198239326477;Ein Europa der Vaterländer
23;neutral;0.7827903032302856;Zurückführung der Europäischen Union in einen Staatenbund souveräner Staaten
24;neutral;0.8328820466995239;Steuern und Finanzen
25;neutral;0.4978269934654236;Keine EU-Steuern
26;neutral;0.8474785685539246;Für ein Steuersystem mit wenigen Steuerarten und verständlicher Systematik
27;neutral;0.5947604775428772;Abschaffung der Substanzsteuern
28;neutral;0.6351879239082336;Wir wollen ein Land von Wohnungseigentümern werden
29;neutral;0.5020167827606201;Elementare Steuergerechtigkeit statt Nominalwertprinzip und Ungleichbehandlung von Steuerbürgern
30;neutral;0.7791364192962646;Besteuerung an Digitalzeitalter anpassen: Einführung einer Digitalsteuer
31;neutral;0.8094044923782349;Inhaltsverzeichnis
32;neutral;0.7480263113975525;Wirtschaft: Für einen „Blue Deal”
33;neutral;0.8428007960319519;Wirtschafts- und Innovationspolitik für Deutschland
34;negativ;0.8034011125564575;Den Mittelstand entlasten
35;negativ;0.7031872272491455;Politisch induzierte Belastungen aussetzen
36;neutral;0.5628437995910645;Technologieführerschaft mit „Blue Deal”
37;neutral;0.8102198243141174;Soziale Marktwirtschaft statt sozialistischer „Industriepolitik“
38;negativ;0.9517524242401123;Der Euro ist gescheitert
39;negativ;0.8643348813056946;Deutschland muss aus dem untergehenden Euro-System austreten
40;neutral;0.7006821632385254;Keine Schuldenaufnahme durch die EU, Hilfskredite nur aufnationaler Ebene
41;neutral;0.6836965680122375;Zusätzliche Inflationierung durch überzogene Corona-Mafsnahmen beenden
42;negativ;0.5624252557754517;EZB-Nullzinspolitik beenden
43;neutral;0.688198447227478;Wohlstand und sozialer Frieden in Europa durch Wiedereinführung nationaler Währungen
44;neutral;0.7143682837486267;Erhalt des Bargelds: Bargeld ist Freiheit und Schutz vor Enteignung und Totalüberwachung
45;negativ;0.6302107572555542;Target-Risiko beenden
46;neutral;0.7598593831062317;Nationale Investitionen
47;neutral;0.7370720505714417;Absicherung gegen die Eurokrise, Geldsystem reformieren, deutsches Staatsgold vollständig zurück nach Deutschland
48;neutral;0.7349791526794434;Außen- und Verteidigungspolitik
49;neutral;0.6715026497840881;Die Außenpolitik Deutschlands muss sich an deutschen Interessen ausrichten
50;neutral;0.8781967163085938;Das Verhältnis zu wichtigen Staaten im Wandel der Geopolitik
51;neutral;0.5760729312896729;Wiederherstellung der Wehrfähigkeit Deutschlands
52;neutral;0.8277166485786438;Entwicklungspolitik: Stabilität als Sicherheits- und Wirtschaftsinteresse
53;neutral;0.532993495464325;Deutschland muss seine wirtschaftlichen Stärken ausbauen
54;neutral;0.8620964288711548;Auswärtige Kultur- und Bildungspolitik Deutschlands
55;neutral;0.8121960163116455;Inhaltsverzeichnis  Innere Sicherheit
56;neutral;0.529682457447052;Linke Gewalt entschieden bekämpfen
57;negativ;0.6060919761657715;Wirksame Bekämpfung der Ausländerkriminalität
58;neutral;0.5230507850646973;Vollstreckung im Ausland
59;neutral;0.7248002290725708;Jugendstrafrecht
60;neutral;0.6501272916793823;Bundespolizei stärken - Grenzschutz ist nationale Aufgabe
61;neutral;0.6063402891159058;Reform der Polizei
62;neutral;0.45619016885757446;Fahndungsmöglichkeiten verbessern
63;negativ;0.5722092986106873;Organisierte Kriminalität bekämpfen
64;neutral;0.5708634853363037;Sicherheit der Bürger verbessern
65;negativ;0.5998682975769043;Strafjustiz verbessern
66;neutral;0.44101157784461975;Islam
67;neutral;0.8002180457115173;Migration, Asyl und Integration:  Human und rational handeln - Deutschland schützen
68;negativ;0.6689847111701965;Die Fluchtbewegungen des  Jahrhunderts können nicht mittels Aufnahme der Migranten in Europa und Deutschland bewältigt werden
69;negativ;0.8909123539924622;Asylmissbrauch beenden
70;negativ;0.8517149686813354;Die unlösbaren Folgeprobleme
71;negativ;0.8872434496879578;Asylparadies Deutschland schliefsen
72;neutral;0.7861661911010742;Abschiebung und Rückkehr
73;neutral;0.5766152739524841;Leben retten und soziale Gerechtigkeit herstellen
74;neutral;0.6312993168830872;Hilfe vor Ort statt Tod auf dem Weg nach Europa
75;neutral;0.6815715432167053;Zuwanderung wieder national regeln
76;neutral;0.817213773727417;Qualifizierte Zuwanderung
77;neutral;0.397595077753067;Integration
78;negativ;0.915033221244812;Die deutsche Staatsangehörigkeit ist ein kostbares Gut
79;neutral;0.8094044923782349;Inhaltsverzeichnis
80;neutral;0.5330709218978882;Familienpolitik
81;positiv;0.5833208560943604;Familien stärken und fördern
82;negativ;0.7742782235145569;Ursachen der demografischen Katastrophe
83;positiv;0.500790536403656;Leistungsfähigkeit der Familien erhalten
84;neutral;0.5509679913520813;Familien unterstützen
85;positiv;0.7011697888374329;Familienfreundliches Deutschland
86;neutral;0.6015375852584839;Kinderin den Familien belassen, Kindesentzug nur in Ausnahmefällen
87;neutral;0.5934632420539856;Willkommenskultur für Kinder
88;negativ;0.5209546685218811;Trennungsfolgen mindern
89;positiv;0.5644010901451111;Verantwortungsvolle Kinderbetreuung
90;neutral;0.8162106871604919;Das Geschlecht ist eine biologische Tatsache
91;neutral;0.8735902309417725;Arbeits- und Sozialpolitik
92;neutral;0.608146607875824;Zuwanderung von EU-Ausländern in unsere Sozialsysteme begrenzen
93;neutral;0.6784121990203857;Nationale Gesetzgebungshoheit im Sozialrecht verteidigen
94;neutral;0.6496673226356506;Keine Auszahlungen von Sozialleistungen auf ausländische Konten
95;neutral;0.5125854015350342;Lohndumping in der Leiharbeit verhindern
96;neutral;0.48942315578460693;Mindestlohn beibehalten
97;neutral;0.7925020456314087;Arbeitsleben würdigen - Arbeitslosengeld I gerecht gestalten
98;neutral;0.7878379821777344;Reform der Arbeitslosenversicherung
99;positiv;0.8524694442749023;Aktivierende Grundsicherung - Arbeit, die sich lohnt
100;neutral;0.7133327126502991;Finanzkontrolle Schwarzarbeit stärken
101;neutral;0.5580988526344299;Arbeitsrecht reformieren und vereinfachen
102;negativ;0.5903441309928894;Gezielte Mafßfnahmen gegen Wohnungs- und Obdachlosigkeit
103;neutral;0.7042377591133118;Mehr Arbeitsplätze mit fairer Entlohnung für schwerbehinderte Menschen
104;neutral;0.7476441264152527;Verbesserungen für Menschen mit Behinderungen in Krankenhäusern
105;neutral;0.874182403087616;Inhaltsverzeichnis  Das Rentenkonzept der AfD
106;neutral;0.6270593404769897;Renten zukunftsfest
107;neutral;0.6956737041473389;Freiheit beim Renteneintritt
108;negativ;0.6858140826225281;Altersarmut verhindern
109;neutral;0.5498724579811096;Abschaffung der Politikerpensionen
110;neutral;0.8671455979347229;Reduzierung des Beamtenstatus auf originär hoheitliche Aufgaben
111;neutral;0.6660962104797363;Lastengerechtigkeit zwischen Familien und Kinderlosen herstellen
112;negativ;0.5926653146743774;Ungerechtigkeiten bei der Überleitung der Ostrenten beseitigen
113;neutral;0.8164524435997009;Keine Doppelbesteuerung, Steuerfreibetrag anheben
114;neutral;0.6420114040374756;Umlagefinanzierte Rente stärken
115;neutral;0.5470999479293823;Wehrdienst rentenpolitisch würdigen
116;neutral;0.5653476715087891;Gesundheitspolitik
117;negativ;0.7264515161514282;Schluss mit den unverhältnismäfßigen Corona-Mafsnahmen
118;neutral;0.47986453771591187;Impfen muss freiwillig bleiben
119;neutral;0.8373804688453674;Einsetzung eines parlamentarischen Corona-Untersuchungsausschusses
120;neutral;0.7552802562713623;Krankenhäuser und Kliniken brauchen Planungssicherheit und  eine individuell auskömmliche Finanzierung
121;neutral;0.8918957710266113;Serviceorientierte ambulante Versorgung durch Beendigung  der Budgetierung
122;neutral;0.5567043423652649;Medizinische Versorgung auf dem Land wiederher und sichern
123;negativ;0.5491642951965332;Zugang zu Heil- und Hilfsmitteln entbürokratisieren
124;neutral;0.8097200989723206;Kurzzeitpflegeplätze in Krankenhäusern finanzieren
125;negativ;0.8627870678901672;Beendigung des Pflegenotstands
126;neutral;0.8872256875038147;Vorfahrt für die häusliche Pflege
127;neutral;0.7936248183250427;Vereinfachung und bessere Übersichtlichkeit in der  sozialen Pflege- und gesetzlichen Krankenversicherung
128;neutral;0.6760707497596741;Arzneimittelversorgung verlässlich machen
129;negativ;0.6325638890266418;Organspende, Sterbehilfe
130;neutral;0.6996023058891296;Cannabis nur iin der Medizin
131;neutral;0.5823951959609985;Antibiotikaresistenzen vermeiden und konsequent bekämpfen
132;neutral;0.7524418830871582;Den Beruf des Heilpraktikers erhalten
133;neutral;0.8723360896110535;Anforderungen an ausländisches Personal im Gesundheitswesen
134;neutral;0.8998064994812012;Souveränität des Patienten über seine Daten herstellen
135;negativ;0.43662959337234497;WHO grundlegend reformieren
136;neutral;0.8094044923782349;Inhaltsverzeichnis
137;neutral;0.7609156370162964;Bildung, Wissenschaft und Forschung
138;neutral;0.5983502268791199;Mut zur Leistung statt Akademisierungswahn
139;neutral;0.6970618367195129;Mehrgliedriges Schulsystem erhalten
140;neutral;0.5597726106643677;Berufliche Bildung stärken: Meister statt Master
141;negativ;0.5248140096664429;Digitalisierung ist kein Selbstzweck
142;neutral;0.781606137752533;Keine ideologisch motivierte Inklusion: Förder- und Sonderschulen erhalten
143;neutral;0.8573064208030701;Bildung und Migration
144;negativ;0.5709658861160278;Neutralität der Schule wiederherstellen
145;positiv;0.4754115343093872;Kompetenzorientierung entwertet Bildung
146;neutral;0.8872631192207336;Deutsches Kulturgut im Unterricht vermitteln
147;neutral;0.5147015452384949;Kein bekenntnisgebundener Islamunterricht an deutschen Schulen
148;neutral;0.5593605637550354;Keine Sonderrechte für Muslime an unseren Schulen
149;negativ;0.6975678205490112;Kein Koranunterricht durch verfassungsfeindliche Moscheevereine
150;neutral;0.6598560214042664;Keine Konfuzius-Institute an Öffentlichen Bildungseinrichtungen
151;negativ;0.9265201687812805;Bologna ist gescheitert: Diplom und Magister wieder einführen
152;positiv;0.48734161257743835;Autonomie der Hochschulen stärken, Freiheit von Forschung und Lehre bewahren
153;neutral;0.5473694205284119;Kein Geld für „Gender Studies‘, keine Gender-Quoten
154;neutral;0.38770791888237;Kultur
155;neutral;0.8014788031578064;Deutsche Leitkultur statt „Multikulturalismus‘
156;neutral;0.8233141303062439;Die deutsche Sprache als Zentrum unserer Identität
157;neutral;0.46662431955337524;Kulturförderung
158;neutral;0.47335830330848694;Brauchtum und Gedenken
159;neutral;0.3489520251750946;Medien
160;neutral;0.7584767937660217;Den öffentlich-rechtlichen Rundfunk neu gestalten
161;negativ;0.7249203324317932;„Cancel Culture” bekämpfen
