;text;topic
0;deutschland;Politik und Ideologie
1;normal;wirtschaft
2;normal;wirtschaft
3;programm alternative deutschland wahl   deutsch bundestag   ad;Politik und Ideologie
4;inhaltsverzeichnis   demokratie rechtsstaat;Politik und Ideologie
5;volk souverän;wirtschaft
6;volksabstimmung schweizer modell;Politik und Ideologie
7;gewaltenteilung gewährleisten;Politik und Ideologie
8;entpolitisierung justiz;Politik und Ideologie
9;verfassungsschutz reformieren;Politik und Ideologie
10;trennung amt mandat kampf ämterpatronag;Politik und Ideologie
11;partei beschränken;wirtschaft
12;frei listenwahl frei mandat;soziale Ursachen
13;verkleinerung parlament;Politik und Ideologie
14;berufspolitikertum mandat amtszeit begrenzen;wirtschaft
15;lobbyismus eindämmen;wirtschaft
16;freiheit verantwortung;Politik und Ideologie
17;bürgerlich-freiheitlich rechtsordnung;Politik und Ideologie
18;leistung quote freiheit diskriminierung;Politik und Ideologie
19;schutz persönlich freiheit digital übergriffen;Politik und Ideologie
20;hinweisgeber whistleblower schützen;Klima
21;eu europa;Politik und Ideologie
22;europa vaterländ;Politik und Ideologie
23;zurückführung europäisch union staatenbund souverän staat;Politik und Ideologie
24;steuer finanz;wirtschaft
25;eu-steuern;wirtschaft
26;steuersystem weniger steuerart verständlich systematik;wirtschaft
27;abschaffung substanzsteuer;Politik und Ideologie
28;land wohnungseigentümer;Politik und Ideologie
29;elementar steuergerechtigkeit nominalwertprinzip ungleichbehandlung steuerbürger;Politik und Ideologie
30;besteuerung digitalzeitalter anpassen einführung digitalsteuer;Politik und Ideologie
31;inhaltsverzeichnis;soziale Ursachen
32;wirtschaft blue deal;wirtschaft
33;wirtschaft innovationspolitik deutschland;wirtschaft
34;mittelstand entlasten;Politik und Ideologie
35;politisch induziert belastung aussetzen;Politik und Ideologie
36;technologieführerschaft blue deal;Klima
37;sozial marktwirtschaft sozialistisch industriepolitik;wirtschaft
38;euro scheitern;Politik und Ideologie
39;deutschland untergehend euro-system austreten;Politik und Ideologie
40;schuldenaufnahme eu hilfskredit aufnationaler ebene;wirtschaft
41;zusätzlich inflationierung überzogen corona-mafsnahme beenden;wirtschaft
42;ezb-nullzinspolitik beenden;wirtschaft
43;wohlstand sozial frieden europa wiedereinführung national währung;Politik und Ideologie
44;erhalt bargeld bargeld freiheit schutz enteignung totalüberwachung;Politik und Ideologie
45;target-risiko beenden;wirtschaft
46;national investition;wirtschaft
47;absicherung eurokrise geldsystem reformieren deutsch staatsgold vollständig deutschland;Politik und Ideologie
48;außen verteidigungspolitik;Politik und Ideologie
49;außenpolitik deutschland deutsch interesse ausrichten;Politik und Ideologie
50;verhältnis wichtig staat wandel geopolitik;wirtschaft
51;wiederherstellung wehrfähigkeit deutschland;Gesundheit
52;entwicklungspolitik stabilität sicherheit wirtschaftsinteres;wirtschaft
53;deutschland wirtschaftlich stärke ausbauen;Politik und Ideologie
54;auswärtig kultur bildungspolitik deutschland;Politik und Ideologie
55;inhaltsverzeichnis   innerer sicherheit;Wissenschaft
56;linke gewalt entschieden bekämpfen;soziale Ursachen
57;wirksam bekämpfung ausländerkriminalität;Politik und Ideologie
