;sequence;labels;scores;Top 3
0;Deutschland;politik und ideologie;0.19326242804527283;[('politik und ideologie', 0.19326242804527283), ('wirtschaft', 0.17945590615272522), ('bildung', 0.1641101837158203)]
0;Aber normal;gesundheit;0.3107350766658783;[('gesundheit', 0.3107350766658783), ('bildung', 0.16004319489002228), ('none', 0.10949734598398209)]
0;normal;bildung;0.1575945019721985;[('bildung', 0.1575945019721985), ('none', 0.13958488404750824), ('soziale ursachen', 0.13308924436569214)]
0;Programm der Alternative für Deutschland für die Wahl zum  Deutschen Bundestag  AD;politik und ideologie;0.3270588219165802;[('politik und ideologie', 0.3270588219165802), ('bildung', 0.3016239404678345), ('gesundheit', 0.1409069001674652)]
0;Inhaltsverzeichnis  Demokratie und Rechtsstaat;bildung;0.2805492579936981;[('bildung', 0.2805492579936981), ('politik und ideologie', 0.2511124014854431), ('gesundheit', 0.13894076645374298)]
0;Das Volk ist der Souverän;gesundheit;0.283884733915329;[('gesundheit', 0.283884733915329), ('politik und ideologie', 0.27331170439720154), ('bildung', 0.21079742908477783)]
0;Volksabstimmungen nach Schweizer Modell;bildung;0.291106253862381;[('bildung', 0.291106253862381), ('gesundheit', 0.1899188607931137), ('politik und ideologie', 0.17509934306144714)]
0;Die Gewaltenteilung gewährleisten;gesundheit;0.330179363489151;[('gesundheit', 0.330179363489151), ('bildung', 0.18599681556224823), ('soziale ursachen', 0.12389121949672699)]
0;Entpolitisierung der Justiz;politik und ideologie;0.43343740701675415;[('politik und ideologie', 0.43343740701675415), ('gesundheit', 0.178327277302742), ('bildung', 0.12227624654769897)]
0;Verfassungsschutz reformieren;gesundheit;0.17763151228427887;[('gesundheit', 0.17763151228427887), ('soziale ursachen', 0.16279365122318268), ('bildung', 0.15695743262767792)]
0;Trennung von Amt und Mandat und Kampf der Ämterpatronage;bildung;0.33126387000083923;[('bildung', 0.33126387000083923), ('gesundheit', 0.16038617491722107), ('soziale ursachen', 0.1574469804763794)]
0;Macht der Parteien beschränken;politik und ideologie;0.3960123658180237;[('politik und ideologie', 0.3960123658180237), ('bildung', 0.24983370304107666), ('gesundheit', 0.13777756690979004)]
