;label;score;sentence
0;neutral;0.9249787330627441;Inhaltsverzeichnis  Einleitung
1;negativ;0.4553879201412201;sssonnsnsssnnsnssnnnnnnsnnnnnnsnnnnnssnnnssnsnnnnssnnnsnnsnnnssssnnnnsnsnnsnsssnssnnsnnnee
2;neutral;0.666182279586792;Neue Verantwortung Deutschlands in der Welt - aus Überzeugung für Frieden,  Freiheit und Menschenrechte
3;negativ;0.3829501271247864;oossssssssssnnssssonnnnsssnnnnssnnnnsssnnnnsnsnnnnnsnnnsnssnnnne
4;negativ;0.46908795833587646;Stärkung der werte- und regelbasierten internationalen Ordnung
5;neutral;0.7620503306388855;Deutschland als Stabilitätsanker in der globalen Welt
6;negativ;0.4295295774936676;ueseesesesessessssesnssensennnnennen
7;positiv;0.7834515571594238;Aufbruch für die transatlantische Partnerschaft
8;negativ;0.46544504165649414;eeesessesessssesossenesnsnennnnenennenennnnennnnn
9;neutral;0.5825189352035522;Stabilität in ganz Europa
10;negativ;0.5200484991073608;esersesnenensenosnonnennsnennnnnnnsnnnnennsnennnnnsnennnnennnnnsnnsnsnennsnesnnnnssnsnnnennnn
11;neutral;0.4128994345664978;Besondere Verantwortung Deutschlands gegenüber Israel
12;neutral;0.8031717538833618;Neue Aufmerksamkeit für den asiatisch-pazifischen Raum
13;negativ;0.38501250743865967;eeeeeeseesesseeeeeennene
14;positiv;0.6776406764984131;Moderne und voll einsatzbereite Bundeswehr
15;negativ;0.47392284870147705;eesesessesossossenosnennnnnsnnnnnnennenenonnnnnen
16;neutral;0.6966972351074219;Für eine nachhaltige Entwicklung in der Einen Welt
17;negativ;0.5363402962684631;uueseesessssessesssesnennenennnsnnnnnen
18;neutral;0.7691637873649597;Für eine Entwicklungspartnerschaft mit Afrika
19;negativ;0.462005615234375;eeessesessenesesnesennenennnnennnnenennenennnnenene
20;neutral;0.6280311346054077;Internationaler Klimaschutz zur Bewahrung der Schöpfung
21;neutral;0.399347186088562;eesseneseenenneneno
22;positiv;0.630330502986908;Neue Weltpolitikfähigkeit - mit Leidenschaft für ein starkes Europa
23;positiv;0.6161537170410156;Ein starkes Deutschland in einem starken Europa
24;negativ;0.5586384534835815;euecereeesnesnsenesnsenseneennensennenennnene
25;neutral;0.8046582937240601;Mehr Europa in der Weltpolitik
26;negativ;0.4893219769001007;cuesecseesecssssnessesnennennesnennsennonennnenennnennennnnnennnnnennnnnne
27;neutral;0.5235453844070435;Nachhaltiges Europa
28;negativ;0.5435888767242432;ersesrsesossosesosnennenennennnnnnnnnennsnnnnennnnesnrnennennsnnsonnessenessennnnennnne
29;positiv;0.5173221230506897;Wettbewerbsfähiges und stabiles Europa
30;negativ;0.45559266209602356;eeeseesesessesesosnenonnenennenennnnennnnenennnnennnnnnnen
31;neutral;0.6956775784492493;Unser Europa der Ordnung und Sicherheit
32;negativ;0.5110805034637451;ursesssessenesnennnnennennnnennenennnnnnnnnnnnene
33;positiv;0.4790360927581787;Für ein modernes, innovatives und digitales Europa
34;negativ;0.5255047678947449;eeresersesesesnesosnennenonnennennnnnne
35;neutral;0.5305442214012146;Ein handlungsfähiges und bürgernahes Europa
36;negativ;0.5523850917816162;nuseesesesosssssosnsornensnnnnnnnnennnnnenen
37;positiv;0.47986629605293274;Neuer Wohlstand - mit nachhaltigem Wachstum zum klimaneutralen  Industrieland
38;negativ;0.47301334142684937;sssssnnssssnnnnsssnnsnnssnnnssnnnnnnnsnnnnnnsnnnnsssnnnnsnsnnnnsnsnsnnnnnne
39;neutral;0.8698417544364929;Unser Entfesselungspaket für die Wirtschaft
40;negativ;0.4328277111053467;uueeessesesossesesssnesnenennsnenennnnennnnenennenen
41;neutral;0.5952919721603394;Sichere Arbeit mit Zukunft
42;negativ;0.5212811231613159;uessessssesssesessnennsnenesnsnennnnsnennnnennnnenesnnnennsnenesnnnennsnenennnnen
43;neutral;0.6822690963745117;Deutschland als klimaneutrales Industrieland bis
44;negativ;0.48416590690612793;uessesessesossesoenennennennnonne
45;neutral;0.7101264595985413;Unser Energiekonzept für die Zukunft
