;label;score;sentence
0;neutral;0.9887366890907288;Zeitzu handeln
1;neutral;0.97918701171875;Für soziale Sicherheit, Frieden und Klimagerechtigkeit  WE Lelleigersägzlanlge zur Bundestagswahl
2;neutral;0.9471656680107117;DIE LINKE
3;neutral;0.9078100919723511;Wahlprogramm der Partei DIE LINKE zur Bundestagswahl
4;neutral;0.5898098945617676;Beschlossen auf dem Bundesparteitag am  und  Juni
5;neutral;0.9471656680107117;Inhalt  Einführung
6;neutral;0.9710228443145752;cccccccsscn
7;neutral;0.985380232334137;Es kommt auf unsaalle an
8;neutral;0.9266358017921448;Es kommt auf dich an
9;neutral;0.986974835395813;Wir lassen niemanden zurück
10;neutral;0.9904948472976685;Was uns bewegt
11;neutral;0.9846053123474121;cccceseenenenn
12;neutral;0.9896788597106934;Eine neue Politik für alle,  die sie längst verdient haben
13;neutral;0.9783948659896851;Mut zur Veränderung
14;neutral;0.986572265625;Gute Arbeit, gute Löhne -  Demokratie gilt auch im Betrieb
15;neutral;0.9891428351402283;Löhne, die für ein gutes Leben reichen
16;negativ;0.9601168632507324;Schluss mit dem Niedriglohn
17;neutral;0.981419563293457;Arbeitszeiten, die zum Leben passen
18;neutral;0.9846315383911133;Gute Arbeitsbedingungen,  weniger Belastungen
19;neutral;0.9589926600456238;Kein Umbau auf dem Rücken  der Beschäftigten:  Weiterbildungsanspruch für alle
20;neutral;0.966903805732727;Gleiche Rechte für Saisonbeschäftigte und Beschäftigte in Privathaushalten
21;neutral;0.9903319478034973;Union Busting stoppen, Gegenwehr stärken, Mitbestimmung ausweiten
22;neutral;0.9471656680107117;Gewerkschaften stärken
23;neutral;0.988783061504364;Gute Rente, gutes Leben: Solidarische Erwerbstätigenversicherung
24;neutral;0.9469990134239197;Soziale Sicherheit füralle
25;neutral;0.9769657254219055;Soziale Rechte: Eine gerechte Versicherung gegen Erwerbslosigkeit
26;neutral;0.9799389839172363;Bedarfsdeckende und sanktionsfreie individuelle Mindestsicherung
27;neutral;0.8751813769340515;Sofortmaßnahmen: Erhöhung der Regelsätze und Abschaffung  der Sanktionen
28;neutral;0.9665774703025818;Kinderarmut überwinden: Kindergrundsicherung
29;neutral;0.9850127696990967;Familien dort unterstützen,  wo siees brauchen
30;neutral;0.9767487049102783;ccccceen
31;neutral;0.9549521207809448;Selbstbestimmt im Alter
32;neutral;0.9884243011474609;Pflegenotstand stoppen
33;neutral;0.9662490487098694;Systemwechsel in Gesundheit und Pflege
34;neutral;0.9786431193351746;:ccseese:
35;neutral;0.9837049841880798;Eine neue solidarische Gesundheitsversicherung
36;neutral;0.9861302971839905;Eine solidarische Pflege-vollversicherung
37;neutral;0.9539074897766113;Pflegende Angehörige entlasten
38;neutral;0.9682714343070984;Öffentlichen Gesundheitsdienst  Ambulanter Bereich: Gute Versorgung vor Ort, inStadtundLand
39;neutral;0.9908340573310852;Die Macht der Pharmaindustrie brechen
40;neutral;0.7852507829666138;Gesundheitsforschung  Keine Profite mit Miete und Boden: Zuhause füralle
41;neutral;0.9896138310432434;Mietenwahnsinn und Verdrängung stoppen
42;neutral;0.9902417063713074;Hohe Mieten senken und gemeinnützige Wohnungswirtschaft aufbauen
43;neutral;0.9890950322151184;Spekulation  mit Grund und Boden beenden
44;neutral;0.9873392581939697;Sozialen und gemeinnützigen Wohnungsbau schaffen
45;neutral;0.9890177249908447;Wohnen ist keine Ware
46;neutral;0.9606067538261414;Rechte von Mieter*innen stärken
47;neutral;0.9767898917198181;Klimagerechtigkeit statt  Verdrängung
48;neutral;0.9856413006782532;cceenncn
49;neutral;0.985724687576294;Spekulation stoppen -  Gewinne abschöpfen
50;neutral;0.912684977054596;Immobilienkonzerne  an die Kettelegen
51;neutral;0.9857056140899658;Wohnen ist ein Grundrecht -  Wohnungen zuerst
52;neutral;0.9902101755142212;Städte zukunftsfest machen -  Leben in die Dörfer bringen
53;neutral;0.9863074421882629;Gute Bildung: Gerecht,  gebührenfrei,  ein Leben lang
54;neutral;0.9471656680107117;Gute Kitas
55;neutral;0.9614877104759216;ces
56;neutral;0.9823744297027588;Eine Schule für alle: inklusiv
57;neutral;0.9847816228866577;Gut ausgebildet
58;neutral;0.9471656680107117;Gute Weiterbildung
59;neutral;0.9834262132644653;Gutes Studium, gute Arbeitsbedingungen, gute Forschung
60;neutral;0.5826413631439209;cccsecece:
61;neutral;0.9865037202835083;Gute Wissenschaft braucht Gute Arbeit
62;neutral;0.9647156596183777;Investitionen in die soziale Infrastruktur
63;neutral;0.9832466244697571;cccc
64;neutral;0.9847238063812256;Transparente Forschung und gesellschaftliche Verantwortung:
65;neutral;0.9886520504951477;Klimaschutz sozial gerecht: Für einen sozialökologischen Systemwechsel
66;neutral;0.970615565776825;Die ökologische Krise Ist die große Überlebensfrage des  Jahrhunderts
67;neutral;0.9815185070037842;Gleichzeitig ist sie eine Klassenfrage
68;neutral;0.9886942505836487;Den ökologischen Umbau planen
69;neutral;0.9471656680107117;Sozialökologische  Investitionsoffensive
70;neutral;0.9765356183052063;ccccceececnn
71;neutral;0.9895634055137634;Investieren in gut bezahlte, klimaneutrale Jobs und die Infrastruktur für ein besseres Leben
72;neutral;0.9801158905029297;cc
73;neutral;0.9840850830078125;Arbeitsplatz- und Einkommensgarantien: Einstieg in ein neues Wohlstandsmodell
74;neutral;0.9861562252044678;Industriearbeitsplätze mit Zukunft schaffen
75;neutral;0.9377664923667908;Demokratie in der Wirtschaft
76;neutral;0.9804478883743286;Genossenschaften und solidarische Ökonomie fördern
77;neutral;0.9881777167320251;Gerechte Mobilität: Okologisch und bezahlbar  für alle - mit guten Arbeitsplätzen
78;neutral;0.9772835373878479;Mobilität für alle -  mit weniger Verkehr
79;neutral;0.9783055186271667;Bahn für alle
80;neutral;0.9591795206069946;Soziale und ökologische Verkehrsplanung
81;neutral;0.9890282154083252;Automobilindustrie  sozial und ökologisch umbauen
82;neutral;0.9879952073097229;Flugverkehr reduzieren
83;neutral;0.9888534545898438;Güterverkehr verringern  und auf die Schiene bringen
84;neutral;0.9641247987747192;Klimagerechtigkeit  und Energiewende
85;neutral;0.9904232025146484;Raus aus der Kohle,  Übergänge gerecht gestalten
