;label;score;sentence
0;neutral;0.600232720375061;Zeitzu handeln
1;neutral;0.8344359397888184;Für soziale Sicherheit, Frieden und Klimagerechtigkeit  WE Lelleigersägzlanlge zur Bundestagswahl
2;negativ;0.6610087156295776;DIE LINKE
3;neutral;0.8833528757095337;Wahlprogramm der Partei DIE LINKE zur Bundestagswahl
4;neutral;0.8910434246063232;Beschlossen auf dem Bundesparteitag am  und  Juni
5;neutral;0.5413994193077087;Inhalt  Einführung
6;negativ;0.5037841200828552;cccccccsscn
7;negativ;0.5542229413986206;Es kommt auf unsaalle an
8;neutral;0.8200533390045166;Es kommt auf dich an
9;neutral;0.5449756979942322;Wir lassen niemanden zurück
10;neutral;0.52660071849823;Was uns bewegt
11;neutral;0.42528849840164185;cccceseenenenn
12;positiv;0.6002337336540222;Eine neue Politik für alle,  die sie längst verdient haben
13;neutral;0.4692280888557434;Mut zur Veränderung
14;positiv;0.656406044960022;Gute Arbeit, gute Löhne -  Demokratie gilt auch im Betrieb
15;positiv;0.5035420656204224;Löhne, die für ein gutes Leben reichen
16;negativ;0.8214465379714966;Schluss mit dem Niedriglohn
17;positiv;0.5314333438873291;Arbeitszeiten, die zum Leben passen
18;neutral;0.5836310386657715;Gute Arbeitsbedingungen,  weniger Belastungen
19;neutral;0.724319338798523;Kein Umbau auf dem Rücken  der Beschäftigten:  Weiterbildungsanspruch für alle
20;neutral;0.8258037567138672;Gleiche Rechte für Saisonbeschäftigte und Beschäftigte in Privathaushalten
21;neutral;0.7172648906707764;Union Busting stoppen, Gegenwehr stärken, Mitbestimmung ausweiten
22;neutral;0.43501439690589905;Gewerkschaften stärken
23;positiv;0.6588894724845886;Gute Rente, gutes Leben: Solidarische Erwerbstätigenversicherung
24;neutral;0.6916692852973938;Soziale Sicherheit füralle
25;neutral;0.7377681732177734;Soziale Rechte: Eine gerechte Versicherung gegen Erwerbslosigkeit
26;neutral;0.6985234618186951;Bedarfsdeckende und sanktionsfreie individuelle Mindestsicherung
27;neutral;0.6956721544265747;Sofortmaßnahmen: Erhöhung der Regelsätze und Abschaffung  der Sanktionen
28;negativ;0.7895728945732117;Kinderarmut überwinden: Kindergrundsicherung
29;neutral;0.6749833822250366;Familien dort unterstützen,  wo siees brauchen
30;negativ;0.38106951117515564;ccccceen
31;neutral;0.7067409157752991;Selbstbestimmt im Alter
32;negativ;0.7992700934410095;Pflegenotstand stoppen
33;neutral;0.8919804692268372;Systemwechsel in Gesundheit und Pflege
34;neutral;0.43324175477027893;:ccseese:
35;neutral;0.8512474894523621;Eine neue solidarische Gesundheitsversicherung
36;neutral;0.8366659879684448;Eine solidarische Pflege-vollversicherung
37;negativ;0.7554180026054382;Pflegende Angehörige entlasten
38;neutral;0.8108519315719604;Öffentlichen Gesundheitsdienst  Ambulanter Bereich: Gute Versorgung vor Ort, inStadtundLand
39;negativ;0.9173150658607483;Die Macht der Pharmaindustrie brechen
40;negativ;0.5116856694221497;Gesundheitsforschung  Keine Profite mit Miete und Boden: Zuhause füralle
41;negativ;0.8709263205528259;Mietenwahnsinn und Verdrängung stoppen
42;neutral;0.6699548363685608;Hohe Mieten senken und gemeinnützige Wohnungswirtschaft aufbauen
43;neutral;0.540277361869812;Spekulation  mit Grund und Boden beenden
44;neutral;0.7084620594978333;Sozialen und gemeinnützigen Wohnungsbau schaffen
45;neutral;0.6464422345161438;Wohnen ist keine Ware
46;neutral;0.6662298440933228;Rechte von Mieter*innen stärken
47;negativ;0.5798022747039795;Klimagerechtigkeit statt  Verdrängung
48;neutral;0.4242516756057739;cceenncn
49;neutral;0.6932088136672974;Spekulation stoppen -  Gewinne abschöpfen
50;neutral;0.800389289855957;Immobilienkonzerne  an die Kettelegen
51;neutral;0.8509125113487244;Wohnen ist ein Grundrecht -  Wohnungen zuerst
52;neutral;0.6165581345558167;Städte zukunftsfest machen -  Leben in die Dörfer bringen
53;positiv;0.6738362908363342;Gute Bildung: Gerecht,  gebührenfrei,  ein Leben lang
54;positiv;0.5566578507423401;Gute Kitas
55;neutral;0.3716365396976471;ces
56;neutral;0.5988748073577881;Eine Schule für alle: inklusiv
57;positiv;0.6572393774986267;Gut ausgebildet
58;positiv;0.4896085262298584;Gute Weiterbildung
59;positiv;0.8617803454399109;Gutes Studium, gute Arbeitsbedingungen, gute Forschung
60;neutral;0.4712585210800171;cccsecece:
61;neutral;0.622838020324707;Gute Wissenschaft braucht Gute Arbeit
62;neutral;0.8660047054290771;Investitionen in die soziale Infrastruktur
63;neutral;0.5093713998794556;cccc
64;neutral;0.7992917895317078;Transparente Forschung und gesellschaftliche Verantwortung:
65;neutral;0.6447264552116394;Klimaschutz sozial gerecht: Für einen sozialökologischen Systemwechsel
66;negativ;0.7034422159194946;Die ökologische Krise Ist die große Überlebensfrage des  Jahrhunderts
67;neutral;0.7428653240203857;Gleichzeitig ist sie eine Klassenfrage
68;neutral;0.858647882938385;Den ökologischen Umbau planen
69;neutral;0.8353592157363892;Sozialökologische  Investitionsoffensive
70;negativ;0.455443412065506;ccccceececnn
71;neutral;0.5128037929534912;Investieren in gut bezahlte, klimaneutrale Jobs und die Infrastruktur für ein besseres Leben
72;neutral;0.5094184279441833;cc
73;neutral;0.6662760972976685;Arbeitsplatz- und Einkommensgarantien: Einstieg in ein neues Wohlstandsmodell
74;neutral;0.6040746569633484;Industriearbeitsplätze mit Zukunft schaffen
75;neutral;0.6892191171646118;Demokratie in der Wirtschaft
76;neutral;0.5999764800071716;Genossenschaften und solidarische Ökonomie fördern
77;positiv;0.6109011769294739;Gerechte Mobilität: Okologisch und bezahlbar  für alle - mit guten Arbeitsplätzen
78;neutral;0.7102837562561035;Mobilität für alle -  mit weniger Verkehr
79;neutral;0.6168904900550842;Bahn für alle
80;neutral;0.8993481993675232;Soziale und ökologische Verkehrsplanung
81;neutral;0.5930249094963074;Automobilindustrie  sozial und ökologisch umbauen
82;negativ;0.5560845732688904;Flugverkehr reduzieren
83;neutral;0.6181098818778992;Güterverkehr verringern  und auf die Schiene bringen
84;neutral;0.7994282245635986;Klimagerechtigkeit  und Energiewende
85;neutral;0.7361875772476196;Raus aus der Kohle,  Übergänge gerecht gestalten
86;neutral;0.5667393207550049;In erneuerbare Energie investieren, Energiekonzerne entmachten
87;neutral;0.7191578149795532;Strompreise stärker kontrollieren,  Energie für alle bezahlbar machen
88;neutral;0.7744198441505432;Grüner Wasserstoff  in der Energiewende
89;neutral;0.7244822382926941;Für eine nachhaltige Landwirtschaft
90;neutral;0.7687579393386841;Gesunde Nahrungsmittel für alle
91;neutral;0.7710651159286499;Biologische Vielfalt, Tiere und Ressourcen schützen
92;neutral;0.7284848690032959;Tiere wirksam schützen: Tierschutz als Staatsziel
93;neutral;0.5292216539382935;Böden und Meere schützen
94;neutral;0.8474349975585938;There is no planet B: Ressourcen im Kreislauf führen
95;neutral;0.7460082173347473;Mehr Rechte für Verbraucher*innen
96;neutral;0.9142473340034485;Verbraucher *innenschutz bei Finanzprodukten
97;neutral;0.5812991857528687;Selbstbewusster Osten - Ostdeutsche Interessen stärken
98;neutral;0.8192667961120605;Gleicher Lohn für gleiche Arbeit -  Lebensleistung Ost anerkennen - Gleiche Rente für gleiche  Lebensleistung
99;negativ;0.4836083650588989;ccccccen
100;neutral;0.7140766978263855;Mehr Posten für den Osten -  Mehr plurale Sichtbarkeit
101;neutral;0.8388695120811462;Treuhand-Vergangenheit aufarbeiten
102;neutral;0.6524463891983032;Für einen wirtschaftlichen Aufbruch Ost
103;neutral;0.6738967895507812;Reaktivierung öffentlicher Infrastruktur
104;negativ;0.6346890330314636;Gegen alte und neue Nazis
105;positiv;0.5308598875999451;Starke Kommunen,  gute Lebensqualität
106;neutral;0.48395031690597534;Mit Steuern umsteuenn
107;neutral;0.49996495246887207;Einkommensteuer gerecht reformieren
108;negativ;0.8346105217933655;Die Macht der Banken  und Finanzmärkte brechen
109;negativ;0.821980357170105;Finanzkriminalität stoppen
110;neutral;0.617917001247406;Für eine Digitalisierung,  die den Menschen nützt
111;neutral;0.5853868126869202;Beschäftigte und ihre Rechte stärken
112;neutral;0.6765004396438599;Die Macht der Internetkonzerne  und Plattformen begrenzen
113;neutral;0.6228804588317871;Digitale Infrastruktur für alle ausbauen
114;neutral;0.8572101593017578;Datensicherheit und Datenschutz
115;neutral;0.5987778306007385;Grundrechte schützen
116;neutral;0.8775680661201477;Digitale Zahlungssysteme regulieren
117;neutral;0.8766633868217468;Öffentliche Verwaltung  demokratisch und digital
118;neutral;0.6434112787246704;Schule und Lernen digital unterstützen
119;neutral;0.9015617370605469;Digitalisierung im Gesundheitswesen
120;neutral;0.8248359560966492;Nachhaltige Digitalisierung: ökologisch und sozial
121;neutral;0.7044148445129395;Für Gerechtigkeit, Selbstbestimmung und Vielfalt der Geschlechter
122;neutral;0.6763519644737244;Linker Feminismus - Zeit für ein Wir verteidigen die Freiheit zur und  selbstbestimmtes, sicheres und von der Religion und die Trennung gerechtes Leben
123;neutral;0.8799932599067688;vonStaat und Kirche
124;negativ;0.7916527390480042;(Sorge-)Arbeit und Zeit umverteilen
125;negativ;0.8940417766571045;Sportist kein Luxus
126;neutral;0.3867281377315521;cn
127;neutral;0.3867281377315521;cn
128;negativ;0.5296377539634705;Niemals am Leben sparen - keine Kürzungen Schluss mit der Kriminalisierung zulasten von Frauen und Familien
129;neutral;0.4291987121105194;derDrogen
130;negativ;0.45428794622421265;cccsesenesenn
131;negativ;0.7242946028709412;Gewalt an Frauen beenden
132;neutral;0.630288302898407;OhneFrieden ist alles nichts:  Für Frieden und Abrüstung
133;negativ;0.5104154348373413;Unser Femini smus: Solidarisch Waffenexporte verbieten
134;neutral;0.4841448962688446;und international
135;neutral;0.43106400966644287;:ccecesccn:
136;neutral;0.7996239066123962;Reproduktive Gerechtigkeit: Keine Auslandseinsätze der  Freie Entscheidung für ein Leben Bundeswehr
137;neutral;0.37647879123687744;ceceenen
138;neutral;0.8473703265190125;mit und ohne Kinder für alle
139;negativ;0.5473610758781433;Bundeswehr abrüsten statt aufrüsten - oe
140;neutral;0.6896548867225647;Keine Bundeswehr als weltweite Für körperliche und sexuelle Einsatzarmee
141;neutral;0.8709210753440857;Selbstbestimmungund Gleichstellung _ Einsatzarmee
142;neutral;0.4342060387134552;een allerLebensweisen
143;negativ;0.3697888255119324;cccceeee
144;negativ;0.603324294090271;Rüstungsexporte stoppen: \ N
145;neutral;0.7970423698425293;ol Offensiv und sozial für LSBTIOA Kein Geschäft mit dem Krieg
146;neutral;0.7819070219993591;Queere Communitys stärken: Keine Drohnen für den Krieg
147;neutral;0.7006393074989319;Rettungsschirm Für eine atomwaffenfreie Welt
148;neutral;0.6667554974555969;gegen die Coronafolgen
149;neutral;0.7395489811897278;Kooperation statt Konfrontation: Gegen Armut Für ein inklusives Sicherheitssystem
150;neutral;0.5511998534202576;und soziale Ausgrenzung
151;negativ;0.5473384261131287;Zivile Konfliktbearbeitung Diskriminierung bekämpfen
152;neutral;0.7379084825515747;undKrisenprävention
153;neutral;0.6381393074989319;Selbstbestimmt leben Soziale Gerechtigkeit weltweit
154;neutral;0.6023203134536743;in einer inklusiven und barrierefreien oe
155;neutral;0.4551336169242859;Gesellschaft Sozialökologisch EEEEEEEEEEEEEEEEEEEEEEEEEEEEEE gerechte Weltwirtschaft
156;neutral;0.5705640316009521;Eine solidarische
157;neutral;0.660244345664978;In Einwanderungsgesellschaft
158;neutral;0.5797891020774841;Entwicklung durch Gerechtigkeit
159;neutral;0.7891181707382202;Unsere Agenda gegen Rassismus: Klimagerechtigkeit global
160;neutral;0.8610360026359558;Soziale Offensive und Gerechte Steuern weltweit
161;neutral;0.5986469388008118;gleiche Rechte für alle
162;positiv;0.49023276567459106;UN und internationale Menschlichkeit verteidigen: Zusammenarbeit stärken
163;neutral;0.6430370211601257;Menschen retten, Fluchtwege frei machen, Menschenrechte durchsetzen
164;negativ;0.7345784306526184;Fluchtursachen bekämpfen
165;positiv;0.6642425060272217;Die Demokratie stärken
166;neutral;0.6717240214347839;Fürein solidarisches Europat
167;negativ;0.6192365288734436;Investieren statt Rechten Terrorund Gewalt stoppen
168;negativ;0.5011236071586609;Zukunft blockieren
169;neutral;0.48860111832618713;Die Rechte von Minderheiten stärken
170;neutral;0.6968145966529846;Europaweit: Reichtum von oben Sicherheit für alle statt nach unten verteilen
171;negativ;0.7248634099960327;Überwachungsstaat
172;neutral;0.8111892938613892;Europäische Zentralbank Polizei im Rechtsstaat
173;neutral;0.6815211772918701;demokratisch kontrollieren Unabhängigkeit der Politik sichern
174;neutral;0.6748289465904236;und sozial und ökologisch nutzen
175;neutral;0.5906760692596436;Die Demokratie demokratisieren
176;neutral;0.5982711911201477;Die Wirtschaft umbauen
177;neutral;0.6308447122573853;Bürgerschaftliches Engagement Soziale Absicherung und Gute Arbeit
178;negativ;0.410590261220932;besser unterstützen
179;neutral;0.4351213872432709;ccccccn
180;neutral;0.6857444643974304;Demokratie statt Herrschaft Kultur: Krisenfest, vielfältig der Lobbyisten
181;negativ;0.5100545883178711;cccccccn
182;neutral;0.7027624249458313;und für alle zugänglich
183;neutral;0.6362577676773071;Menschenrechte statt Festung Europa
184;neutral;0.5364913940429688;ccn
185;neutral;0.522485613822937;Medienvielfalt, unabhängigen Journalismus Wie wir das Land verändern rennen nnn
186;neutral;0.518771767616272;und Pressefreiheit stärken
187;neutral;0.9136434197425842;_ Stichwortverzeichnis Einführung  Es kommt auf uns alle an
188;neutral;0.8049780130386353;Es kommt auf dich an  Die Bundestagswahl entscheidet darüber, wie unser aller Weg in den nächsten Jahren aussehen wird
189;neutral;0.3907535672187805;Wir treten dafür an, dass dei- ne Sorgen, Wünsche und Träume in diesem Land endlich ernst genommen werden
190;neutral;0.6561405062675476;Wir stehen für eine Politik der Verlässlichkeit und der Ehrlichkeit, aber auch des Mutes - wir wollen verändern
191;negativ;0.775364339351654;Die Coronakrise hat die Ungerechtigkeiten des Kapitalismus deutlich zutage treten lassen: während die einen um ihren Arbeitsplatz, die Bildung ihrer Kinder und die Gesundheit bangen mussten, steigerten große Konzerne ihre Gewinne
192;neutral;0.4789915680885315;Wir finden uns nicht mit diesen Verhältnissen ab und sind bereit, uns mit den Profiteur*innen anzulegen
193;positiv;0.466265469789505;Wir alle können gemeinsam Deutschland demokratischer und sozial gerechter ma- chen
194;neutral;0.4997267425060272;Wir haben es zusammen in der Hand
195;neutral;0.6666871309280396;Unsere Wirtschaft muss in Deutschland, Europa und weltweit sozialer, demokrati- scher und umweltgerechter umgestaltet werden
196;neutral;0.49098601937294006;Unsere Demokratie wird nur dann stärker, wenn alle Menschen an ihr teilha- ben können
197;neutral;0.6204306483268738;Unsere Zukunft kann nur dann eine solidarische sein, wenn wir anfangen, sie im Hier und Heute zu gestalten
198;positiv;0.4999438524246216;Darum geht es bei dieser Wahl
199;neutral;0.5869283080101013;Dafür kommt  es auf eine starke LINKE an
200;neutral;0.49086564779281616;Du hast die Wahl
201;neutral;0.7077236771583557;In unserem Programm zeigen wir, welche Vorschläge wir haben
202;neutral;0.5267196893692017;Wir laden dich ein, an der Veränderung mitzuwirken
203;neutral;0.6465243101119995;Und es ist ein Versprechen an dich: DIE LINKE macht den Unterschied
204;positiv;0.6175207495689392;Wir haben den Mut, die notwendigen Veränderungen zu wagen
205;neutral;0.5457965731620789;Für mehr Gerechtigkeit, für Frieden und eine sichere Zukunft
206;neutral;0.6292526125907898;Für dich
207;positiv;0.4795539379119873;Mit dir
208;negativ;0.5889366269111633;Wir lassen niemanden zurück  Wir lassen niemanden zurück
209;neutral;0.8037008047103882;Es geht um die Verwirklichung der sozialen und demo- kratischen Grundrechte und der Menschen- würde aller
210;neutral;0.6610665321350098;Es geht um alle Menschen, um ihre Träume und ihr Recht auf ein gutes  Leben, um die Verwirklichung des alten Menschheitstraums einer Welt des Friedens und der sozialen Gerechtigkeit, für den so viele gekämpft haben und kämpfen
211;negativ;0.7626180052757263;Wir wollen Sicherheit und Zukunft für alle unsere Mitmenschen, denen angst und bange wird, wenn sie an den Lohn, die Miete, die Strom- rechnung oder an das Alter denken
212;negativ;0.6965506076812744;Wir wollen Vertrauen und soziale Sicherheit für alle, die seit langem übersehen, missachtet und verletzt werden, weil ihre Sorgen und Nöte zu wenig zählen
213;neutral;0.6500766277313232;Wir bestehen darauf, dass sich die Dinge ändern, weil sie geändert werden können
214;negativ;0.6773639917373657;Wir lassen niemanden zurück bei der Über- windung der Coronakrise
215;neutral;0.49579182267189026;Wir wollen die Gesellschaft und die Demokratie krisen- sicherer machen
216;neutral;0.6713186502456665;Es geht uns um Gerechtig- keit und Geborgenheit
217;negativ;0.6211777925491333;Menschen brauchen wieder Anerkennung und sozialen Halt
218;neutral;0.8509093523025513;Im Alltag, bei der Arbeit, in der Kommune und in der Kultur
219;negativ;0.7881477475166321;Wir lassen niemanden zurück beim Umsteu- ern gegen die Klimakatastrophe
220;neutral;0.5855221152305603;Der Klima- wandel weist unverändert und beschleunigt darauf hin, dass die kapitalistische Wirt- schaftsweise mit Ressourcenverbrauch und Schadstoffemissionen, mit nachhaltiger Erwärmung des Weltklimas, mit unheilbarer Gefährdung der Artenvielfalt und der ge- samten Biosphäre verbunden ist, die schon kurzfristig das Leben auf der Erde gefähr- den können
221;neutral;0.5854222774505615;Wir wollen eine Gesellschaft, die für eine Wende zum Besseren - sozial und solidarisch - gerüstet ist
222;neutral;0.6082372069358826;Denn Wandel braucht Hoffnung, dass er gelingen kann, dass alle mitmachen können und sich nie- mand ausgeschlossen fühlt
223;neutral;0.6238372921943665;Veränderung braucht soziale Sicherheit in einer fried- lichen Welt
224;neutral;0.7133268117904663;Veränderung braucht aber auch Vertrauen
225;neutral;0.4656214416027069;Dafür werben wir
226;positiv;0.6913921236991882;Solidarisch schaffen wir es
