;text;topic
0;frei demokrat frei demokrat   beschluss   ord;wirtschaft
1;bundesparteitag frei demokrat mai;Politik und Ideologie
2;bleiben;wirtschaft
3;cccccceeee see essen een ee e ee error eeeeeereeeeee ne;wirtschaft
4;land stecken;wirtschaft
5;ccccoeeeeeneenee nennen een nee ers seen eeeeen ne;wirtschaft
6;richtig richtung mitte vorne;Politik und Ideologie
7;eeeeseeneeeeneenen nennen ernennen nennen nennen;wirtschaft
8;gestalten;soziale Ursachen
9;seseeeeeneneenneneeneneeneeneneeneenenee seen neeneeneneeneennnnne;wirtschaft
10;notwendig fit aufholwettbewerb;wirtschaft
11;eeeeeeeeeneneenenenenn ne;wirtschaft
12;sicherung sozial marktwirtschaft stärkung wirtschaft;wirtschaft
13;neseeeeeeeeeneneeenen nenn entlastung fair steuer;Politik und Ideologie
14;cccooon nennen eeeeeeeeeeeeeeeeeeeeeen;wirtschaft
15;investition zukunft;wirtschaft
16;cocoon eeeeeeeeeeeeeeeeeen;wirtschaft
17;faire regel international besteuerung;Politik und Ideologie
18;oooooonneenneeeernnenneeeeeeeeeereeneeen;wirtschaft
19;bildung zukunft chance aufstieg selbstbestimmung;Politik und Ideologie
20;cusooeeneneneeeeeeeenneneenn;wirtschaft
21;berufliche bildung;Bildung
22;ooseeeene nennen eeeeeeeeeneeeeeeeeeeeeeeeenn;wirtschaft
23;hochschule forschung;Bildung
24;seeee nennen nnneeeeeeeeeeeneeeeeeeeeeeeeeeenn;wirtschaft
25;ii;wirtschaft
26;modernisierung dringlich modernisieren land;Politik und Ideologie
27;ceeeeeeeeenenenenen nen;wirtschaft
28;unkomplizierter staat ccooenennneneneneeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeen;Politik und Ideologie
29;innovation nation;Wissenschaft
30;men nennen nennen ee eeeeeeeeeeeeeeeeeeeen   aug   > | eee;Politik und Ideologie
31;dite tixe ei   te;wirtschaft
32;modern arbeitswelt;wirtschaft
33;oo ee esse essen eeeeeeeeeeeenn;wirtschaft
34;gesundheit;Gesundheit
35;cos eeeeeeeeeee nennen;wirtschaft
36;ye;wirtschaft
37;modernes stark familie;wirtschaft
38;r eeeeeeeeeeeeeeeenn;wirtschaft
39;schutz privatsphäre;wirtschaft
40;ueeeeeeeeeenen nennen;wirtschaft
41;handlungsfähiger rechtsstaat;Politik und Ideologie
42;oooooo nennen ern neeeeeeeeeeneeeeeeeeeeeeereeeen;wirtschaft
43;presse meinungsfreiheit schützen;Politik und Ideologie
44;ccm meeee ernennen neeeeeeeeeeeeeeneenn;wirtschaft
45;demokratie parlamentarismus cc cosennnnneneneeeneeeeeeeeeeeeeeeeeeeeeeeeeeenn;Politik und Ideologie
46;tolerante weltoffen gesellschaft;wirtschaft
47;oe essen eeeeeeeeeeeenn;wirtschaft
48;kommune sport ehrenamt stärken;Politik und Ideologie
49;como eeeeneenn;wirtschaft
50;n;wirtschaft
51;ill;wirtschaft
52;chance groß bewältigen herausforderung;Politik und Ideologie
53;eeeeeenenen;wirtschaft
