§sequence§labels§scores§Top 3
0§Freie Demokraten Freie Demokraten  Beschluss des  Ord§bildung§0.3781391978263855§[('bildung', 0.3781391978263855), ('politik und ideologie', 0.3347404897212982), ('gesundheit', 0.08408195525407791)]
0§Bundesparteitag der Freien Demokraten vom - Mai§politik und ideologie§0.45317625999450684§[('politik und ideologie', 0.45317625999450684), ('bildung', 0.1838928908109665), ('gesundheit', 0.124593086540699)]
0§Wie es ist, darf es nicht bleiben§gesundheit§0.4139706492424011§[('gesundheit', 0.4139706492424011), ('bildung', 0.13071392476558685), ('politik und ideologie', 0.11365805566310883)]
0§cccccceeee seen essen een ee e ee error eeeeeereeeeee ne§gesundheit§0.27801188826560974§[('gesundheit', 0.27801188826560974), ('none', 0.23349110782146454), ('bildung', 0.13416656851768494)]
0§Werden wir das Land, das in uns steckt§bildung§0.46774032711982727§[('bildung', 0.46774032711982727), ('gesundheit', 0.1494099497795105), ('wirtschaft', 0.10806571692228317)]
0§ccccoeeeeeneenee nennen een nee ers seen eeeeen ne§none§0.31970056891441345§[('none', 0.31970056891441345), ('bildung', 0.18143120408058167), ('klima', 0.10600310564041138)]
0§Die richtige Richtung: durch die Mitte nach vorne§gesundheit§0.4528118968009949§[('gesundheit', 0.4528118968009949), ('bildung', 0.30271288752555847), ('klima', 0.05635678023099899)]
0§eeeeseeneeeeneenen nenne en ernennen nenn nenne§none§0.2302217185497284§[('none', 0.2302217185497284), ('politik und ideologie', 0.14466887712478638), ('gesundheit', 0.14353850483894348)]
0§Wir wollen gestalten§gesundheit§0.40383338928222656§[('gesundheit', 0.40383338928222656), ('politik und ideologie', 0.11868064105510712), ('bildung', 0.11082145571708679)]
0§seseeeeeneneenneneeneneeneeneneeneenenee seen neeneeneneeneennnnne§bildung§0.26886653900146484§[('bildung', 0.26886653900146484), ('none', 0.21584738790988922), ('soziale ursachen', 0.11675755679607391)]
0§Nie war es notwendiger: Machen wir uns fit für den Aufholwettbewerb§gesundheit§0.2600858211517334§[('gesundheit', 0.2600858211517334), ('bildung', 0.18213710188865662), ('none', 0.153076633810997)]
0§eeeeeeeeeneneenenenenn ne§bildung§0.2262861430644989§[('bildung', 0.2262861430644989), ('none', 0.21603403985500336), ('gesundheit', 0.15218821167945862)]
0§Sicherung der Sozialen Marktwirtschaft und Stärkung der Wirtschaft§wirtschaft§0.6364944577217102§[('wirtschaft', 0.6364944577217102), ('bildung', 0.13643033802509308), ('soziale ursachen', 0.09288709610700607)]
0§neseeeeeeeeeneneeenene nenn ) Entlastung und faire Steuern§wirtschaft§0.2250790148973465§[('wirtschaft', 0.2250790148973465), ('gesundheit', 0.20042482018470764), ('none', 0.15735502541065216)]
0§cccooon nennen eeeeeeeeeeeeeeeeeeeeeene§none§0.4671822786331177§[('none', 0.4671822786331177), ('bildung', 0.15312997996807098), ('gesundheit', 0.08749788999557495)]
0§Investitionen in die Zukunft§wirtschaft§0.21561741828918457§[('wirtschaft', 0.21561741828918457), ('infrastruktur', 0.20764119923114777), ('bildung', 0.20565232634544373)]
0§Cocoon eeeeeeeeeeeeeeeeeene§none§0.29565301537513733§[('none', 0.29565301537513733), ('bildung', 0.28753790259361267), ('gesundheit', 0.10212324559688568)]
0§Faire Regeln bei der internationalen Besteuerung§gesundheit§0.32858267426490784§[('gesundheit', 0.32858267426490784), ('bildung', 0.21221837401390076), ('soziale ursachen', 0.09104565531015396)]
0§oooooonneenneeeernnenneeeeeeeeeereeneeen§bildung§0.22946797311306§[('bildung', 0.22946797311306), ('none', 0.2198532670736313), ('gesundheit', 0.11935315281152725)]
