;label;score;sentence
0;neutral;0.9208343029022217;"> | >"" EZDRESPEKT  VOR DEINER AU] ( |"
1;negativ;0.9138003587722778;> *  DAS ZUKUNFTSPROGRAMM DER SPD  WOFÜR WIR STEHEN
2;negativ;0.9067360758781433;WAS UNS ANTREIBT
3;negativ;0.9160054922103882;WONACH WIR STREBEN
4;neutral;0.9364243149757385;Soziale Politik für Dich
5;neutral;0.9165177345275879;Zukunft
6;neutral;0.9363376498222351;Respekt
7;neutral;0.9256903529167175;Europa
8;neutral;0.9421471953392029;>»
9;neutral;0.9741177558898926;Zukunftsichern
10;neutral;0.9557634592056274;: cc con ‚
11;neutral;0.9343697428703308;Respekterneuern
12;neutral;0.9806793928146362;eeeeeneeen »
13;neutral;0.840888500213623;Europastärken
14;neutral;0.9778703451156616;eeeeeeeenneen >
15;neutral;0.9619048833847046;Zusammenhalt wählen
16;neutral;0.9421471953392029;>»
17;neutral;0.8873705863952637;Eine lebenswerte Zukunft
18;neutral;0.9671782851219177;Zukunftsmission l
19;neutral;0.9104003310203552;Klimaneutrales Deutschland
20;neutral;0.965490460395813;Zukunftsmission Il
21;neutral;0.8961910605430603;Modernstes Mobilitätssystem Europas
22;neutral;0.9574193954467773;Zukunftsmission Ill
23;neutral;0.9874460697174072;Digitale Souveränität in Deutschland und Europa >
24;neutral;0.9720882177352905;Zukunftsmission IV
25;neutral;0.9784014821052551;Update für die Gesundheit
26;neutral;0.9879377484321594;Wie wireine zukunftsfähige Wirtschaft fördern wollen
27;neutral;0.9631277918815613;: cc cc onen >
28;neutral;0.9695167541503906;Wie wir Wissenschaft und Forschung innovativ und zukunftsfähig halten
29;neutral;0.98093181848526;Wie wir unsere Politik finanzieren wollen
30;neutral;0.9421471953392029;>»
31;neutral;0.9642139077186584;Wiewirregieren wollen
32;neutral;0.7693101763725281;Eine Gesellschaft des Respekts
33;neutral;0.9096816778182983;Arbeit wertschätzen
34;neutral;0.9583989381790161;zoo ccneeee en >
35;neutral;0.922482967376709;Berufschancen erhöhen
36;neutral;0.936479926109314;c:
37;neutral;0.95632004737854;Solidarität erweitern
38;neutral;0.9637083411216736;come
39;neutral;0.9120746850967407;» SPD-PARTEIVORSTAND
40;negativ;0.9207121133804321;DAS ZUKUNFTSPROGRAMM DER SPD  INHALT
41;neutral;0.9693493843078613;Alterabsichern
42;neutral;0.9787096977233887;eeeerenn »
43;neutral;0.9738383889198303;Füreinandereinstehen
44;neutral;0.9336957931518555;- >
45;neutral;0.9584220051765442;BezahlbaresWohnen
46;neutral;0.9336957931518555;- »
47;neutral;0.5479034781455994;Gutaufwachsen
48;neutral;0.9782796502113342;eeeeeeen >»
49;neutral;0.9179096221923828;Gleichstellungverwirklichen
50;neutral;0.893557608127594;Zusammenleben
51;neutral;0.9737268090248108;eereen ‚
52;neutral;0.9157329201698303;Demokratie stärken
53;neutral;0.8786655068397522;Kultur fördern
54;neutral;0.9772766828536987;eeeeeeeenn ‚
55;neutral;0.7510057687759399;Einander besser verstehen
56;neutral;0.9336957931518555;- ‚
57;neutral;0.8720212578773499;Sicherleben
58;neutral;0.9772766828536987;eeeeeeeenn ‚
59;neutral;0.7653859853744507;Gesundheitsschutz, Jugendschutz und Entkrimi- nalisierung bestimmen unsere Drogenpolitik
60;neutral;0.9603044390678406;Naturrespektieren
61;neutral;0.9711148738861084;Souveränes Europa in der Welt
62;neutral;0.9806314706802368;Solidaritätstärken
63;neutral;0.9594622254371643;Sozial-ökologisch wirtschaften
64;neutral;0.8699506521224976;Demokratie erweitern
65;neutral;0.9143247008323669;Europäische Nachbarschaften pflegen
66;neutral;0.9549700617790222;Frieden sichern
67;neutral;0.9769926071166992;:eeenenn »
68;neutral;0.9910845756530762;Zukunft, Respekt und ein solidarisches Europa — Leitgedanken für ein neues Jahrzehnt
69;neutral;0.5295276641845703;»SEITE >
70;neutral;0.9256635308265686;Soziale Politik für DAS ZUKUNFTSPROGRAMM DER SPD Dich
71;negativ;0.8737090229988098;KAPITEL
72;neutral;0.8122566938400269;ZUKUNFT
73;neutral;0.7630959153175354;RESPEKT
74;neutral;0.9486417174339294;EUROPA
75;neutral;0.9811563491821289;Am Anfang des dritten Jahrzehnts des  Jahrhunderts stehen wir in Deutschland, Europa und der Welt vor gewaltigen Aufgaben
