;label;score;sentence
0;neutral;0.6515217423439026;"> | >"" EZDRESPEKT  VOR DEINER AU] ( |"
1;negativ;0.49584314227104187;> *  DAS ZUKUNFTSPROGRAMM DER SPD  WOFÜR WIR STEHEN
2;negativ;0.48999449610710144;WAS UNS ANTREIBT
3;negativ;0.5609721541404724;WONACH WIR STREBEN
4;neutral;0.8866844773292542;Soziale Politik für Dich
5;neutral;0.4495526850223541;Zukunft
6;positiv;0.39854001998901367;Respekt
7;negativ;0.37913978099823;Europa
8;neutral;0.443930983543396;>»
9;neutral;0.4407983124256134;Zukunftsichern
10;neutral;0.7505288124084473;: cc con ‚
11;positiv;0.3750472664833069;Respekterneuern
12;neutral;0.4050009846687317;eeeeeneeen »
13;neutral;0.3972233831882477;Europastärken
14;neutral;0.3615599274635315;eeeeeeeenneen >
15;neutral;0.459503710269928;Zusammenhalt wählen
16;neutral;0.443930983543396;>»
17;positiv;0.7039958834648132;Eine lebenswerte Zukunft
18;neutral;0.6141502857208252;Zukunftsmission l
19;neutral;0.5886204838752747;Klimaneutrales Deutschland
20;neutral;0.7955176830291748;Zukunftsmission Il
21;neutral;0.6432415246963501;Modernstes Mobilitätssystem Europas
22;neutral;0.6842656135559082;Zukunftsmission Ill
23;neutral;0.8386095762252808;Digitale Souveränität in Deutschland und Europa >
24;neutral;0.7169683575630188;Zukunftsmission IV
25;neutral;0.8148952722549438;Update für die Gesundheit
26;neutral;0.43523889780044556;Wie wireine zukunftsfähige Wirtschaft fördern wollen
27;neutral;0.6390400528907776;: cc cc onen >
28;positiv;0.6646943688392639;Wie wir Wissenschaft und Forschung innovativ und zukunftsfähig halten
29;neutral;0.6620016098022461;Wie wir unsere Politik finanzieren wollen
30;neutral;0.443930983543396;>»
31;neutral;0.4885173439979553;Wiewirregieren wollen
32;neutral;0.4428353011608124;Eine Gesellschaft des Respekts
33;positiv;0.631198525428772;Arbeit wertschätzen
34;neutral;0.49599847197532654;zoo ccneeee en >
35;neutral;0.4422839283943176;Berufschancen erhöhen
36;neutral;0.4633103311061859;c:
37;neutral;0.44213271141052246;Solidarität erweitern
38;neutral;0.43974050879478455;come
39;neutral;0.8101393580436707;» SPD-PARTEIVORSTAND
