;text;topic
0;> | > ezdrespekt   au |;Politik und Ideologie
1;>   zukunftsprogramm spd   wofür stehen;Politik und Ideologie
2;antreibt;wirtschaft
3;wonach streben;wirtschaft
4;sozial politik;wirtschaft
5;zukunft;Politik und Ideologie
6;respekt;wirtschaft
7;europa;Politik und Ideologie
8;>;wirtschaft
9;zukunftsicher;Politik und Ideologie
10;cc con;wirtschaft
11;respekterneuer;Politik und Ideologie
12;eeeeeneee;wirtschaft
13;europastärke;Politik und Ideologie
14;eeeeeeeenneen >;wirtschaft
15;zusammenhalt wählen;soziale Ursachen
16;>;wirtschaft
17;lebenswert zukunft;Politik und Ideologie
18;zukunftsmission l;Politik und Ideologie
19;klimaneutrales deutschland;Klima
20;zukunftsmission il;Politik und Ideologie
21;modernstes mobilitätssystem europa;Politik und Ideologie
22;zukunftsmission ill;Politik und Ideologie
23;digital souveränität deutschland europa >;Politik und Ideologie
24;zukunftsmission iv;Politik und Ideologie
25;update gesundheit;Gesundheit
26;wireine zukunftsfähig wirtschaft fördern;wirtschaft
27;cc cc onen >;wirtschaft
28;wissenschaft forschung innovativ zukunftsfähig halten;Wissenschaft
29;politik finanzieren;wirtschaft
30;>;wirtschaft
31;wiewirregiere;wirtschaft
32;gesellschaft respekt;wirtschaft
33;arbeit wertschätzen;wirtschaft
34;zoo ccneeee >;wirtschaft
35;berufschance erhöhen;wirtschaft
36;c;wirtschaft
37;solidarität erweitern;soziale Ursachen
38;come;wirtschaft
39;spd-parteivorstand;wirtschaft
40;zukunftsprogramm spd   inhalt;soziale Ursachen
41;alterabsicher;soziale Ursachen
42;eeeerenn;wirtschaft
43;füreinandereinstehe;wirtschaft
44;>;wirtschaft
45;bezahlbareswohnen;wirtschaft
46;;wirtschaft
47;gutaufwachsen;Politik und Ideologie
48;eeeeeeen >;wirtschaft
49;gleichstellungverwirklichen;Gesundheit
50;zusammenleben;soziale Ursachen
51;eeree;wirtschaft
52;demokratie stärken;Politik und Ideologie
53;kultur fördern;wirtschaft
54;eeeeeeeenn;wirtschaft
55;verstehen;wirtschaft
56;;wirtschaft
57;sicherlebe;wirtschaft
