,sequence,labels,scores,Top 3
0,Zeitzu handeln,gesundheit,0.20974324643611908,"[('gesundheit', 0.20974324643611908), ('bildung', 0.18481914699077606), ('soziale ursachen', 0.14029476046562195)]"
0,"Für soziale Sicherheit, Frieden und Klimagerechtigkeit  WE Lelleigersägzlanlge zur Bundestagswahl",soziale ursachen,0.3288770914077759,"[('soziale ursachen', 0.3288770914077759), ('klima', 0.18919214606285095), ('bildung', 0.15210437774658203)]"
0,DIE LINKE,bildung,0.23177048563957214,"[('bildung', 0.23177048563957214), ('none', 0.17341527342796326), ('gesundheit', 0.1678725779056549)]"
0,Wahlprogramm der Partei DIE LINKE zur Bundestagswahl,politik und ideologie,0.5169717669487,"[('politik und ideologie', 0.5169717669487), ('gesundheit', 0.19154365360736847), ('bildung', 0.127589151263237)]"
0,Beschlossen auf dem Bundesparteitag am  und  Juni,politik und ideologie,0.3260885775089264,"[('politik und ideologie', 0.3260885775089264), ('bildung', 0.18221865594387054), ('gesundheit', 0.10426010191440582)]"
0,Inhalt  Einführung,gesundheit,0.27943041920661926,"[('gesundheit', 0.27943041920661926), ('infrastruktur', 0.2422446608543396), ('bildung', 0.08776596188545227)]"
0,cccccccsscn,none,0.25229546427726746,"[('none', 0.25229546427726746), ('bildung', 0.2239692062139511), ('soziale ursachen', 0.09630658477544785)]"
0,Es kommt auf unsaalle an,bildung,0.20033873617649078,"[('bildung', 0.20033873617649078), ('gesundheit', 0.17781788110733032), ('politik und ideologie', 0.12415807694196701)]"
0,Es kommt auf dich an,bildung,0.27032265067100525,"[('bildung', 0.27032265067100525), ('gesundheit', 0.2481074184179306), ('klima', 0.11854518204927444)]"
0,Wir lassen niemanden zurück,none,0.8976664543151855,"[('none', 0.8976664543151855), ('gesundheit', 0.025335220620036125), ('soziale ursachen', 0.016848908737301826)]"
0,Was uns bewegt,none,0.2952415645122528,"[('none', 0.2952415645122528), ('wirtschaft', 0.20095759630203247), ('gesundheit', 0.13416413962841034)]"
0,cccceseenenenn,bildung,0.2499821037054062,"[('bildung', 0.2499821037054062), ('none', 0.21505658328533173), ('gesundheit', 0.10952268540859222)]"
0,"Eine neue Politik für alle,  die sie längst verdient haben",politik und ideologie,0.315360426902771,"[('politik und ideologie', 0.315360426902771), ('bildung', 0.25835320353507996), ('gesundheit', 0.2500150203704834)]"
0,Mut zur Veränderung,gesundheit,0.3638375997543335,"[('gesundheit', 0.3638375997543335), ('bildung', 0.15413756668567657), ('soziale ursachen', 0.12607020139694214)]"
0,"Gute Arbeit, gute Löhne -  Demokratie gilt auch im Betrieb",politik und ideologie,0.34294167160987854,"[('politik und ideologie', 0.34294167160987854), ('gesundheit', 0.197731614112854), ('bildung', 0.17665784060955048)]"
0,"Löhne, die für ein gutes Leben reichen",gesundheit,0.4109877943992615,"[('gesundheit', 0.4109877943992615), ('bildung', 0.24094626307487488), ('soziale ursachen', 0.08885534107685089)]"
0,Schluss mit dem Niedriglohn,gesundheit,0.3514541983604431,"[('gesundheit', 0.3514541983604431), ('bildung', 0.17466376721858978), ('wirtschaft', 0.1701328605413437)]"
0,"Arbeitszeiten, die zum Leben passen",gesundheit,0.34468182921409607,"[('gesundheit', 0.34468182921409607), ('bildung', 0.2832929491996765), ('soziale ursachen', 0.10365719348192215)]"
0,"Gute Arbeitsbedingungen,  weniger Belastungen",wirtschaft,0.25207898020744324,"[('wirtschaft', 0.25207898020744324), ('gesundheit', 0.216400146484375), ('bildung', 0.18062584102153778)]"
0,Kein Umbau auf dem Rücken  der Beschäftigten:  Weiterbildungsanspruch für alle,none,0.5482247471809387,"[('none', 0.5482247471809387), ('bildung', 0.31160950660705566), ('gesundheit', 0.055851392447948456)]"
0,Gleiche Rechte für Saisonbeschäftigte und Beschäftigte in Privathaushalten,bildung,0.35790714621543884,"[('bildung', 0.35790714621543884), ('gesundheit', 0.15075302124023438), ('wirtschaft', 0.1135847419500351)]"
0,"Union Busting stoppen, Gegenwehr stärken, Mitbestimmung ausweiten",politik und ideologie,0.2661791443824768,"[('politik und ideologie', 0.2661791443824768), ('klima', 0.23793219029903412), ('gesundheit', 0.16259752213954926)]"
0,Gewerkschaften stärken,wirtschaft,0.7660285830497742,"[('wirtschaft', 0.7660285830497742), ('gesundheit', 0.048524901270866394), ('politik und ideologie', 0.046733491122722626)]"
0,"Gute Rente, gutes Leben: Solidarische Erwerbstätigenversicherung",gesundheit,0.4673241376876831,"[('gesundheit', 0.4673241376876831), ('soziale ursachen', 0.11728636920452118), ('bildung', 0.09660857170820236)]"
0,Soziale Sicherheit füralle,soziale ursachen,0.2866693139076233,"[('soziale ursachen', 0.2866693139076233), ('gesundheit', 0.24279338121414185), ('bildung', 0.19077341258525848)]"
0,Soziale Rechte: Eine gerechte Versicherung gegen Erwerbslosigkeit,soziale ursachen,0.32552072405815125,"[('soziale ursachen', 0.32552072405815125), ('bildung', 0.26054126024246216), ('gesundheit', 0.2056570202112198)]"
0,Bedarfsdeckende und sanktionsfreie individuelle Mindestsicherung,bildung,0.3656603991985321,"[('bildung', 0.3656603991985321), ('gesundheit', 0.2974604070186615), ('none', 0.09385086596012115)]"
0,Sofortmaßnahmen: Erhöhung der Regelsätze und Abschaffung  der Sanktionen,bildung,0.36256924271583557,"[('bildung', 0.36256924271583557), ('gesundheit', 0.16626743972301483), ('soziale ursachen', 0.13581831753253937)]"
0,Kinderarmut überwinden: Kindergrundsicherung,bildung,0.2813774049282074,"[('bildung', 0.2813774049282074), ('gesundheit', 0.2697726786136627), ('none', 0.1069427877664566)]"
0,"Familien dort unterstützen,  wo siees brauchen",bildung,0.31537365913391113,"[('bildung', 0.31537365913391113), ('gesundheit', 0.2884887754917145), ('soziale ursachen', 0.1512935757637024)]"
0,ccccceen,bildung,0.24751779437065125,"[('bildung', 0.24751779437065125), ('none', 0.171310156583786), ('klima', 0.12106505036354065)]"
0,Selbstbestimmt im Alter,bildung,0.3363024592399597,"[('bildung', 0.3363024592399597), ('gesundheit', 0.3079473078250885), ('politik und ideologie', 0.07098402827978134)]"
0,Pflegenotstand stoppen,gesundheit,0.19295477867126465,"[('gesundheit', 0.19295477867126465), ('bildung', 0.1894654929637909), ('none', 0.18900521099567413)]"
0,Systemwechsel in Gesundheit und Pflege,gesundheit,0.4901336133480072,"[('gesundheit', 0.4901336133480072), ('bildung', 0.16068802773952484), ('soziale ursachen', 0.11794020980596542)]"
0,:ccseese:,bildung,0.29024654626846313,"[('bildung', 0.29024654626846313), ('none', 0.1655873954296112), ('soziale ursachen', 0.0937575176358223)]"
0,Eine neue solidarische Gesundheitsversicherung,gesundheit,0.7181890606880188,"[('gesundheit', 0.7181890606880188), ('bildung', 0.1707211583852768), ('soziale ursachen', 0.02784271538257599)]"
0,Eine solidarische Pflege-vollversicherung,gesundheit,0.5965242385864258,"[('gesundheit', 0.5965242385864258), ('bildung', 0.17635615170001984), ('wissenschaft', 0.06494030356407166)]"
0,Pflegende Angehörige entlasten,bildung,0.36858126521110535,"[('bildung', 0.36858126521110535), ('gesundheit', 0.192652627825737), ('wirtschaft', 0.10519780963659286)]"
0,"Öffentlichen Gesundheitsdienst  Ambulanter Bereich: Gute Versorgung vor Ort, inStadtundLand",gesundheit,0.7414814829826355,"[('gesundheit', 0.7414814829826355), ('bildung', 0.11179050803184509), ('soziale ursachen', 0.040848296135663986)]"
0,Die Macht der Pharmaindustrie brechen,bildung,0.46312472224235535,"[('bildung', 0.46312472224235535), ('gesundheit', 0.205441415309906), ('soziale ursachen', 0.07366839796304703)]"
0,Gesundheitsforschung  Keine Profite mit Miete und Boden: Zuhause füralle,gesundheit,0.7119889259338379,"[('gesundheit', 0.7119889259338379), ('none', 0.06302974373102188), ('soziale ursachen', 0.062370415776968)]"
0,Mietenwahnsinn und Verdrängung stoppen,bildung,0.23808756470680237,"[('bildung', 0.23808756470680237), ('gesundheit', 0.21217535436153412), ('wirtschaft', 0.142044797539711)]"
0,Hohe Mieten senken und gemeinnützige Wohnungswirtschaft aufbauen,wirtschaft,0.5993563532829285,"[('wirtschaft', 0.5993563532829285), ('bildung', 0.18126191198825836), ('gesundheit', 0.05644020438194275)]"
0,Spekulation  mit Grund und Boden beenden,bildung,0.23355786502361298,"[('bildung', 0.23355786502361298), ('soziale ursachen', 0.1618158370256424), ('klima', 0.15571528673171997)]"
0,Sozialen und gemeinnützigen Wohnungsbau schaffen,bildung,0.2665627598762512,"[('bildung', 0.2665627598762512), ('infrastruktur', 0.2526923716068268), ('wirtschaft', 0.19319161772727966)]"
0,Wohnen ist keine Ware,none,0.42151474952697754,"[('none', 0.42151474952697754), ('bildung', 0.2422991245985031), ('gesundheit', 0.14583313465118408)]"
0,Rechte von Mieter*innen stärken,bildung,0.3220362365245819,"[('bildung', 0.3220362365245819), ('gesundheit', 0.28885024785995483), ('klima', 0.09462582319974899)]"
0,Klimagerechtigkeit statt  Verdrängung,klima,0.4453045129776001,"[('klima', 0.4453045129776001), ('gesundheit', 0.16799522936344147), ('none', 0.09658822417259216)]"
0,cceenncn,bildung,0.25377416610717773,"[('bildung', 0.25377416610717773), ('none', 0.18018412590026855), ('klima', 0.11863994598388672)]"
0,Spekulation stoppen -  Gewinne abschöpfen,gesundheit,0.23908618092536926,"[('gesundheit', 0.23908618092536926), ('none', 0.22469975054264069), ('politik und ideologie', 0.1275087147951126)]"
0,Immobilienkonzerne  an die Kettelegen,bildung,0.4162213206291199,"[('bildung', 0.4162213206291199), ('gesundheit', 0.2522488832473755), ('wirtschaft', 0.11760589480400085)]"
0,Wohnen ist ein Grundrecht -  Wohnungen zuerst,bildung,0.35510456562042236,"[('bildung', 0.35510456562042236), ('gesundheit', 0.2285054326057434), ('wirtschaft', 0.10673733055591583)]"
0,Städte zukunftsfest machen -  Leben in die Dörfer bringen,bildung,0.30982333421707153,"[('bildung', 0.30982333421707153), ('gesundheit', 0.2597752809524536), ('klima', 0.08612730354070663)]"
0,"Gute Bildung: Gerecht,  gebührenfrei,  ein Leben lang",bildung,0.6292505264282227,"[('bildung', 0.6292505264282227), ('gesundheit', 0.20609566569328308), ('wissenschaft', 0.03640703111886978)]"
0,Gute Kitas,bildung,0.2279001772403717,"[('bildung', 0.2279001772403717), ('gesundheit', 0.18255336582660675), ('none', 0.14626158773899078)]"
0,ces,bildung,0.25468021631240845,"[('bildung', 0.25468021631240845), ('soziale ursachen', 0.13132616877555847), ('none', 0.11948352307081223)]"
0,Eine Schule für alle: inklusiv,bildung,0.3534606099128723,"[('bildung', 0.3534606099128723), ('gesundheit', 0.22968758642673492), ('soziale ursachen', 0.0829850509762764)]"
0,Gut ausgebildet,bildung,0.686407744884491,"[('bildung', 0.686407744884491), ('gesundheit', 0.08708600699901581), ('none', 0.05865508317947388)]"
0,Gute Weiterbildung,bildung,0.6175375580787659,"[('bildung', 0.6175375580787659), ('wissenschaft', 0.09077583253383636), ('gesundheit', 0.0898718535900116)]"
0,"Gutes Studium, gute Arbeitsbedingungen, gute Forschung",wissenschaft,0.31911566853523254,"[('wissenschaft', 0.31911566853523254), ('bildung', 0.27452677488327026), ('gesundheit', 0.11641298234462738)]"
0,cccsecece:,bildung,0.22187219560146332,"[('bildung', 0.22187219560146332), ('klima', 0.19330129027366638), ('none', 0.15067961812019348)]"
0,Gute Wissenschaft braucht Gute Arbeit,wissenschaft,0.7000415325164795,"[('wissenschaft', 0.7000415325164795), ('bildung', 0.12671642005443573), ('gesundheit', 0.05870785564184189)]"
0,Investitionen in die soziale Infrastruktur,infrastruktur,0.591039776802063,"[('infrastruktur', 0.591039776802063), ('wirtschaft', 0.10307712852954865), ('soziale ursachen', 0.10254684835672379)]"
0,cccc,none,0.1906832903623581,"[('none', 0.1906832903623581), ('bildung', 0.181436687707901), ('politik und ideologie', 0.12236727029085159)]"
0,Transparente Forschung und gesellschaftliche Verantwortung:,gesundheit,0.20310039818286896,"[('gesundheit', 0.20310039818286896), ('bildung', 0.18994860351085663), ('wissenschaft', 0.17090368270874023)]"
0,Klimaschutz sozial gerecht: Für einen sozialökologischen Systemwechsel,klima,0.3125045597553253,"[('klima', 0.3125045597553253), ('bildung', 0.2489386349916458), ('soziale ursachen', 0.1758316308259964)]"
0,Die ökologische Krise Ist die große Überlebensfrage des  Jahrhunderts,klima,0.27028870582580566,"[('klima', 0.27028870582580566), ('gesundheit', 0.269047349691391), ('bildung', 0.19556844234466553)]"
0,Gleichzeitig ist sie eine Klassenfrage,bildung,0.29684391617774963,"[('bildung', 0.29684391617774963), ('klima', 0.15187130868434906), ('gesundheit', 0.14823685586452484)]"
0,Den ökologischen Umbau planen,bildung,0.273329496383667,"[('bildung', 0.273329496383667), ('gesundheit', 0.22043773531913757), ('soziale ursachen', 0.09126566350460052)]"
0,Sozialökologische  Investitionsoffensive,infrastruktur,0.38215652108192444,"[('infrastruktur', 0.38215652108192444), ('soziale ursachen', 0.27359744906425476), ('wirtschaft', 0.0782799944281578)]"
0,ccccceececnn,none,0.24767477810382843,"[('none', 0.24767477810382843), ('bildung', 0.22222861647605896), ('klima', 0.11952163279056549)]"
0,"Investieren in gut bezahlte, klimaneutrale Jobs und die Infrastruktur für ein besseres Leben",infrastruktur,0.36921778321266174,"[('infrastruktur', 0.36921778321266174), ('klima', 0.1884012222290039), ('gesundheit', 0.12348472326993942)]"
0,cc,none,0.15690608322620392,"[('none', 0.15690608322620392), ('bildung', 0.1364792138338089), ('soziale ursachen', 0.12658089399337769)]"
0,Arbeitsplatz- und Einkommensgarantien: Einstieg in ein neues Wohlstandsmodell,bildung,0.31796449422836304,"[('bildung', 0.31796449422836304), ('gesundheit', 0.25429657101631165), ('infrastruktur', 0.14558599889278412)]"
0,Industriearbeitsplätze mit Zukunft schaffen,bildung,0.40253251791000366,"[('bildung', 0.40253251791000366), ('wirtschaft', 0.19102677702903748), ('gesundheit', 0.14755117893218994)]"
0,Demokratie in der Wirtschaft,wirtschaft,0.8070165514945984,"[('wirtschaft', 0.8070165514945984), ('politik und ideologie', 0.05499229580163956), ('bildung', 0.04917009547352791)]"
0,Genossenschaften und solidarische Ökonomie fördern,bildung,0.3749524652957916,"[('bildung', 0.3749524652957916), ('wirtschaft', 0.27111923694610596), ('gesundheit', 0.08780647069215775)]"
0,Gerechte Mobilität: Okologisch und bezahlbar  für alle - mit guten Arbeitsplätzen,bildung,0.3403397798538208,"[('bildung', 0.3403397798538208), ('gesundheit', 0.32741105556488037), ('soziale ursachen', 0.08989400416612625)]"
0,Mobilität für alle -  mit weniger Verkehr,gesundheit,0.3167318105697632,"[('gesundheit', 0.3167318105697632), ('bildung', 0.20959775149822235), ('soziale ursachen', 0.20697960257530212)]"
0,Bahn für alle,gesundheit,0.24216797947883606,"[('gesundheit', 0.24216797947883606), ('bildung', 0.2240632325410843), ('infrastruktur', 0.19055664539337158)]"
0,Soziale und ökologische Verkehrsplanung,infrastruktur,0.3024091422557831,"[('infrastruktur', 0.3024091422557831), ('soziale ursachen', 0.2978169023990631), ('bildung', 0.17215996980667114)]"
0,Automobilindustrie  sozial und ökologisch umbauen,soziale ursachen,0.5119972825050354,"[('soziale ursachen', 0.5119972825050354), ('bildung', 0.22442318499088287), ('gesundheit', 0.08374577760696411)]"
0,Flugverkehr reduzieren,gesundheit,0.25108280777931213,"[('gesundheit', 0.25108280777931213), ('bildung', 0.16402475535869598), ('soziale ursachen', 0.11029605567455292)]"
0,Güterverkehr verringern  und auf die Schiene bringen,bildung,0.24454021453857422,"[('bildung', 0.24454021453857422), ('gesundheit', 0.17193345725536346), ('soziale ursachen', 0.14373822510242462)]"
0,Klimagerechtigkeit  und Energiewende,klima,0.5175607204437256,"[('klima', 0.5175607204437256), ('gesundheit', 0.15973854064941406), ('bildung', 0.14486920833587646)]"
0,"Raus aus der Kohle,  Übergänge gerecht gestalten",gesundheit,0.4288380444049835,"[('gesundheit', 0.4288380444049835), ('bildung', 0.19462616741657257), ('klima', 0.07791758328676224)]"
0,"In erneuerbare Energie investieren, Energiekonzerne entmachten",bildung,0.3187592923641205,"[('bildung', 0.3187592923641205), ('gesundheit', 0.25745534896850586), ('none', 0.09577876329421997)]"
0,"Strompreise stärker kontrollieren,  Energie für alle bezahlbar machen",gesundheit,0.24174578487873077,"[('gesundheit', 0.24174578487873077), ('bildung', 0.1840074211359024), ('none', 0.11093524843454361)]"
0,Grüner Wasserstoff  in der Energiewende,gesundheit,0.3114788234233856,"[('gesundheit', 0.3114788234233856), ('bildung', 0.2739746570587158), ('soziale ursachen', 0.13354894518852234)]"
0,Für eine nachhaltige Landwirtschaft,wirtschaft,0.5224921703338623,"[('wirtschaft', 0.5224921703338623), ('gesundheit', 0.20523537695407867), ('bildung', 0.1851196438074112)]"
0,Gesunde Nahrungsmittel für alle,gesundheit,0.6974866390228271,"[('gesundheit', 0.6974866390228271), ('bildung', 0.07839182764291763), ('wissenschaft', 0.04098790884017944)]"
0,"Biologische Vielfalt, Tiere und Ressourcen schützen",bildung,0.3745728135108948,"[('bildung', 0.3745728135108948), ('wissenschaft', 0.14126107096672058), ('gesundheit', 0.14034424722194672)]"
0,Tiere wirksam schützen: Tierschutz als Staatsziel,bildung,0.23787057399749756,"[('bildung', 0.23787057399749756), ('wirtschaft', 0.2145577371120453), ('gesundheit', 0.19806718826293945)]"
0,Böden und Meere schützen,bildung,0.30839836597442627,"[('bildung', 0.30839836597442627), ('gesundheit', 0.21215996146202087), ('soziale ursachen', 0.11215128749608994)]"
0,There is no planet B: Ressourcen im Kreislauf führen,none,0.789555013179779,"[('none', 0.789555013179779), ('bildung', 0.09304911643266678), ('gesundheit', 0.04381295666098595)]"
0,Mehr Rechte für Verbraucher*innen,bildung,0.34014683961868286,"[('bildung', 0.34014683961868286), ('gesundheit', 0.20392735302448273), ('wirtschaft', 0.10889475792646408)]"
0,Verbraucher *innenschutz bei Finanzprodukten,wirtschaft,0.39258140325546265,"[('wirtschaft', 0.39258140325546265), ('gesundheit', 0.211610808968544), ('bildung', 0.15128202736377716)]"
0,Selbstbewusster Osten - Ostdeutsche Interessen stärken,bildung,0.24766778945922852,"[('bildung', 0.24766778945922852), ('politik und ideologie', 0.18474262952804565), ('wirtschaft', 0.14537040889263153)]"
0,Gleicher Lohn für gleiche Arbeit -  Lebensleistung Ost anerkennen - Gleiche Rente für gleiche  Lebensleistung,bildung,0.25913068652153015,"[('bildung', 0.25913068652153015), ('gesundheit', 0.17771010100841522), ('soziale ursachen', 0.13543696701526642)]"
0,ccccccen,bildung,0.2252979874610901,"[('bildung', 0.2252979874610901), ('none', 0.17908453941345215), ('gesundheit', 0.11579135805368423)]"
0,Mehr Posten für den Osten -  Mehr plurale Sichtbarkeit,bildung,0.38098570704460144,"[('bildung', 0.38098570704460144), ('gesundheit', 0.15841765701770782), ('politik und ideologie', 0.12075863033533096)]"
0,Treuhand-Vergangenheit aufarbeiten,bildung,0.45087262988090515,"[('bildung', 0.45087262988090515), ('gesundheit', 0.14575615525245667), ('politik und ideologie', 0.08292928338050842)]"
0,Für einen wirtschaftlichen Aufbruch Ost,wirtschaft,0.6705931425094604,"[('wirtschaft', 0.6705931425094604), ('bildung', 0.20565778017044067), ('soziale ursachen', 0.04249874874949455)]"
0,Reaktivierung öffentlicher Infrastruktur,infrastruktur,0.7947149872779846,"[('infrastruktur', 0.7947149872779846), ('bildung', 0.05115311220288277), ('gesundheit', 0.049938663840293884)]"
