,0_word,0_per,1_word,1_per,2_word,2_per,3_word,3_per,4_word,4_per,5_word,5_per,6_word,6_per,7_word,7_per
0,dem,0.079,die,0.243,mit,0.176,durch,0.114,eine,0.117,weil_seid,0.071,sind,0.085,mehr,0.061
1,vor,0.044,und,0.192,starken,0.06,ein,0.024,zu,0.097,auch,0.052,oder,0.07,damit,0.039
2,wird,0.038,der,0.111,al,0.046,neue,0.021,nicht,0.067,sowie,0.05,un,0.047,dafur,0.032
3,alle,0.027,den,0.054,wie,0.039,darf,0.02,werden,0.05,kapitel,0.048,haben,0.034,dazu,0.019
4,besser,0.024,ff,0.041,nur,0.026,zum,0.015,ist,0.043,unserer,0.028,wir,0.029,internationalen,0.016
5,ohne,0.022,fur,0.041,gemeinsaman,0.019,beim,0.015,bei,0.036,hat,0.027,soll,0.019,gemeinsame,0.014
6,europaischen,0.021,wollen,0.02,internationale,0.019,unabhangige,0.013,mussen,0.031,unsere,0.027,sollen,0.017,dass,0.013
7,ausbauen,0.019,einer,0.019,schaffen,0.015,fuhren,0.013,innen,0.017,ren,0.02,zur,0.016,konsequent,0.011
8,diesem,0.018,nach,0.008,muss,0.013,angesicht,0.012,unterstutzen,0.016,großen,0.016,gild,0.014,verhindern,0.011
9,man,0.018,ihrer,0.008,weiter,0.01,andern,0.012,es,0.016,einsetzen,0.015,fordern,0.012,gefahrdet,0.009
10,wieder,0.014,setzen,0.007,offentliche,0.009,gerade,0.012,etwa,0.015,globale,0.014,konnen,0.011,weil,0.009
11,nutzen,0.014,braucht,0.005,globalen,0.009,rahman,0.011,gegen,0.01,sie,0.012,starker,0.01,uber,0.009
12,dabei,0.013,schutzen,0.005,gute,0.008,rechtliche,0.01,vor_allem,0.008,zukunft,0.011,aber,0.01,strukturellen,0.009
13,ubernehman,0.012,immer,0.004,finanzielle,0.006,komman,0.01,verpflichtet,0.007,gerecht,0.011,besonder,0.01,seine,0.008
14,unser,0.01,sich,0.004,zentrale,0.006,beispielsweise,0.009,lehnen,0.007,vom,0.011,dort,0.009,dagegen,0.008
15,verbieten,0.01,kann,0.004,verfolgen,0.006,vorantreiben,0.008,militarische,0.006,keine,0.008,erhalten,0.009,starke,0.007
16,angemessen,0.008,einen,0.004,vielfaltige,0.006,umfassend,0.008,auf,0.006,durfen,0.007,bereit,0.007,land,0.007
17,daruber,0.007,machen,0.003,multilateralen,0.006,risiken,0.006,dazu_gehort,0.005,verbindliche,0.007,leisten,0.007,aller,0.007
18,volkerrecht,0.006,unter,0.003,finanziellen,0.005,aufgrund,0.006,rechtlich,0.005,umsetzen,0.007,sollten,0.006,jede,0.007
19,hat_gezeigt,0.006,demokratischen,0.003,finanziell,0.005,erganzen,0.006,in,0.005,hier,0.007,verbessern,0.006,entschieden,0.006
20,entwickelt,0.005,treten,0.003,bedeutet,0.005,legale,0.006,globaler,0.005,bekampfen,0.006,nen,0.006,langfristig,0.006
21,denen,0.005,europaischer,0.002,einem,0.005,wer,0.006,ring,0.005,verbindlich,0.006,mindesten,0.006,wissen,0.006
22,halten,0.005,voran,0.002,verstarkte,0.005,einrichten,0.006,gemacht,0.005,dieser,0.006,digitale,0.006,gezielt,0.006
23,zunehmend,0.005,ihre,0.002,bietet,0.004,daher,0.005,seiner,0.004,bzw,0.006,hinau,0.005,arbeitet,0.006
24,aufarbeiten,0.005,gemeinsam,0.002,vereinbar,0.004,co,0.004,bis,0.004,verteidigen,0.005,mochten,0.005,stet,0.005
25,direkt,0.005,gut,0.002,genauso,0.004,alter,0.004,offene,0.004,len,0.005,wurde,0.005,viel,0.005
26,gleich,0.005,sorgen,0.002,engagement,0.004,bieten,0.004,humanitare,0.004,verankern,0.005,gehort,0.005,akteur_innen,0.005
27,keit,0.005,geben,0.002,arbeiten,0.004,begrunden,0.004,europa,0.004,starkt,0.005,europaische,0.005,zudem,0.005
28,eigene,0.004,bringen,0.002,internationaler,0.004,einzelne,0.004,hierbei,0.003,dringend,0.005,weder,0.005,vorlegen,0.005
29,koordinieren,0.004,geht,0.002,europaisch,0.004,planen,0.004,vertreten,0.003,lokale,0.005,hinaus,0.004,tionen,0.005
30,klare,0.004,innerhalb,0.002,autoritaren,0.003,bes,0.004,vorsorge,0.003,wirksame,0.005,demokratische,0.004,streben,0.005
31,gleichermaßen,0.003,politische,0.002,gelingt,0.003,wahrend,0.004,gesellschaft,0.003,strukturell,0.005,deshalb,0.004,wichtig,0.005
32,begleitet,0.003,viele,0.001,beteiligen,0.003,zielen,0.004,bedarf,0.003,weitere,0.004,notig,0.004,bewaltigen,0.005
33,diese,0.003,setzt,0.001,ebenso,0.003,trans,0.003,digitaler,0.003,wichtiger,0.004,garantieren,0.004,schwer,0.004
34,engagieren,0.003,neuen,0.001,leben,0.003,lichen,0.003,gilt,0.003,tragen,0.004,kennt,0.004,integration,0.004
35,eintreten,0.003,uberall,0.001,bedeuten,0.003,ihr,0.003,außerhalb,0.003,einfuhren,0.004,recht,0.004,gen,0.004
36,schaft,0.003,deutsche,0.001,voranzugehen,0.003,soziale,0.003,mus,0.002,ihnen,0.004,wahlen,0.004,liegt,0.004
37,betrifft,0.003,verstarken,0.001,außerdem,0.003,angewendet,0.003,beheben,0.002,nachhaltigen,0.004,liche,0.004,daseinsvorsorge,0.004
38,folgen,0.003,faire,0.001,sehr,0.003,konnten,0.003,entscheidend,0.002,polizei,0.004,kunftig,0.004,garantie,0.004
39,sicheren,0.003,wahrungsordnung,0.001,treiben,0.003,einbezogen,0.003,anderer,0.002,neu,0.004,betroffen,0.004,verlassen,0.004
40,initiativen,0.003,rucken,0.001,entgegen,0.003,hoch,0.003,bisher,0.002,klaren,0.003,staatliche,0.003,verhindert,0.004
41,transformation,0.003,pandemie,0.001,heute,0.002,zwischen,0.003,entlang,0.002,internet,0.003,letzten,0.003,digitalen,0.004
42,besonderen,0.003,neuer,0.001,notwendig,0.002,gestarkt,0.003,bestehende,0.002,nachsten,0.003,sollte,0.003,entscheidet,0.004
43,erkennen,0.003,indem,0.001,ent,0.002,deten,0.003,deutlich,0.002,rechtsschutz,0.003,mobile,0.003,effektiv,0.003
44,gesetzlich,0.003,entsprechend,0.001,rechtsstaatlich,0.002,verschul,0.003,souveranitat,0.002,orientieren,0.003,gezielte,0.003,konsequente,0.003
45,leistet,0.003,sichere,0.001,abgestimmte,0.002,massiv,0.002,verstarkt,0.002,bringt,0.003,tragt,0.003,vielfaltigen,0.003
46,jahrlich,0.003,nehman,0.001,unabhangigen,0.002,evaluiert,0.002,patient,0.002,solide,0.003,politi,0.003,erhalt,0.003
47,andererseit,0.002,findet,0.001,sichtbar,0.002,fahren,0.002,kontrolle,0.002,bekomman,0.002,nehmen,0.003,diesis,0.003
48,berechtigte,0.002,diesen,0.001,lung,0.002,nimmt,0.002,weiten,0.002,fordert,0.002,strukturelle,0.003,dessen,0.003
