,text,topic
0,inhaltsverzeichnis   einleitung,wirtschaft
1,sssonnsnsssnnsnssnnnnnnsnnnnnnsnnnnnssnnnssnsnnnnssnnnsnnsnnnssssnnnnsnsnnsnsssnssnnsnnnee,wirtschaft
2,verantwortung deutschland welt überzeugung frieden   freiheit menschenrecht,wirtschaft
3,oossssssssssnnssssonnnnsssnnnnssnnnnsssnnnnsnsnnnnnsnnnsnssnnnne,wirtschaft
4,stärkung werte- regelbasiert international ordnung,wirtschaft
5,deutschland stabilitätsanker global welt,wirtschaft
6,ueseesesesessessssesnssensennnnennen,wirtschaft
7,aufbruch transatlantisch partnerschaft,wirtschaft
8,eeesessesessssesossenesnsnennnnenennenennnnennnnn,wirtschaft
9,stabilität europa,wirtschaft
10,esersesnenensenosnonnennsnennnnnnnsnnnnennsnennnnnsnennnnennnnnsnnsnsnennsnesnnnnssnsnnnennnn,wirtschaft
11,besonderer verantwortung deutschland israel,wirtschaft
12,aufmerksamkeit asiatisch-pazifisch raum,wirtschaft
13,eeeeeeseesesseeeeeennenen,wirtschaft
14,modern voll einsatzbereit bundeswehr,wirtschaft
15,eesesessesossossenosnennnnnsnnnnnnennenenonnnnn,wirtschaft
16,nachhaltig entwicklung welt,wirtschaft
17,uueseesessssessesssesnennenennnsnnnnn,wirtschaft
18,entwicklungspartnerschaft afrika,wirtschaft
19,eeessesessenesesnesennenennnnennnnenennenennnnenene,wirtschaft
20,international klimaschutz bewahrung schöpfung,wirtschaft
21,eesseneseenenneneno,wirtschaft
22,weltpolitikfähigkeit leidenschaft stark europa,wirtschaft
23,stark deutschland stark europa,wirtschaft
24,euecereeesnesnsenesnsenseneennensennenennnen,wirtschaft
25,europa weltpolitik,wirtschaft
26,cuesecseesecssssnessesnennennesnennsennonennnenennnennennnnnennnnnennnnnne,wirtschaft
27,nachhaltig europa,wirtschaft
28,ersesrsesossosesosnennenennennnnnnnnnennsnnnnennnnesnrnennennsnnsonnessenessennnnennnn,wirtschaft
29,wettbewerbsfähig stabil europa,wirtschaft
30,eeeseesesessesesosnenonnenennenennnnennnnenennnnennnnnnnen,wirtschaft
31,europa ordnung sicherheit,wirtschaft
32,ursesssessenesnennnnennennnnennenennnnnnnnnnnnen,wirtschaft
33,modern innovativ digital europa,wirtschaft
34,eeresersesesesnesosnennenonnennennnnnne,wirtschaft
35,handlungsfähig bürgernah europa,wirtschaft
36,nuseesesesosssssosnsornensnnnnnnnnennnnnen,wirtschaft
37,neu wohlstand nachhaltig wachstum klimaneutrael   industrieland,wirtschaft
38,sssssnnssssnnnnsssnnsnnssnnnssnnnnnnnsnnnnnnsnnnnsssnnnnsnsnnnnsnsnsnnnnnne,wirtschaft
39,entfesselungspaket wirtschaft,wirtschaft
40,uueeessesesossesesssnesnenennsnenennnnennnnenennen,wirtschaft
41,sicher arbeit zukunft,wirtschaft
42,uessessssesssesessnennsnenesnsnennnnsnennnnennnnenesnnnennsnenesnnnennsnenennnnen,wirtschaft
43,deutschland klimaneutral industrieland,wirtschaft
44,uessesessesossesoenennennennnonne,wirtschaft
45,energiekonzept zukunft,wirtschaft
46,uessesesessessssenesosnenonnensnnenennnnennnnnnennnnennnnnnnn,wirtschaft
47,nachhaltiges wirtschaften schutz ressource,wirtschaft
48,eesessesesessesennennsnennnnn,wirtschaft
49,vorfahrt intelligent mobilität,wirtschaft
50,eeeesesssesesnenennenennsnennnnennnnenennnnennnnnnennnnennnnennnnn,wirtschaft
51,landwirtschaft stark nachhaltig,wirtschaft
52,rseessnenesenesosnennnnenennnn,wirtschaft
53,modernes mündig verbraucherin verbraucher,wirtschaft
54,seite --,wirtschaft
55,fairness sozial sicherheit gesellschaftlich   zusammenhalt,wirtschaft
56,ossssssssssssonsssssnnsnsssnnnnssnnnssnsnnnnnssnnnnnssnnnnssnnnnnssnnnsnnsnnsnnssnnnne,wirtschaft
57,finanziell sicherheit alter,wirtschaft
58,sesersessesessesosnesnenesnennnnennnnonnennnnennnnnsnnnonnennnnnnnsnnn,wirtschaft
59,sozial sicherheit lebenslage,wirtschaft
60,resersesossesnenosennnnennennnnennnnnnnnnennennnnennnn,wirtschaft
61,leistungsfähiges gesundheitswesen,wirtschaft
62,eusssessssssssenssnsnenosnenesnsnennnnennsnnnennnnennsnnnnsnnnen,wirtschaft
63,pflege sicherheit halt,wirtschaft
64,useeesssesssesssssesosnenesnenennnnennnnenennnenen,wirtschaft
65,deutschland verantwortung global gesundheit,wirtschaft
66,esessesessssesessenesnennnnnnen,wirtschaft
67,generationengerechtigkeit finanz steuer   verantwortung kind enkel,wirtschaft
68,sssssssssssonnnssnsnnrssnnnee,wirtschaft
69,solide finanz sicher zukunft,wirtschaft
70,cuesssesessssessnenosnenesnsnennsnenennnnennnnenennnnen,wirtschaft
71,faire leistungsgerecht wettbewerbsfähig steuer,wirtschaft
72,uessesssesessnesnnnennnnen,wirtschaft
73,vermögensbildung,wirtschaft
74,resesossesssenesnsnennsnenennenennsnennsnsnennnnennsnenennnnennsnenesnnn,wirtschaft
75,finanzplatz deutschland stärken,wirtschaft
76,cueeeesnssnessssnsnnsensnnsenennensennennennennennennnnnennnenensnennnne,wirtschaft
77,neue aufstiegsversprechen deutschland chance familienland,wirtschaft
78,raum unterstützung familie,wirtschaft
79,eesesersesessesesnesesnsnennnnnsennnnennnn,wirtschaft
80,gleichberechtigt chance frau mann,wirtschaft
81,uuesessesssnssesnsnennnnenennnnennenennn,wirtschaft
82,aufstieg bildung,wirtschaft
83,eeeesesessesesssnesnsnenonnenennenennnnennnnenennnnensnnenennnnennnnnnnnnnsennnnnenn,wirtschaft
84,neu mut innovation verantwortung zukunft,wirtschaft
85,esss,wirtschaft
86,strategisch forschung innovationspolitik deutschland,wirtschaft
87,kopf land,wirtschaft
88,ezueseesessssnesnesoessenssnennennennenennennennnnnnnnenennennenennnnnen,wirtschaft
89,digital transformationsoffensive,wirtschaft
90,usesesssesessenssnsnesnnnensnnenennnnensnnenennnnennsnnnnnnnnennsnenenn,wirtschaft
91,leistungsfähigkeit modern staat   bürgerin bürger,wirtschaft
92,sssossssssssssnnnssnnnnssnsnnsnnnnnnnnnnnnnssnsnnnssnnnsssnsnnnsnssnnnnee,wirtschaft
93,modernisierungsjahrzehnt staat,wirtschaft
94,eseesesessenesessesonnenennenennnnennnnnnennnnennnnnnnn,wirtschaft
95,bürgerin bürger mittelpunkt,wirtschaft
96,usessesssessssesnenonsesonnonnennenenonnnnnnnnnnene,wirtschaft
97,öffentlich dienst modern arbeitgeber,wirtschaft
98,eenessesesessesesnenennsnennnnenennnne,wirtschaft
99,digital infrastruktur,wirtschaft
100,eesesssesessssesessenssnsnennsnennnnsnennsnensnnenennsnennnnenennsnennnnenennsnennnnennnnnn,wirtschaft
101,nachhaltiger staat,wirtschaft
102,sersersenssesossosnssosnennennnnennnnnnnnnennennnnnnnnnennnnennennsnnnnnnesnenennennnnnnn,wirtschaft
103,stärke sicherheit verantwortung freiheit,wirtschaft
104,sicherheit überall jederzeit,wirtschaft
105,eeesessessesossossessesnennennennenennennennnnnnnennennennnn,wirtschaft
106,voller schutz kind frau gewalt missbrauch,wirtschaft
107,seite,wirtschaft
108,raum organisiert kriminalität,wirtschaft
109,essesssesessnesnsnennsnenennnnennnnennnnnnennnnennnn,wirtschaft
110,null toleranz kriminell familienclan,wirtschaft
111,resrseseseseseesesnenennen,wirtschaft
112,schutz demokratie extremist terrorist,Politik und Ideologie
113,eersersesernesenennen,wirtschaft
114,stärkung sicherheitsbehörde,wirtschaft
115,sesesesorsennenennennnnenonnennennnnnnnnnennnnnnnen,wirtschaft
116,gefahrenabwehr cyberraum,wirtschaft
117,eeeesessesesnssnenennssnensnnenennnnnnennnnnsnenenennsnennenennennnnen,wirtschaft
118,wirksamer bevölkerungsschutz,wirtschaft
119,sesesesssessesorsesnenesnnsonnennnnennennnnnnonnennennsnnnnnnesnnnnnnen,wirtschaft
120,stark bürgernah justiz,wirtschaft
121,ereseesesssosssnornennenennnnonnennnnennennnnnsonnennennnnnnnnnesnnnnnnen,wirtschaft
122,lebensqualität stadt land liebe heimat,Infrastruktur
123,wohnen lebendig dorf stadt,Infrastruktur
124,uesesessesesesesnssennnnennnnnnen,wirtschaft
125,gleichwertig lebensverhältnis wirtschaftlich entwicklung region,wirtschaft
126,eceesesssnssnssnsnnssnnsnnssnnsnnsnnnsnnsnnsnnnsnnsnnnsnnsnnsnnssnnsnnssnnsnnssnnsnnsnnssnnsnnssnnsnnssnnsnnene,wirtschaft
127,stärkung zusammenhalt ehrenamt,wirtschaft
128,rsesssessesosnesnennnnennnnennennnnnnnnnenn,wirtschaft
129,integration fundament miteinander,wirtschaft
130,ssusoesossesossennesnnnenonnennennnnnnnnnenn,wirtschaft
131,deutschland kulturnation,wirtschaft
132,zesesersesessesossosnsnornennennsnnsnnnennnnnnnennnnennnnennennnnnnnnnenn,wirtschaft
133,modern medienlandschäft,wirtschaft
134,esessesesessesessesesnsnennnnennnnennnnnnennnnennnnnnnnnnnennnnnnen,wirtschaft
135,engagiert sportförderung,wirtschaft
136,uesessesssessesesnensnnenennnnennnnensnnnnennnnennnnnnennsnnnnnnnnnnnsnennsnnnenen,wirtschaft
137,seite,wirtschaft
138,vo oa vu p rpwwn hr   ee r wepnd hh ©   ns ee te ee ee oo vo oo n ww   dd dnddnddmnd vv bp wwwwwrnmh   ww wwrdnd nnd mm oo,wirtschaft
139,-- ww -- w   sn oa vu pp ww   bd w w oo \o,wirtschaft
140,einleitung   deutschland stark land,wirtschaft
141,verdienst bürgerin bür ger anpacken laufen,wirtschaft
142,stark be trieb innovativ startup weltmarktführer herausragend forscherin for scher gesundheit sozialsystem welt,wirtschaft
