,text,topic
0,ieittesaltentr,wirtschaft
1,bundestagswahlprogramm,wirtschaft
2,bereit,wirtschaft
3,bundestagswahlprogramm   bundesdelegiertenkonferenz bündnis grünen beschließen   juni digital stattfinden,wirtschaft
4,herausgeberin   bündnis grünen platz tor,wirtschaft
5,berlin   telefon   fax e-mail info@gruener,wirtschaft
6,de internet gruene,wirtschaft
7,--   v,wirtschaft
8,  bündnis grünen annkathrin schäfer   platz tor,wirtschaft
9,berlin   layout satz twentyfour seven creative media service gmbh berlin twentyfour-,wirtschaft
10,de   titelgestaltung neu tor eins kommunikationsberatung gmbh berlin   druck frank druck gmbh co,wirtschaft
11,kg preetz www,wirtschaft
12,eversfrank,wirtschaft
13,com bundestagswahlprogramm,wirtschaft
14,inhalt   bereit,wirtschaft
15,einladung   kapitel   lebensgrundiagen schützen schaffen klimagerecht wohlstand   schaffen versorgungssicherheit erneuerbar   sorgen nachhaltig mobilität   schützen natur umwelt leben   stärken bäuer*innen tier natur   ermöglichen tier bess leben   kapitel   zukunft wirtschaften   fördern unternehmer*innengeist wettbewerb idee   geben markt sozial- ökologisch rahmen   bringen digitalisierung voran   kämpfen fair nachhaltig handel   finanzmarkt stabil nachhaltig    bundestagswahlprogramm,wirtschaft
16,bündnis grünen             bundestagswahlprogramm,wirtschaft
17,vollenden europäisch wirtschaft   währungsunion,Politik und Ideologie
18,haushalt solide weitsichtig gerecht,wirtschaft
19,kapitel   solidarität sichern,wirtschaft
20,fördern kind jugendliche familie,wirtschaft
21,sorgen arbeit fair lohn,wirtschaft
22,schaffen gerechtigkeit geschlecht,wirtschaft
23,sichern sozial netz,wirtschaft
24,geben gesundheit pflege   wert,wirtschaft
25,schaffen bezahlbar wohnraum,wirtschaft
26,investieren lebenswert dorf stadt,Infrastruktur
27,kapitel   bildung forschung ermöglichen,wirtschaft
28,fördern bildung anfang,wirtschaft
29,stärken ausbildung studium,wirtschaft
30,ermöglichen lebensbegleitend lernen,wirtschaft
31,verbessern bedingung wissenschaft,wirtschaft
32,bundestagswahlprogramm bündnis grünen   inhalt inhalt   bereit,wirtschaft
33,kapitel   leben   staat effektiv bürger*innennäh   treten vielfalt anerkennung gleich   erneuern demokratisch fundament   gestalten vielfältig einwanderung gesellschaft   rücken feminismus queerpolitik geschlechtergerechtigkeit fokus   stärken sicherheit bürger*innenrechte   garantieren rechtsstaat stärken verbraucherschutz   fördern kultur kunst sport   bauen europa   kapitel   international zusammenarbeiten   treiben sozial-öökologische trans formation voran   stärken multilateral zusammenarbeit   arbeiten gut beziehung multipolar welt    bundestagswahlprogramm,wirtschaft
34,bündnis grünen                            bundestagswahlprogramm,wirtschaft
35,verteidigen menschenrecht schützen geflüchteter   streiten gerecht weltwirtschaftsordnung   treten frieden sicherheit   regieren augenhöhe zukunft   stichwortregister              bundestagswahlprogramm,wirtschaft
36,bündnis grünen     inhalt bereit,wirtschaft
37,bundestagswahlprogramm,wirtschaft
38,bündnis grünen bundestagswahlprogramm,wirtschaft
39,einladung   liebe wähler*innen   wahl entscheiden gesellschaft,wirtschaft
40,gelten bundestagswahl   september,wirtschaft
41,enden ära beginnen,wirtschaft
42,zukunft einfach widerfähren,wirtschaft
43,lieb wähler innen stimme entscheiden richtung nehmen,wirtschaft
44,bündnis grünen legen programm inhaltlich angebot,wirtschaft
45,global ausnahmezustand,wirtschaft
46,pandemie mark treffen,wirtschaft
47,gute zeigen gemeinsamkeit innovation kraft widerstandsfähigkeit mensch erreichen,wirtschaft
48,schwachstelle gesellschaft schonungslos offenlegen ohnehin verwundbar welt,wirtschaft
49,globa- len krise zuallererst klimakrise wahr mensch heitskrise wirken leben hinein gefährden freiheit sicherheit wohlstand,wirtschaft
50,wahl entscheiden kri sen kopf wachsen hinaus,wirtschaft
51,erfahrung pandemie zeigen krise gemeinsam kraftanstren gunge bewältigen,wirtschaft
52,solidarität gesell schaft verletzlichst stark schutz geben,wirtschaft
53,rücksichtnahme mensch legen,wirtschaft
54,wis senschaft fortschritt,wirtschaft
55,taglich wachsen pandemie mensch hinaus krankenhaus altersheim supermarkt labor kind eltern lehrkraft distanzunterricht jugendliche haus selbständige groß anpassungsfähigkeit zeigen,wirtschaft
56,politik hinauswächst,wirtschaft
57,fehler lernen,wirtschaft
58,erleben fragil status -- zerbrechlich rein profit ausgerichtet wirtschaft bedeutung grundrecht stark gesellschaft,wirtschaft
59,erfahren begrenzt natio nal antwort global frage sehen unsicher heit entstehen sicht fahren notwendig   bundestagswahlprogramm,wirtschaft
60,bündnis grünen     einleitung einleitung     bereit,wirtschaft
61,politik weitblick frieden,wirtschaft
62,vorsorgen widerstandsfähig schützen umso frei leben,wirtschaft
63,gesellschaft schlüssel viele hand,wirtschaft
64,wissen industriegesellschaft sicher zeitalter klimaneutralität führen,wirtschaft
65,kohleausstieg beschleunigen versorgungssicherheit gewährleisten strom wind sonne gewinnen natur schutz stärken,wirtschaft
66,wissen sozial-ökologische marktwirtschaft entwickeln zukunftsfähig job sozial schutz fair wettbewerb deutschland europa zusammenbringen globalisierung klar regel setzen multinational konzern angemessen besteuern,wirtschaft
67,wissen stark gesundheitsversorgung modern infrastruktur schu len öffentlich raum funktionierend bür- ger*innennah staat investieren,wirtschaft
68,ungleich heit verringern gleichwertig lebensverhältnis dorf kleinstadt metropole herstellen kind zentrum rücken,Infrastruktur
69,voll gleichberechtigung geschlechter erreichen vielfältig einwanderungsgesell schaft gestalten,wirtschaft
70,lage fest entschließen europa wertegemeinschaft demokratisch stärken global sys- temwettbewerb gerecht handlungsfähig,wirtschaft
71,lässt international solidarität meistern art leben wirtschaften gestalten krise ort welt verschärfen,wirtschaft
72,wort reichen,wirtschaft
73,für,wirtschaft
74,reaktiv politik letzter versuchen schlimme verhindern,wirtschaft
75,gute ermöglichen,wirtschaft
76,kur- zer klimaneutral gesellschaft epochal aufgabe inspirierend kraft,wirtschaft
77,aufschwung schaf fen rein ökonomische hinausgehen,wirtschaft
78,aufschwung gesellschaftlich leben stärke vielfalt erfassen bildung kultur arbeit digitalisierung wissenschaft innovation,wirtschaft
79,programm anfang,wirtschaft
80,schlagen konkret ehrgeizig projekt politisch handeln bundesregierung kommend,wirtschaft
81,aufgabe wider   bundestagswahlprogramm,wirtschaft
82,bündnis grünen bundestagswahlprogramm,wirtschaft
83,ständen ebenfalls,wirtschaft
84,letzter zeigen mensch gesellschaft politik voraus,wirtschaft
85,lassen gemeinsam politisch arbeit höhe bringen,wirtschaft
86,lieb wähler innen mandat erteilen projekt schritt schritt umsetzen schaffen grundlage jahrzehnt mutig vorangehen machen gelingen,wirtschaft
87,demo- kratie geliehen,wirtschaft
88,leihgabe verpflichten sauber politik politik bürger*inne persönlich interesse stellen rechenschaft ablegen grenze setzen,wirtschaft
89,sinn handeln,wirtschaft
90,manch tradition weise tragen bringen manch neue begründen manch gewohnte ablösen schaffen sicherheit übergang,wirtschaft
91,ära politisch kurzfristigkeit bringen lang atem klar kompass durchsetzungsfähigkeit land herz europa welt zuwenden gut zukunft führen,wirtschaft
92,führen,wirtschaft
93,erstmals geschichte bundesrepublik kämpfen bündnis grünen politisch führung land inhaltlich personell,wirtschaft
94,stehen fest werte fundament tief verwurzeln gesellschaft,wirtschaft
95,klar ziel jahrzehnt auge klimagerecht wohl stehen,wirtschaft
96,wachsen stärken durch regieren kommu- nen land bund,wirtschaft
97,erfahrung kompetenz herz weitblick zuversicht leidenschaft lernfähig jahrzehnt,wirtschaft
98,angebot wer ben mehrheit kommend,wirtschaft
99,laden weg,wirtschaft
100,bundestagswahlprogramm,wirtschaft
101,bündnis grünen     einleitung kapitel,wirtschaft
102,bereit,wirtschaft
103,kapitel i lebensgrundiagen schützen   klimakrise existenzfrage,wirtschaft
104,klima schutz zukunftsaufgabe klimaschutz,wirtschaft
105,beginn jahrzehnt konsequent handeln sozial-oko- logisch transformation einläuten klimakatastrophe verhindern klimagerecht welt beitragen,wirtschaft
106,klima- neutralität chance hoch lebensqualität sozial gerechtigkeit klimagerecht wohlstand,wirtschaft
107,gelten ergreifen,wirtschaft
108,hitzesommer wald sterben überschwemmung dürre klimakrise spüren bekommen,wirtschaft
109,dramatisch konsequenz welt gesundheit mensch gering einkommen insbesondere mensch global süden preis zahlen ökologisch fußabdruck reichsten groß,wirtschaft
110,bäuer*innen zunehmend grundlage entziehen,wirtschaft
111,zusammenhalt gesellschaft,wirtschaft
112,folge vervielfachen umsteuern,wirtschaft
113,entschieden handeln desto freiheit alternative sichern jetzig künftig generation,wirtschaft
114,konsequent weg klimaneutralität,wirtschaft
115,verlangen mut,wirtschaft
116,stellen künftig regierung pariser klimaabkommen mittelpunkt richten handeln ministerium,wirtschaft
117,lenken all kraft maßnahme weg bringen grad- pfad führen,wirtschaft
118,klimagerechtigkeit frage politisch kanon,wirtschaft
119,begreifen aufgabe gut regel schaffen gut mensch,wirtschaft
120,solch klar politisch ordnungsrahmen ent- last mensch alltag schaffen freiheit,wirtschaft
121,bedeuten klimaneutralität veränderung ver- änderung schaffen halt zukunft,wirtschaft
122,bewahren   bundestagswahlprogramm,wirtschaft
123,bündnis grünen bundestagswahlprogramm,wirtschaft
124,kipppunkt überschreiten ermöglichen klimagerechtes bess leben,wirtschaft
125,bringen strom wärme verkehr industrie beenden energieverschwendung sorgen effizient verzahnung bereich,wirtschaft
