,text,topic
0,zeitzu handeln,wirtschaft
1,sozial sicherheit frieden klimagerechtigkeit   we lelleigersägzlanlge bundestagswahl,wirtschaft
2,linke,wirtschaft
3,wahlprogramm partei linke bundestagswahl,wirtschaft
4,beschlosse bundesparteitag     juni,wirtschaft
5,inhalt   einführung,wirtschaft
6,cccccccsscn,wirtschaft
7,unsaalle,wirtschaft
8,,wirtschaft
9,lassen,wirtschaft
10,bewegen,wirtschaft
11,cccceseenenenn,wirtschaft
12,politik   längst verdienen,wirtschaft
13,mut veränderung,wirtschaft
14,arbeit lohn   demokratie gelten betrieb,wirtschaft
15,lohn leben reichen,wirtschaft
16,schluss niedriglohn,wirtschaft
17,arbeitszeit leben passen,wirtschaft
18,arbeitsbedingung   belastung,wirtschaft
19,umbau rücken   beschäftigter   weiterbildungsanspruch,wirtschaft
20,gleich saisonbeschäftigt beschäftigter privathaushalte,wirtschaft
21,union busting stoppen gegenwehr stärken mitbestimmung ausweiten,wirtschaft
22,gewerkschaft stärken,wirtschaft
23,rente leben solidarisch erwerbstätigenversicherung,wirtschaft
24,sozial sicherheit fürall,wirtschaft
25,sozial gerecht versicherung erwerbslosigkeit,wirtschaft
26,bedarfsdeckender sanktionsfrei individuell mindestsicherung,wirtschaft
27,sofortmaßnahme erhöhung regelsatz abschaffung   sanktion,wirtschaft
28,kinderarmut überwinden kindergrundsicherung,soziale Ursachen
29,familie unterstützen   siee brauchen,wirtschaft
30,ccccceen,wirtschaft
31,selbstbestimmt alter,wirtschaft
32,pflegenotstand stoppen,wirtschaft
33,systemwechsel gesundheit pflege,wirtschaft
34,ccseese,wirtschaft
35,solidarisch gesundheitsversicherung,wirtschaft
36,solidarisch pflege-vollversicherung,wirtschaft
37,pflegende angehörige entlasten,wirtschaft
38,öffentlichen gesundheitsdienst   ambulanter bereich versorgung ort instadtundland,Infrastruktur
39,pharmaindustrie brechen,soziale Ursachen
40,gesundheitsforschung   profit miete boden zuhause füralle,wirtschaft
41,mietenwahnsinn verdrängung stoppen,wirtschaft
42,hoch miete senken gemeinnützig wohnungswirtschaft aufbauen,wirtschaft
43,spekulation   grund boden beenden,wirtschaft
44,sozial gemeinnützig wohnungsbau schaffen,wirtschaft
45,wohnen ware,wirtschaft
46,mieter*inne stärken,wirtschaft
47,klimagerechtigkeit   verdrängung,wirtschaft
48,cceenncn,wirtschaft
49,spekulation stoppen   gewinn abschöpfen,wirtschaft
50,immobilienkonzern   kettelegen,wirtschaft
51,wohnen grundrecht   wohnung,wirtschaft
52,stadt zukunftsfest   leben dorf bringen,Infrastruktur
53,bildung gerecht   gebührenfrei   leben,wirtschaft
54,kita,wirtschaft
55,ces,wirtschaft
56,schule inklusiv,wirtschaft
57,ausbilden,wirtschaft
58,weiterbildung,wirtschaft
59,studium arbeitsbedingung forschung,wirtschaft
60,cccsecece,wirtschaft
61,wissenschaft brauchen arbeit,wirtschaft
62,investition sozial infrastruktur,wirtschaft
63,cccc,wirtschaft
64,transparent forschung gesellschaftlich verantwortung,wirtschaft
65,klimaschutz sozial gerecht sozialökologisch systemwechsel,wirtschaft
66,ökologisch krise überlebensfrage   jahrhundert,wirtschaft
67,gleichzeitig klassenfrage,wirtschaft
68,ökologisch umbau planen,wirtschaft
69,sozialökologisch   investitionsoffensive,wirtschaft
70,ccccceececnn,wirtschaft
71,investieren bezahlt klimaneutral job infrastruktur bess leben,wirtschaft
72,cc,wirtschaft
73,arbeitsplatz einkommensgaranti einstieg neu wohlstandsmodell,wirtschaft
74,industriearbeitsplatz zukunft schaffen,wirtschaft
75,demokratie wirtschaft,wirtschaft
76,genossenschaft solidarisch ökonomie fördern,wirtschaft
77,gerecht mobilität okologisch bezahlbar   gut arbeitsplatz,wirtschaft
78,mobilität   verkehr,wirtschaft
79,bahn,wirtschaft
80,sozial ökologisch verkehrsplanung,wirtschaft
81,automobilindustrie   sozial ökologisch umbauen,wirtschaft
82,flugverkehr reduzieren,wirtschaft
83,güterverkehr verringern   schiene bringen,wirtschaft
84,klimagerechtigkeit   energiewende,wirtschaft
85,raus kohle   übergang gerecht gestalten,wirtschaft
86,erneuerbar energie investieren energiekonzern entmachten,wirtschaft
87,strompreis stark kontrollieren   energie bezahlbar,wirtschaft
88,grün wasserstoff   energiewende,wirtschaft
89,nachhaltig landwirtschaft,wirtschaft
90,gesund nahrungsmittel,wirtschaft
91,biologisch vielfalt tier ressource schützen,wirtschaft
92,tier wirksam schützen tierschutz staatsziel,wirtschaft
93,boden meer schützen,wirtschaft
94,there -- no planet b ressource kreislauf führen,wirtschaft
95,verbraucher*inne,wirtschaft
96,verbraucher innenschutz finanzprodukt,wirtschaft
97,selbstbewusst osten ostdeutsche interesse stärken,wirtschaft
98,gleicher lohn gleich arbeit   lebensleistung ost anerkennen gleich rente gleich   lebensleistung,wirtschaft
99,cccccce,wirtschaft
100,posten osten   plural sichtbarkeit,wirtschaft
101,treuhand-vergangenheit aufarbeiten,wirtschaft
102,wirtschaftlich aufbruch ost,wirtschaft
103,reaktivierung öffentlich infrastruktur,wirtschaft
104,alt nazi,wirtschaft
105,stark kommune   lebensqualität,wirtschaft
106,steuer umsteuenn,wirtschaft
107,einkommensteuer gerecht reformieren,wirtschaft
108,bank   finanzmarkt brechen,wirtschaft
109,finanzkriminalität stoppen,wirtschaft
110,digitalisierung   mensch nützen,wirtschaft
111,beschäftigter stärken,wirtschaft
112,internetkonzern   plattform begrenzen,wirtschaft
113,digital infrastruktur ausbauen,wirtschaft
114,datensicherheit datenschutz,wirtschaft
115,grundrecht schützen,wirtschaft
116,digital zahlungssystem regulieren,wirtschaft
117,öffentlich verwaltung   demokratisch digital,wirtschaft
118,schule lernen digital unterstützen,wirtschaft
119,digitalisierung gesundheitswesen,wirtschaft
120,nachhaltige digitalisierung ökologisch sozial,wirtschaft
121,gerechtigkeit selbstbestimmung vielfalt geschlechter,wirtschaft
122,linker feminismus verteidigen freiheit   selbstbestimmt sicher religion trennung gerecht leben,wirtschaft
123,vonstaat kirche,wirtschaft
124,sorge-)arbeit umverteilen,wirtschaft
125,sportisen luxus,wirtschaft
126,cn,wirtschaft
127,cn,wirtschaft
128,niemals leben sparen kürzung schluss kriminalisierung zulasten frau familie,wirtschaft
129,derdrogen,wirtschaft
130,cccsesenesenn,wirtschaft
131,gewalt frau beenden,wirtschaft
132,ohnefrieden   frieden abrüstung,wirtschaft
133,femini smus solidarisch waffenexport verbieten,wirtschaft
134,international,wirtschaft
135,ccecesccn,wirtschaft
136,reproduktive gerechtigkeit auslandseinsatz   freie entscheidung leben bundeswehr,wirtschaft
137,ceceenen,wirtschaft
138,kind,wirtschaft
139,bundeswehr abrüsten aufrüsten oe,wirtschaft
140,bundeswehr weltweit körperlich sexuell einsatzarmee,soziale Ursachen
141,selbstbestimmungund gleichstellung einsatzarmee,soziale Ursachen
142,een allerlebensweisen,wirtschaft
143,cccceeee,wirtschaft
144,rüstungsexport stoppen ne,wirtschaft
145,ol offensiv sozial lsbtioa geschäft krieg,wirtschaft
146,queere communitys stärken drohne krieg,wirtschaft
147,rettungsschirm atomwaffenfrei welt,wirtschaft
148,coronafolge,wirtschaft
149,kooperation konfrontation armut inklusiv sicherheitssystem,soziale Ursachen
150,sozial ausgrenzung,wirtschaft
151,zivil konfliktbearbeitung diskriminierung bekämpfen,wirtschaft
152,undkrisenprävention,wirtschaft
153,selbstbestimmt leben sozial gerechtigkeit weltweit,wirtschaft
154,inklusiv barrierefrei oe,wirtschaft
155,gesellschaft sozialökologisch eeeeeeeeeeeeeeeeeeeeeeeeeeeeee gerecht weltwirtschaft,wirtschaft
156,solidarisch,wirtschaft
157,einwanderungsgesellschaft,wirtschaft
158,entwicklung gerechtigkeit,wirtschaft
159,agenda rassismus klimagerechtigkeit global,wirtschaft
160,sozial offensive gerecht steuer weltweit,wirtschaft
161,gleich,wirtschaft
162,un international menschlichkeit verteidigen zusammenarbeit stärken,soziale Ursachen
163,mensch retten fluchtweg frei menschenrecht durchsetzen,wirtschaft
164,fluchtursache bekämpfen,wirtschaft
