text;topic;label;score;hate_label;hate_score;labels;scores;Top 3
nn gestatten öffentlich schule weder   lehrerin schülerin tragen;Bildung;neutral;0.6752240061759949;neutral;0.9825382232666016;bildung;0.2922376692295074;
afd fordern flächendeckend überprüfung moscheevereine koranschule verfassung feindlichkeit;Politik und Ideologie;neutral;0.6948931217193604;neutral;0.9821741580963136;politik und ideologie;0.3749925494194031;
abgeord   netenvergütung politisch idealismus rege lung hinsichtlich   motivation kandidatur nebentätigkeit   mandat;Politik und Ideologie;neutral;0.7090876698493958;neutral;0.9591264128684998;politik und ideologie;0.8495635390281677;
volk nationalbewusstsein dauer bestehen;Politik und Ideologie;neutral;0.7155539989471436;neutral;0.9873090386390686;politik und Ideologie;0.3995295166969299;
post abortion-syndrom pas;Wissenschaft;neutral;0.483638197183609;neutral;0.982419490814209;wissenschaft;0.3988648355007171;
mobilitätundinfrastruktur;Infrastruktur;neutral;0.8449633121490479;neutral;0.9676231741905212;infrastruktur;0.8148818016052246;
eeg ersatzlos streichen vorrang einspeisung beenden;Klima;neutral;0.7353172898292542;neutral;0.989222288131714;klima;0.2426404953002929;
privatisierung zentralisierung gehören zurückgedrehen anwendung finden nachweisbar notwendig einsatzfähigkeit truppe erhöhen;wirtschaft;neutral;0.6835360527038574;neutral;0.98101544380188;wirtschaft;0.3044236898422241;
qualität entscheidung bürger sichern ausgeprägt auto- nomen prozess willensbildung information pflicht -rechte breit gesellschaftlich debatte;soziale Ursachen;neutral;0.78282630443573;neutral;0.9797499179840088;soziale ursachen;0.3617050945758819;
gebilde verfügen weder staatsvolk erforderlich mindestmaf kulturell identität notwendig voraussetzun gen gelingend staat;soziale Ursachen;neutral;0.6495578289031982;neutral;0.9876415729522704;soziale ursachen;0.3122895359992981;
partei beschränken   partei politisch system mitwirken art;Politik und Ideologie;neutral;0.7553414106369019;neutral;0.9811681509017944;politik und ideologie;0.5512018799781799;
sicherheit bürger verbessern;soziale Ursachen;neutral;0.5708634853363037;neutral;0.988783061504364;soziale ursachen;0.3800924718379974;
verhinderung abschiebung straftatbestand erklären;Politik und Ideologie;neutral;0.6122834086418152;neutral;0.9559839367866516;politik und ideologie;0.3506786227226257;
vereint nation reformieren verändert gewichtung welt rech nung tragen;wirtschaft;neutral;0.7353603839874268;neutral;0.9553297162055968;wirtschaft;0.3594559729099273;
setzen aufkauf fläche landwirtschafts- fremd investor erschweren;wirtschaft;neutral;0.6331537961959839;neutral;0.9766659140586852;wirtschaft;0.4224464297294616;
zukünftig instrument kostenersparnis kostenträger leistungsgerechtigkeit patient behandlungsqualität;wirtschaft;neutral;0.7052695155143738;neutral;0.9555479288101196;wirtschaft;0.4003377258777618;
