text;topic;sentiment_label;score;sentence;hate_label;hate_score;sequence;labels;scores;Top 3
e besonderer sprachförderbedarf feststellen verpflichtend qualitativ wirksam durchgehend sprachförderung kindertagesstätte vorschule erteilen;Bildung;neutral;0.7880480885505676;e Dort, wo ein besonderer Sprachförderbedarf festgestellt wird, muss eine verpflichtende, qualitativ wirksame und durchgehende Sprachförderung in einer Kindertagesstätte oder Vorschule erteilt werden;neutral;0.9871639013290404;e Dort, wo ein besonderer Sprachförderbedarf festgestellt wird, muss eine verpflichtende, qualitativ wirksame und durchgehende Sprachförderung in einer Kindertagesstätte oder Vorschule erteilt werden;bildung;0.3379838466644287;
notwendig transformation begleiten bedeutung projektarbeit stärken prozessbegleitend beratung weiterbildung fördern rechtsfra- gen klären;Bildung;Positiv;0.6837931871414185;Die notwendige Transformation wollen wir begleiten, um die Bedeutung der Projektarbeit zu stärken, prozessbegleitende Beratung und Weiterbildung zu fördern und Rechtsfra- gen zu klären;neutral;0.9850748777389526;Die notwendige Transformation wollen wir begleiten, um die Bedeutung der Projektarbeit zu stärken, prozessbegleitende Beratung und Weiterbildung zu fördern und Rechtsfra- gen zu klären;bildung;0.266405701637268;
aufstieg bildung   jeder kind individuell lebenschance nutzen zukunftsverspre chen aufstieg bildung bestand beitrag leisten fürsorglich unterstützend eltern engagiert erzieherinne lehrkraft ermutigend in- spirierend ausbilder professor;Bildung;Neutral;0.6615076661109924;Aufstieg durch Bildung  Damit jedes Kind seine individuellen Lebenschancen nutzen kann und das Zukunftsverspre- chen Aufstieg durch Bildung Bestand hat, müssen alle ihren Beitrag leisten: fürsorgliche und unterstützende Eltern, engagierte Erzieherinnen und Lehrkräfte, ermutigende und in- spirierende Ausbilder und Professoren;neutral;0.9840428233146667;Aufstieg durch Bildung  Damit jedes Kind seine individuellen Lebenschancen nutzen kann und das Zukunftsverspre- chen Aufstieg durch Bildung Bestand hat, müssen alle ihren Beitrag leisten: fürsorgliche und unterstützende Eltern, engagierte Erzieherinnen und Lehrkräfte, ermutigende und in- spirierende Ausbilder und Professoren;bildung;0.5802640914916992;
investieren früh bildung ferienfreizeit familienerholung zusätzlich sozialarbeit;soziale Ursachen;Neutral;0.7413460612297058;Die Mittel investieren wir in frühe Bildung, Ferienfreizeiten, Familienerholung und zusätzliche Sozialarbeit;neutral;0.9891933798789978;Die Mittel investieren wir in frühe Bildung, Ferienfreizeiten, Familienerholung und zusätzliche Sozialarbeit;soziale Ursachen;0.4336075484752655;
chance digitalisierung künstlichen intelligenz nutzen;Wissenschaft;Positiv;0.520008385181427;Dabei wollen wir die Chancen der Digitalisierung und der Künstlichen Intelligenz noch besser nutzen;neutral;0.9883588552474976;Dabei wollen wir die Chancen der Digitalisierung und der Künstlichen Intelligenz noch besser nutzen;wissenschaft;0.3039723932743072;
versiegelung reduzieren entsiegelung nachnutzung versiegelt fläche vorantreiben;Infrastruktur;Positiv;0.6623800992965698;Wir werden die Versiegelung weiter reduzieren und die Entsiegelung und die Nachnutzung von bereits versiegelten Flächen vorantreiben;neutral;0.9843066930770874;Wir werden die Versiegelung weiter reduzieren und die Entsiegelung und die Nachnutzung von bereits versiegelten Flächen vorantreiben;infrastruktur;0.2834542691707611;
mensch bahn fahrrad umsteigen weiterhin land gut straße auto bus unterwegs;Infrastruktur;neutral;0.723962128162384;Immer mehr Menschen wollen auf die Bahn oder das Fahrrad umsteigen, aber auch weiterhin - gerade auf dem Land - auf guten Straßen mit dem Auto oder dem Bus unterwegs sein können;neutral;0.9717734456062316;Immer mehr Menschen wollen auf die Bahn oder das Fahrrad umsteigen, aber auch weiterhin - gerade auf dem Land - auf guten Straßen mit dem Auto oder dem Bus unterwegs sein können;infrastruktur;0.3036670982837677;
gesamt bürgerlich vertragsrecht insbesondere elektro- nisch rechtsverkehr modernisieren;Politik und Ideologie;neutral;0.8178136348724365;Deshalb werden wir das gesamte bürgerliche Vertragsrecht, insbesondere den elektro- nischen Rechtsverkehr, modernisieren;neutral;0.9863839745521544;Deshalb werden wir das gesamte bürgerliche Vertragsrecht, insbesondere den elektro- nischen Rechtsverkehr, modernisieren;politik und ideologie;0.2802976667881012;
rechtsanspruch bürgerin bürger digital bürgeridentität e-id schaffen;Politik und Ideologie;neutral;0.8088700175285339;Wir werden einen Rechtsanspruch der Bürgerinnen und Bürger auf eine digitale Bürgeridentität (e-ID) schaffen;neutral;0.9881619811058044;Wir werden einen Rechtsanspruch der Bürgerinnen und Bürger auf eine digitale Bürgeridentität (e-ID) schaffen;politik und ideologie;0.3676055073738098;
gehören energiegewinnung sonne wind genauso nachhaltig biomaß wasserkraft geothermie ländlich raum;Klima;neutral;0.8574150800704956;Dazu gehört die Energiegewinnung aus Sonne und Wind genauso wie nachhaltige Biomasse, Wasserkraft und Geothermie im ländlichen Raum;neutral;0.9718481302261353;Dazu gehört die Energiegewinnung aus Sonne und Wind genauso wie nachhaltige Biomasse, Wasserkraft und Geothermie im ländlichen Raum;klima;0.2788100242614746;
