text;topic;sentiment_label;score;sentence;hate_label;hate_score;sequence;labels;scores;Top 3
gelten ganztag weiterführend schule kind ermöglichen behinderung;Bildung;positiv;0.6708062887;Es gilt, Ganztag und gute weiterführende Schulen für alle Kinder zu ermöglichen, ob mit Behinderungen oder ohne;neutral;0.9451232553;Es gilt, Ganztag und gute weiterführende Schulen für alle Kinder zu ermöglichen, ob mit Behinderungen oder ohne;bildung;0.2524471283;
beratung versorgungsstruktur notwendig;Infrastruktur;neutral;0.6997532248;In dieser Zeit sind gute Beratungs- und Versorgungsstrukturen notwendig;neutral;0.9804899096;In dieser Zeit sind gute Beratungs- und Versorgungsstrukturen notwendig;infrastruktur;0.2249855548;
begreifen aufgabe gut regel schaffen gut mensch;Politik und Ideologie;neutral;0.6613083482;Wir begreifen es als unsere Aufgabe, bessere Regeln zu schaffen, nicht den besseren Menschen;neutral;0.986430943;Wir begreifen es als unsere Aufgabe, bessere Regeln zu schaffen, nicht den besseren Menschen;politik und ideologie;0.255248785;
patientin selbstbestimmt informiert grundlage entscheidung treffen pro- blemen wirksam zeitnah durchsetzen krankenkasse;Gesundheit;positiv;0.8184501529;Patientinnen sollen selbstbestimmt und auf informierter Grundlage Entscheidungen treffen und bei Pro- blemen ihre Rechte wirksam und zeitnah durchsetzen können, etwa gegenüber ihrer Krankenkasse;neutral;0.9704868793;Patientinnen sollen selbstbestimmt und auf informierter Grundlage Entscheidungen treffen und bei Pro- blemen ihre Rechte wirksam und zeitnah durchsetzen können, etwa gegenüber ihrer Krankenkasse;gesundheit;0.2475821823;
verständlich information zutat herkunft herstellung ökologisch fußabdruck nötig transpa- renz sorgen;Wissenschaft;neutral;0.7775834203;Mit verständlichen Informationen über Zutaten, Herkunft, Herstellung und zum ökologischen Fußabdruck wollen wir für die nötige Transpa- renz sorgen;neutral;0.9887274504;Mit verständlichen Informationen über Zutaten, Herkunft, Herstellung und zum ökologischen Fußabdruck wollen wir für die nötige Transpa- renz sorgen;wissenschaft;0.2170601189;
verurteilen austritt türkei istanbul-konvention fordern rückgängig;Politik und Ideologie;neutral;0.6167518497;Wir verurteilen den Austritt der Türkei aus der Istanbul-Konvention und fordern sie auf, diesen wieder rückgängig zu machen;neutral;0.9853904247;Wir verurteilen den Austritt der Türkei aus der Istanbul-Konvention und fordern sie auf, diesen wieder rückgängig zu machen;politik und ideologie;0.2404638529;
mobilität   ff;Klima;neutral;0.7345952988;Mobilität  ff;neutral;0.9647074938;Mobilität  ff;klima;0.1990816593;
bürger*inne;Politik und Ideologie;neutral;0.562435329;Bürger*innen;neutral;0.9872360826;Bürger*innen;politik und ideologie;0.2327766716;
national fußmobilitätsstrategie schaffen barrierefreiheit verkehrssicherheit aufenthaltsqualität fußgänger*inn;Infrastruktur;positiv;0.486264199;Mit einer nationalen Fußmobilitätsstrategie schaffen wir Barrierefreiheit, Verkehrssicherheit und mehr Aufenthaltsqualität für Fußgänger*innen;neutral;0.9894133806;Mit einer nationalen Fußmobilitätsstrategie schaffen wir Barrierefreiheit, Verkehrssicherheit und mehr Aufenthaltsqualität für Fußgänger*innen;infrastruktur;0.2902059257;
erreichen planung inf- rastrukturvorhab auswirkung klima natur umwelt umfassend prüfen berücksichtigen;Klima;neutral;0.7813224196;Wir wollen erreichen, dass vor jeder Planung von Inf- rastrukturvorhaben die Auswirkungen auf Klima, Natur und Umwelt umfassend geprüft und berücksichtigt werden;neutral;0.9874324799;Wir wollen erreichen, dass vor jeder Planung von Inf- rastrukturvorhaben die Auswirkungen auf Klima, Natur und Umwelt umfassend geprüft und berücksichtigt werden;klima;0.2462977469;
beweislastumkehr absatz;wirtschaft;neutral;0.8779075146;Die Beweislastumkehr in Absatz;neutral;0.9727175236;Die Beweislastumkehr in Absatz;wirtschaft;0.2564669549;
grün der*inn familie freischaffende brauchen schnell zuverlässig internet leben;Infrastruktur;positiv;0.8222193122;Grün- der*innen, Familien oder Freischaffende - alle brauchen schnelles und zuverlässiges Internet für ihr Leben;neutral;0.9757736325;Grün- der*innen, Familien oder Freischaffende - alle brauchen schnelles und zuverlässiges Internet für ihr Leben;infrastruktur;0.3343828022;
europäer*inne unser stark gemeinsam binnenmarkt international standard setzen innovation vor- antreiben;Wissenschaft;positiv;0.5919843912;Als Europäer*innen können wir mit unserem starken gemeinsamen Binnenmarkt internationale Standards setzen und Innovationen vor- antreiben;neutral;0.988604784;Als Europäer*innen können wir mit unserem starken gemeinsamen Binnenmarkt internationale Standards setzen und Innovationen vor- antreiben;wissenschaft;0.4230318367;
währungsordnung;wirtschaft;neutral;0.7953249216;Währungsordnung;neutral;0.9676231742;Währungsordnung;wirtschaft;0.6396443248;
bekämpfung rechtsextremistisch struktur innerhalb sicherheitsbehörde prio rität sicherheitsorgan;Politik und Ideologie;negativ;0.5784865022;Die Bekämpfung rechtsextremistischer Strukturen - auch innerhalb der Sicherheitsbehörden - muss Prio- rität für alle Sicherheitsorgane haben;neutral;0.9845073223;Die Bekämpfung rechtsextremistischer Strukturen - auch innerhalb der Sicherheitsbehörden - muss Prio- rität für alle Sicherheitsorgane haben;politik und ideologie;0.4154575169;
leben künftig wissenschaftler*inn künstlerin forscher*in betrieb hochschule außeruniversitär einrichtung permanent leidenschaft idee arbeiten antwort frage stellen;Wissenschaft;neutral;0.6173929572;Ein gutes Leben wird auch künftig möglich sein, weil Wissenschaftler*innen, Künstlerinnen und Forscher*innen in Betrieben, Hochschulen und außeruniversitären Einrichtungen permanent und mit Leidenschaft an neuen Ideen arbeiten, an Antworten auf Fragen, die wir noch gar nicht gestellt haben;neutral;0.988188982;Ein gutes Leben wird auch künftig möglich sein, weil Wissenschaftler*innen, Künstlerinnen und Forscher*innen in Betrieben, Hochschulen und außeruniversitären Einrichtungen permanent und mit Leidenschaft an neuen Ideen arbeiten, an Antworten auf Fragen, die wir noch gar nicht gestellt haben;wissenschaft;0.5836952925;
sicherheit cyber informationsraum schaffen   digitalisierung technologie bieten möglichkei ten schaffen risiko offen demokratisch gesellschaf ten werfen bestimmt bereich schwerwiegend ethisch politisch rechtlich frage;Wissenschaft;neutral;0.794388473;Sicherheit im Cyber- und Informationsraum schaffen  Digitalisierung und neue Technologien bieten viele neue Möglichkei- ten, schaffen aber auch Risiken für offene, demokratische Gesellschaf- ten und werfen in bestimmten Bereichen schwerwiegende ethische, politische und rechtliche Fragen auf;neutral;0.9862416983;Sicherheit im Cyber- und Informationsraum schaffen  Digitalisierung und neue Technologien bieten viele neue Möglichkei- ten, schaffen aber auch Risiken für offene, demokratische Gesellschaf- ten und werfen in bestimmten Bereichen schwerwiegende ethische, politische und rechtliche Fragen auf;wissenschaft;0.2344641834;
gleichzeitig erkennen system soldat innen gewiß situation schützen;Politik und Ideologie;positiv;0.5033602715;Gleichzeitig erkennen wir an, dass diese Systeme Soldat’innen in gewissen Situationen besser schützen können;neutral;0.8503293395;Gleichzeitig erkennen wir an, dass diese Systeme Soldat’innen in gewissen Situationen besser schützen können;politik und ideologie;0.4384165704;
gleich berechtigung kooperation zusammenhalt vielfalt maßstab bürger*innennahen staat verwirklichen;Politik und Ideologie;neutral;0.5797271132;Gleich- berechtigung, Kooperation sowie der Zusammenhalt in Vielfalt sind Maßstäbe, um einen bürger*innennahen Staat zu verwirklichen;neutral;0.9872074723;Gleich- berechtigung, Kooperation sowie der Zusammenhalt in Vielfalt sind Maßstäbe, um einen bürger*innennahen Staat zu verwirklichen;politik und ideologie;0.29179883;
region versorgungsproblem kämpfen investieren gestalten;Infrastruktur;positiv;0.5096161962;Regionen, die heute mit großen Versorgungsproblemen zu kämpfen haben, sollen wieder investieren und gestalten können;neutral;0.9859742522;Regionen, die heute mit großen Versorgungsproblemen zu kämpfen haben, sollen wieder investieren und gestalten können;infrastruktur;0.3049562573;
anfang bildung kind jung men- schen erwachsene hoch alter möglichkeit entfalten;Bildung;neutral;0.7089781165;Von Anfang an gibt Bildung Kindern, jungen Men- schen und Erwachsenen bis ins hohe Alter die Möglichkeit, sich zu entfalten;neutral;0.9835807681;Von Anfang an gibt Bildung Kindern, jungen Men- schen und Erwachsenen bis ins hohe Alter die Möglichkeit, sich zu entfalten;bildung;0.6307805181;
künstlersozialkaß ksk finanziell stärken rechtssicherheit mitgliedschaft ksk künstler*innen zeitweise produktion versicherungspflichtig anstellen schaffen freiwillig weiterversicherung selbständige arbeitslosenversicherung vereinfachen;Politik und Ideologie;neutral;0.7303606272;Die Künstlersozialkasse (KSK) muss finanziell gestärkt, Rechtssicherheit für die Mitgliedschaft in der KSK, auch für Künstler*innen, die nur zeitweise für Produktionen versicherungspflichtig angestellt sind, geschaffen und die freiwillige Weiterversicherung für Selbständige in der Arbeitslosenversicherung vereinfacht werden;neutral;0.9814474583;Die Künstlersozialkasse (KSK) muss finanziell gestärkt, Rechtssicherheit für die Mitgliedschaft in der KSK, auch für Künstler*innen, die nur zeitweise für Produktionen versicherungspflichtig angestellt sind, geschaffen und die freiwillige Weiterversicherung für Selbständige in der Arbeitslosenversicherung vereinfacht werden;politik und ideologie;0.2302093953;
sauber bilanz deutsch kapitalmarkt   bilanzskandal wirecard zuständig wirtschaftsprü fer*inne staatlich aufsicht aufgabe scheitern;wirtschaft;positiv;0.7381138206;Saubere Bilanzen am deutschen Kapitalmarkt  Beim Bilanzskandal Wirecard sind die zuständigen Wirtschaftsprü- fer*innen und die staatliche Aufsicht an ihrer Aufgabe gescheitert;neutral;0.9766765237;Saubere Bilanzen am deutschen Kapitalmarkt  Beim Bilanzskandal Wirecard sind die zuständigen Wirtschaftsprü- fer*innen und die staatliche Aufsicht an ihrer Aufgabe gescheitert;wirtschaft;0.398504138;
giftfrei produkt alltag   plastik schadstoffrückständ finden mittlerweile sogar körper kind jugendliche;Gesundheit;positiv;0.7695032358;Giftfreie Produkte im Alltag  Plastik- und Schadstoffrückstände finden sich mittlerweile sogar schon in den Körpern von Kindern und Jugendlichen;neutral;0.9685521722;Giftfreie Produkte im Alltag  Plastik- und Schadstoffrückstände finden sich mittlerweile sogar schon in den Körpern von Kindern und Jugendlichen;gesundheit;0.3266195953;
