text;topic;sentiment_label;score;sentence;hate_label;hate_score;sequence;labels;scores;Top 3
schule inklusiv;Bildung;neutral;0.5988746881484985;Eine Schule für alle: inklusiv;neutral;0.9823744297027588;Eine Schule für alle: inklusiv;bildung;0.3534606099128723;
weiterbildung spielen entschei- dend rolle;Bildung;neutral;0.5269302129745483;Die Weiterbildung spielt hier eine entschei- dende Rolle;neutral;0.9898293614387512;Die Weiterbildung spielt hier eine entschei- dende Rolle;bildung;0.8576768636703491;
schulgeld grundsätzlich entfallen tarif orientiert ausbildungsgeld zahlen;Bildung;neutral;0.7525492906570435;Schulgeld soll grundsätzlich entfallen und ein am Tarif orientiertes Ausbildungsgeld gezahlt werden;neutral;0.9849648475646972;Schulgeld soll grundsätzlich entfallen und ein am Tarif orientiertes Ausbildungsgeld gezahlt werden;gesundheit;0.3452485799789428;
kontrolle demokratisch              konversionsbehandlung;Gesundheit;neutral;0.8303405046463013;Kontrolle, demokratische      ,       Konversionsbehandlungen;neutral;0.9826052188873292;Kontrolle, demokratische      ,       Konversionsbehandlungen;klima;0.1906520575284958;
atomwaffe deutsch land stationieren;Gesundheit;neutral;0.5839549899101257;Es dürfen keine Atomwaffen in Deutsch- land stationiert sein und werden;neutral;0.9899925589561462;Es dürfen keine Atomwaffen in Deutsch- land stationiert sein und werden;bildung;0.3119665086269378;
krankenhaus kommu- nale öffentlich gemeinnützig hand überführen;Gesundheit;neutral;0.732832670211792;Wir wollen Krankenhäuser in kommu- nale, öffentliche oder gemeinnützige Hand überführen;neutral;0.960336208343506;Wir wollen Krankenhäuser in kommu- nale, öffentliche oder gemeinnützige Hand überführen;wirtschaft;0.451428472995758;
verbindlich bürger*innen- foren einrichten;Infrastruktur;neutral;0.7319812178611755;Wir wollen verbindliche Bürger*innen- foren einrichten;neutral;0.9901589751243592;Wir wollen verbindliche Bürger*innen- foren einrichten;bildung;0.2653090357780456;
wohnortnah sozial zentrum dorf schaffen ort begegnung dienen grundlegend dienst leistung post bank öffentlich internetzugang anbieten;Infrastruktur;neutral;0.7231146693229675;Wir wollen wohnortnahe soziale Zentren in den Dörfern schaffen, die als Orte der Begegnung dienen und grundlegende Dienst- leistungen wie Post, Bank und Öffentlichen Internetzugang anbieten;neutral;0.9866657853126526;Wir wollen wohnortnahe soziale Zentren in den Dörfern schaffen, die als Orte der Begegnung dienen und grundlegende Dienst- leistungen wie Post, Bank und Öffentlichen Internetzugang anbieten;klima;0.2805831432342529;
db groß stadt nachtzüg liegewagen anfahren;Infrastruktur;neutral;0.8497698903083801;Die DB soll alle Groß- städte auch mit Nachtzügen (Liegewagen) anfahren;neutral;0.9862748384475708;Die DB soll alle Groß- städte auch mit Nachtzügen (Liegewagen) anfahren;klima ;0.3518376350402832;
betreffen insbesondere erder wärmung massenhaft artensterbe veränderung landnutzung störung phosphor stickstoff kreisläufe;Klima;neutral;0.4997698664665222;Das betrifft insbesondere die Erder- wärmung, das massenhafte Artensterben, die Veränderung der Landnutzung sowie die Störung der Phosphor- und Stickstoff- kreisläufe;neutral;0.9763572812080384;Das betrifft insbesondere die Erder- wärmung, das massenhafte Artensterben, die Veränderung der Landnutzung sowie die Störung der Phosphor- und Stickstoff- kreisläufe;bildung;0.3042406439781189;
