text;topic;sentiment_label;score;sentence;hate_label;hate_score;sequence;labels;scores;Top 3;;
bundesausbildungsförderungsgesetz bafög zukunft jung erwachsene erreichen;Bildung;neutral;0.6085309982299805;Das Bundesausbildungsförderungsgesetz (BAföG) soll in Zukunft wieder mehr junge Erwachsene erreichen;neutral;0.9886702299118042;Das Bundesausbildungsförderungsgesetz (BAföG) soll in Zukunft wieder mehr junge Erwachsene erreichen;bildung;0.4616755545139313;;;
ziel hilfsbedürftig lebenslage gemeinsam bezwingen be schäftigung falls erforderlich qualifizierung weiterbildung ermöglichen;Bildung;neutral;0.6455543041229248;Das Ziel muss sein, die hilfsbedürftige Lebenslage gemeinsam zu bezwingen und allen eine Be- schäftigung und, falls erforderlich, eine Qualifizierung und Weiterbildung zu ermöglichen;neutral;0.9821714162826538;Das Ziel muss sein, die hilfsbedürftige Lebenslage gemeinsam zu bezwingen und allen eine Be- schäftigung und, falls erforderlich, eine Qualifizierung und Weiterbildung zu ermöglichen;bildung;0.2925004661083221;;;
unternehmen groß verantwortung   schaffung ausreichend ausbildungsplätz übernehmen;wirtschaft;neutral;0.6567522883415222;Alle Unternehmen, vor allem größere, müssen jedoch mehr Verantwortung für  die Schaffung von ausreichend Ausbildungsplätzen übernehmen;neutral;0.9755895733833312;Alle Unternehmen, vor allem größere, müssen jedoch mehr Verantwortung für  die Schaffung von ausreichend Ausbildungsplätzen übernehmen;wirtschaft;0.2884727120399475;;;
datenschutz gewährleisten geeignet rahmenbedingung gro ßen plattform gesundheitswirtschaft dominieren;Gesundheit;neutral;0.6039836406707764;Wir wollen Datenschutz gewährleisten und geeignete Rahmenbedingungen, damit nicht die gro- ßen Plattformen auch die Gesundheitswirtschaft dominieren;neutral;0.981410264968872;Wir wollen Datenschutz gewährleisten und geeignete Rahmenbedingungen, damit nicht die gro- ßen Plattformen auch die Gesundheitswirtschaft dominieren;gesundheit;0.4783477783203125;;;
säule dauerhaft ausweitung pandemiebedingt erhöht kinderkrank pro kind elternteil elterngeld akut kind maximal pro elternteil alleinerziehend;soziale Ursachen;neutral;0.7086147665977478;Die dritte Säule ist die dauerhafte Ausweitung der pandemiebedingt erhöhten Kinderkranken- tage auf Tage pro Kind, Jahr und Elternteil (als „Elterngeld akut“) - bei mehr als zwei Kindern maximal Tage pro Elternteil und Tage für Alleinerziehende;neutral;0.9520012140274048;Die dritte Säule ist die dauerhafte Ausweitung der pandemiebedingt erhöhten Kinderkranken- tage auf Tage pro Kind, Jahr und Elternteil (als „Elterngeld akut“) - bei mehr als zwei Kindern maximal Tage pro Elternteil und Tage für Alleinerziehende;soziale ursachen;0.2268085926771164;;;
psycholo- gisch gutachten feststellung geschlechtsidentität abschaffen;Gesundheit;neutral;0.4880115389823913;Psycholo- gische Gutachten zur Feststellung der Geschlechtsidentität werden wir abschaffen;neutral;0.9853352308273317;Psycholo- gische Gutachten zur Feststellung der Geschlechtsidentität werden wir abschaffen;gesundheit;0.4612877070903778;;;
sorgen gleichwertig le bensverhältnisse stadt land;soziale Ursachen;neutral;0.7304743528366089;Sie sorgt für gleichwertige Le- bensverhältnisse in Stadt und Land;neutral;0.98405784368515;Sie sorgt für gleichwertige Le- bensverhältnisse in Stadt und Land;soziale ursachen;0.2780881822109222;;;
bürgergeld digital unkompliziert zugänglich;wirtschaft;positiv;0.8224790096282959;Das Bürgergeld soll digital und unkompliziert zugänglich sein;neutral;0.989812672138214;Das Bürgergeld soll digital und unkompliziert zugänglich sein;wirtschaft;0.4405793845653534;;;
selbstbestimmung digital mündigkeit bürger*inne leitbild digitalisierung zugutekommen;Infrastruktur;positiv;0.5283516049385071;Die Selbstbestimmung und digitale Mündigkeit der Bürger*innen ist unser Leitbild, damit die Digitalisierung allen zugutekommen kann;neutral;0.985620379447937;Die Selbstbestimmung und digitale Mündigkeit der Bürger*innen ist unser Leitbild, damit die Digitalisierung allen zugutekommen kann;infrastruktur;0.9020683765411376;;;
kombination maßnahme umweltbonus kauf elektroauto förderprogram- men heizungstausch sorgen klimafreundlich alternative attraktiv;Klima;neutral;0.611627459526062;In Kombination mit anderen Maßnahmen wie dem Umweltbonus beim Kauf eines Elektroautos oder Förderprogram- men zum Heizungstausch sorgt er dafür, dass klimafreundliche Alternativen attraktiver werden;neutral;0.9883198738098145;In Kombination mit anderen Maßnahmen wie dem Umweltbonus beim Kauf eines Elektroautos oder Förderprogram- men zum Heizungstausch sorgt er dafür, dass klimafreundliche Alternativen attraktiver werden;klima;0.3358089923858642;;;
gehören einreiseverbot einfrieren konto;Wirtschaft;neutral;0.6086252927780151;Dazu gehören Einreiseverbote und das Einfrieren von Konten;neutral;0.934700608253479;Dazu gehören Einreiseverbote und das Einfrieren von Konten;wirtschaft;0.4022923707962036;;;
zudem rüstungskontrolle bereich biotechnologie cyber künstlich intelligenz etablieren;Politik und Ideologie;neutral;0.8238441944122314;Wir werden zudem Rüstungskontrolle auch in den Bereichen Biotechnologie, Cyber und Künstliche Intelligenz etablieren;neutral;0.9829055070877076;Wir werden zudem Rüstungskontrolle auch in den Bereichen Biotechnologie, Cyber und Künstliche Intelligenz etablieren;politik und ideologie;0.34125617146492;;;
corona-krise erneut zeigen sozial sicherung minijob unzureichend;wirtschaft;negativ;0.7479233145713806;Die Corona-Krise hat erneut gezeigt, dass die soziale Sicherung der Minijobs unzureichend ist;neutral;0.98792165517807;Die Corona-Krise hat erneut gezeigt, dass die soziale Sicherung der Minijobs unzureichend ist;wirtschaft;0.3311130106449127;;;
mensch wunsch verwirk- lich ziel erreichen;Politik und Ideologie;positiv;0.6062629222869873;Wir wollen, dass alle Menschen ihre Wünsche verwirk- lichen und ihre Ziele erreichen können;neutral;0.9739434719085692;Wir wollen, dass alle Menschen ihre Wünsche verwirk- lichen und ihre Ziele erreichen können;politik und ideologie;0.2261306494474411;;;
