file,page_num,line_num,word_num,left,top,right,delta,width,height,conf,text
AFD_Wahlprogramm_2021,0,1,1,338,1717,1431,55,1093,188,96.505013,Deutschland.
AFD_Wahlprogramm_2021,0,1,2,1486,1721,1884,87,398,138,94.446686,Aber
AFD_Wahlprogramm_2021,0,1,3,1971,1669,2594,0,623,355,94.446686,normal.
AFD_Wahlprogramm_2021,0,1,4,1936,1721,2597,0,661,138,95.646454,normal.
AFD_Wahlprogramm_2021,0,2,1,333,2144,703,22,370,71,95.806519,Programm
AFD_Wahlprogramm_2021,0,2,2,725,2138,839,17,114,60,95.940918,der
AFD_Wahlprogramm_2021,0,2,3,856,2138,1239,24,383,60,96.735794,Alternative
AFD_Wahlprogramm_2021,0,2,4,1263,2138,1363,22,100,60,96.842049,für
AFD_Wahlprogramm_2021,0,2,5,1385,2138,1822,0,437,60,95.863007,Deutschland
AFD_Wahlprogramm_2021,0,3,1,332,2230,432,22,100,60,96.886177,für
AFD_Wahlprogramm_2021,0,3,2,454,2230,554,20,100,60,96.414742,die
AFD_Wahlprogramm_2021,0,3,3,574,2230,753,21,179,60,96.661804,Wahl
AFD_Wahlprogramm_2021,0,3,4,774,2248,925,22,151,42,96.009636,zum
AFD_Wahlprogramm_2021,0,3,5,947,2235,1039,24,92,55,95.882309,20.
AFD_Wahlprogramm_2021,0,3,6,1063,2230,1436,22,373,60,95.614677,Deutschen
AFD_Wahlprogramm_2021,0,3,7,1458,2230,1825,0,367,77,95.614677,Bundestag
AFD_Wahlprogramm_2021,1,1,1,553,348,585,263,32,45,96.227913,2
AFD_Wahlprogramm_2021,1,1,2,848,343,1409,0,561,51,91.264175,Inhaltsverzeichnis
AFD_Wahlprogramm_2021,1,1,1,553,662,945,13,392,56,95.618385,Demokratie
AFD_Wahlprogramm_2021,1,1,2,958,663,1089,15,131,55,96.022163,und
AFD_Wahlprogramm_2021,1,1,3,1104,663,1499,1107,395,55,96.022163,Rechtsstaat
AFD_Wahlprogramm_2021,1,1,4,2606,667,2675,0,69,50,96.892601,12
AFD_Wahlprogramm_2021,1,2,1,613,801,702,15,89,40,96.438339,Das
AFD_Wahlprogramm_2021,1,2,2,717,797,829,14,112,44,96.537918,Volk
AFD_Wahlprogramm_2021,1,2,3,843,799,901,16,58,42,96.476204,ist
AFD_Wahlprogramm_2021,1,2,4,917,797,1000,16,83,44,92.739517,der
AFD_Wahlprogramm_2021,1,2,5,1016,799,1254,1372,238,42,92.265022,Souverän
AFD_Wahlprogramm_2021,1,2,6,2626,801,2674,0,48,39,96.407776,12
AFD_Wahlprogramm_2021,1,3,1,610,880,1139,15,529,56,92.02401,Volksabstimmungen
AFD_Wahlprogramm_2021,1,3,2,1154,880,1277,17,123,44,96.7491,nach
AFD_Wahlprogramm_2021,1,3,3,1294,880,1549,16,255,44,96.122391,Schweizer
AFD_Wahlprogramm_2021,1,3,4,1565,880,1735,889,170,44,96.122391,Modell
AFD_Wahlprogramm_2021,1,3,5,2624,884,2672,0,48,40,96.87413,13
AFD_Wahlprogramm_2021,1,4,1,613,966,692,19,79,42,92.82373,Die
AFD_Wahlprogramm_2021,1,4,2,711,964,1126,16,415,56,89.936234,Gewaltenteilung
AFD_Wahlprogramm_2021,1,4,3,1142,964,1499,1128,357,56,96.82431,gewährleisten
AFD_Wahlprogramm_2021,1,4,4,2627,968,2674,0,47,40,96.921768,15
AFD_Wahlprogramm_2021,1,5,1,613,1047,1023,16,410,56,90.7314,Entpolitisierung
AFD_Wahlprogramm_2021,1,5,2,1039,1047,1122,12,83,44,96.803581,der
AFD_Wahlprogramm_2021,1,5,3,1134,1049,1272,1355,138,49,96.850143,Justiz
AFD_Wahlprogramm_2021,1,5,4,2627,1051,2674,0,47,40,96.953896,15
AFD_Wahlprogramm_2021,1,6,1,610,1130,1089,16,479,56,91.934441,Verfassungsschutz
AFD_Wahlprogramm_2021,1,6,2,1105,1130,1414,1209,309,44,91.135239,reformieren
