file,page_num,line_num,word_num,left,top,right,delta,width,height,conf,text
CDU-CSU_Wahlprogramm_2021,1,1,1,509,520,1272,0,763,71,91.92585,Inhaltsverzeichnis
CDU-CSU_Wahlprogramm_2021,1,1,1,507,760,871,2718,364,80,93.236977,Einleitung
CDU-CSU_Wahlprogramm_2021,1,1,3,3589,764,3631,0,42,56,73.432846,A
CDU-CSU_Wahlprogramm_2021,1,1,1,506,1016,562,93,56,57,91.528244,1.
CDU-CSU_Wahlprogramm_2021,1,1,2,655,1016,839,21,184,57,95.295456,Neue
CDU-CSU_Wahlprogramm_2021,1,1,3,860,1016,1420,24,560,76,96.087425,Verantwortung
CDU-CSU_Wahlprogramm_2021,1,1,4,1444,1012,1928,24,484,61,96.438148,Deutschlands
CDU-CSU_Wahlprogramm_2021,1,1,5,1952,1013,2011,24,59,59,96.795113,in
CDU-CSU_Wahlprogramm_2021,1,1,6,2035,1012,2154,19,119,61,96.688713,der
CDU-CSU_Wahlprogramm_2021,1,1,7,2173,1012,2344,22,171,61,93.251701,Welt
CDU-CSU_Wahlprogramm_2021,1,1,8,2366,1045,2404,22,38,9,91.840149,-
CDU-CSU_Wahlprogramm_2021,1,1,9,2426,1030,2545,24,119,43,96.643593,aus
CDU-CSU_Wahlprogramm_2021,1,1,10,2569,1000,3054,18,485,92,96.352974,Überzeugung
CDU-CSU_Wahlprogramm_2021,1,1,11,3072,1011,3181,23,109,62,96.839012,für
CDU-CSU_Wahlprogramm_2021,1,1,12,3204,1012,3494,0,290,72,96.853874,"Frieden,"
CDU-CSU_Wahlprogramm_2021,1,2,1,655,1117,934,22,279,61,95.140335,Freiheit
CDU-CSU_Wahlprogramm_2021,1,2,2,956,1117,1086,24,130,61,96.358536,und
CDU-CSU_Wahlprogramm_2021,1,2,3,1110,1117,1711,0,601,61,92.734695,Menschenrechte
CDU-CSU_Wahlprogramm_2021,1,3,1,655,1261,768,81,113,57,95.834694,1.1.
CDU-CSU_Wahlprogramm_2021,1,3,2,849,1257,1154,25,305,80,96.417244,Stärkung
CDU-CSU_Wahlprogramm_2021,1,3,3,1179,1257,1290,20,111,61,93.29924,der
CDU-CSU_Wahlprogramm_2021,1,3,4,1310,1265,1534,28,224,53,92.590263,werte-
CDU-CSU_Wahlprogramm_2021,1,3,5,1562,1257,1683,30,121,61,92.034851,und
CDU-CSU_Wahlprogramm_2021,1,3,6,1713,1257,2202,30,489,80,92.034851,regelbasierten
CDU-CSU_Wahlprogramm_2021,1,3,7,2232,1257,2756,0,524,61,91.877953,internationalen
CDU-CSU_Wahlprogramm_2021,1,4,1,655,1401,768,85,113,58,96.027206,1.2.
CDU-CSU_Wahlprogramm_2021,1,4,2,853,1398,1277,28,424,61,96.309601,Deutschland
CDU-CSU_Wahlprogramm_2021,1,4,3,1305,1398,1392,26,87,61,93.227737,als
CDU-CSU_Wahlprogramm_2021,1,4,4,1418,1398,1959,26,541,61,89.871155,Stabilitätsanker
CDU-CSU_Wahlprogramm_2021,1,4,5,1985,1401,2038,28,53,57,96.780167,in
CDU-CSU_Wahlprogramm_2021,1,4,6,2066,1398,2177,24,111,61,96.797737,der
CDU-CSU_Wahlprogramm_2021,1,4,7,2201,1398,2488,0,287,80,92.970673,globalen
CDU-CSU_Wahlprogramm_2021,1,5,1,655,1542,768,79,113,57,95.733032,1.3.
CDU-CSU_Wahlprogramm_2021,1,5,2,847,1537,1162,26,315,62,95.807243,Aufbruch
CDU-CSU_Wahlprogramm_2021,1,5,3,1188,1537,1286,23,98,62,96.732986,für
CDU-CSU_Wahlprogramm_2021,1,5,4,1309,1538,1410,23,101,61,93.306152,die
CDU-CSU_Wahlprogramm_2021,1,5,5,1433,1538,1987,30,554,61,91.689087,transatlantische
CDU-CSU_Wahlprogramm_2021,1,5,6,2017,1542,2089,0,72,57,80.038582,Partnerschaft
CDU-CSU_Wahlprogramm_2021,1,6,1,655,1682,768,81,113,57,95.832527,1.4.
CDU-CSU_Wahlprogramm_2021,1,6,2,849,1678,1161,26,312,61,96.09687,Stabilität
CDU-CSU_Wahlprogramm_2021,1,6,3,1187,1681,1240,29,53,57,96.709724,in
CDU-CSU_Wahlprogramm_2021,1,6,4,1269,1697,1424,30,155,61,96.802925,ganz
CDU-CSU_Wahlprogramm_2021,1,6,5,1454,1682,1684,0,230,74,89.936104,Europa
CDU-CSU_Wahlprogramm_2021,1,7,1,655,1822,768,85,113,57,93.100716,1.5.
CDU-CSU_Wahlprogramm_2021,1,7,2,853,1818,1211,24,358,61,94.780952,Besondere
CDU-CSU_Wahlprogramm_2021,1,7,3,1235,1822,1761,30,526,76,96.354233,Verantwortung
CDU-CSU_Wahlprogramm_2021,1,7,4,1791,1818,2251,26,460,61,96.265167,Deutschlands
CDU-CSU_Wahlprogramm_2021,1,7,5,2277,1818,2644,908,367,80,96.524315,gegenüber
CDU-CSU_Wahlprogramm_2021,1,7,7,3552,1822,3629,0,77,57,92.070358,LO
CDU-CSU_Wahlprogramm_2021,1,8,1,655,1963,768,85,113,57,96.186493,1.6.
CDU-CSU_Wahlprogramm_2021,1,8,2,853,1963,1028,24,175,57,96.173294,Neue
CDU-CSU_Wahlprogramm_2021,1,8,3,1052,1958,1623,21,571,62,95.571587,Aufmerksamkeit
CDU-CSU_Wahlprogramm_2021,1,8,4,1644,1958,1742,22,98,62,96.913925,für
CDU-CSU_Wahlprogramm_2021,1,8,5,1764,1959,1885,29,121,61,92.751656,den
CDU-CSU_Wahlprogramm_2021,1,8,6,1914,1958,2624,0,710,79,90.961914,asiatisch-pazifischen
CDU-CSU_Wahlprogramm_2021,1,9,1,655,2103,768,81,113,58,93.943077,1.7.
CDU-CSU_Wahlprogramm_2021,1,9,2,849,2099,1159,28,310,61,96.209015,Moderne
CDU-CSU_Wahlprogramm_2021,1,9,3,1187,2099,1308,25,121,61,96.091553,und
CDU-CSU_Wahlprogramm_2021,1,9,4,1333,2099,1451,27,118,61,93.305885,voll
CDU-CSU_Wahlprogramm_2021,1,9,5,1478,2099,1967,29,489,61,92.356117,einsatzbereite
CDU-CSU_Wahlprogramm_2021,1,9,6,1996,2099,2419,0,423,61,92.297905,Bundeswehr
CDU-CSU_Wahlprogramm_2021,1,10,1,655,2243,768,85,113,57,84.691864,1.8.
CDU-CSU_Wahlprogramm_2021,1,10,2,853,2243,958,23,105,57,93.577728,Für
CDU-CSU_Wahlprogramm_2021,1,10,3,981,2242,1123,29,142,58,94.552589,eine
CDU-CSU_Wahlprogramm_2021,1,10,4,1152,2239,1548,30,396,80,96.435852,nachhaltige
CDU-CSU_Wahlprogramm_2021,1,10,5,1578,2239,1993,27,415,80,96.363144,Entwicklung
CDU-CSU_Wahlprogramm_2021,1,10,6,2020,2242,2073,28,53,57,96.368103,in
CDU-CSU_Wahlprogramm_2021,1,10,7,2101,2239,2212,28,111,61,96.64669,der
CDU-CSU_Wahlprogramm_2021,1,10,8,2240,2242,2419,27,179,58,96.148003,Einen
CDU-CSU_Wahlprogramm_2021,1,10,9,2446,2239,2607,945,161,61,92.611404,Welt
