file,page_num,line_num,word_num,left,top,right,delta,width,height,conf,text
FDP_Wahlprogramm_2021,0,1,1,2750,5126,3214,0,464,151,96.683739,Freie
FDP_Wahlprogramm_2021,0,2,1,2750,5295,3938,0,1188,157,96.412109,Demokraten
FDP_Wahlprogramm_2021,1,1,1,3095,163,3124,0,29,28,78.518242,|
FDP_Wahlprogramm_2021,1,2,1,2782,171,3247,0,465,144,74.736717,Freie
FDP_Wahlprogramm_2021,1,3,1,2782,333,3970,0,1188,156,96.390327,Demokraten
FDP_Wahlprogramm_2021,1,4,1,398,2783,643,23,245,53,96.704735,Beschluss
FDP_Wahlprogramm_2021,1,4,2,666,2783,756,24,90,53,96.749245,des
FDP_Wahlprogramm_2021,1,4,3,780,2787,867,27,87,49,93.254097,72.
FDP_Wahlprogramm_2021,1,4,4,894,2783,1016,31,122,53,91.739227,Ord.
FDP_Wahlprogramm_2021,1,4,5,1047,2783,1476,26,429,68,89.231232,Bundesparteitag
FDP_Wahlprogramm_2021,1,4,6,1502,2783,1589,25,87,53,96.19738,der
FDP_Wahlprogramm_2021,1,4,7,1614,2788,1769,29,155,48,96.336411,Freien
FDP_Wahlprogramm_2021,1,4,8,1798,2783,2113,24,315,53,96.438881,Demokraten
FDP_Wahlprogramm_2021,1,4,9,2137,2805,2244,35,107,31,93.287949,vom
FDP_Wahlprogramm_2021,1,4,10,2279,2786,2491,27,212,50,89.055649,14.-16.
FDP_Wahlprogramm_2021,1,4,11,2518,2787,2621,26,103,49,95.851067,Mai
FDP_Wahlprogramm_2021,1,4,12,2647,2787,2783,0,136,49,82.72229,2021
FDP_Wahlprogramm_2021,2,1,1,295,760,635,0,340,118,72.931427,INHALT
FDP_Wahlprogramm_2021,2,1,1,294,934,369,41,75,72,95.292854,Wie
FDP_Wahlprogramm_2021,2,1,2,410,960,451,31,41,33,95.292854,es
FDP_Wahlprogramm_2021,2,1,3,482,943,571,31,89,59,96.600594,"ist,"
FDP_Wahlprogramm_2021,2,1,4,602,938,705,23,103,55,96.712662,darf
FDP_Wahlprogramm_2021,2,1,5,728,960,778,23,50,33,96.303795,es
FDP_Wahlprogramm_2021,2,1,6,801,939,925,25,124,54,95.692848,nicht
FDP_Wahlprogramm_2021,2,1,7,950,939,1137,0,187,54,91.96064,bleiben
FDP_Wahlprogramm_2021,2,2,1,294,1038,472,48,178,71,96.595398,Werden
FDP_Wahlprogramm_2021,2,2,2,520,1038,610,29,90,71,96.595398,wir
FDP_Wahlprogramm_2021,2,2,3,639,1042,722,29,83,54,95.916061,das
FDP_Wahlprogramm_2021,2,2,4,751,1042,888,29,137,63,96.431572,"Land,"
FDP_Wahlprogramm_2021,2,2,5,917,1042,1001,28,84,54,95.675323,das
FDP_Wahlprogramm_2021,2,2,6,1029,1046,1072,28,43,49,96.480385,in
FDP_Wahlprogramm_2021,2,2,7,1100,1063,1178,27,78,33,96.316322,uns
FDP_Wahlprogramm_2021,2,2,8,1205,1042,1355,0,150,54,91.169365,steckt
FDP_Wahlprogramm_2021,2,3,1,298,1149,371,32,73,50,97.008362,Die
FDP_Wahlprogramm_2021,2,3,2,403,1145,596,25,193,69,96.707611,richtige
FDP_Wahlprogramm_2021,2,3,3,621,1145,859,31,238,69,96.540916,Richtung:
FDP_Wahlprogramm_2021,2,3,4,890,1145,1020,34,130,54,96.434196,durch
FDP_Wahlprogramm_2021,2,3,5,1054,1145,1134,26,80,54,96.434196,die
FDP_Wahlprogramm_2021,2,3,6,1160,1141,1286,34,126,77,96.383675,Mitte
FDP_Wahlprogramm_2021,2,3,7,1320,1145,1430,31,110,54,96.383675,nach
FDP_Wahlprogramm_2021,2,3,8,1461,1166,1604,0,143,33,92.30957,vorne
FDP_Wahlprogramm_2021,2,4,1,294,1244,393,31,99,77,96.42836,Wir
FDP_Wahlprogramm_2021,2,4,2,424,1248,586,24,162,54,96.738235,wollen
FDP_Wahlprogramm_2021,2,4,3,610,1248,848,0,238,69,91.80014,gestalten
FDP_Wahlprogramm_2021,2,5,1,298,1357,326,39,28,48,79.79039,l.
FDP_Wahlprogramm_2021,2,5,2,365,1355,440,36,75,50,96.730507,Nie
FDP_Wahlprogramm_2021,2,5,3,476,1372,561,25,85,33,96.612839,war
FDP_Wahlprogramm_2021,2,5,4,586,1372,640,31,54,33,96.81337,es
FDP_Wahlprogramm_2021,2,5,5,671,1346,1014,40,343,78,96.619354,notwendiger:
FDP_Wahlprogramm_2021,2,5,6,1054,1346,1230,32,176,78,96.733635,Machen
FDP_Wahlprogramm_2021,2,5,7,1262,1355,1347,28,85,50,96.463776,wir
FDP_Wahlprogramm_2021,2,5,8,1375,1346,1436,34,61,78,96.853989,uns
FDP_Wahlprogramm_2021,2,5,9,1470,1350,1535,26,65,55,96.166367,fit
FDP_Wahlprogramm_2021,2,5,10,1561,1350,1627,38,66,55,96.186211,für
FDP_Wahlprogramm_2021,2,5,11,1665,1346,1743,21,78,78,93.285225,den
FDP_Wahlprogramm_2021,2,5,12,1764,1350,2277,0,513,70,70.897858,Aufholwettbewerb!
FDP_Wahlprogramm_2021,2,6,1,357,1455,610,34,253,68,96.427124,Sicherung
FDP_Wahlprogramm_2021,2,6,2,644,1455,726,31,82,53,96.081009,der
FDP_Wahlprogramm_2021,2,6,3,757,1455,980,40,223,53,96.081009,Sozialen
FDP_Wahlprogramm_2021,2,6,4,1020,1451,1419,37,399,77,96.282761,Marktwirtschaft
FDP_Wahlprogramm_2021,2,6,5,1456,1455,1534,31,78,53,96.888374,und
FDP_Wahlprogramm_2021,2,6,6,1565,1455,1784,33,219,68,96.629715,Stärkung
FDP_Wahlprogramm_2021,2,6,7,1817,1455,1903,34,86,53,96.629715,der
FDP_Wahlprogramm_2021,2,6,8,1937,1451,2200,45,263,77,89.893768,Wirtschaft
FDP_Wahlprogramm_2021,2,6,9,2245,1501,2252,0,7,7,79.657478,.
FDP_Wahlprogramm_2021,2,7,1,359,1558,621,29,262,68,96.655769,Entlastung
FDP_Wahlprogramm_2021,2,7,2,650,1558,729,39,79,53,96.678154,und
FDP_Wahlprogramm_2021,2,7,3,768,1558,887,31,119,53,96.479568,faire
FDP_Wahlprogramm_2021,2,7,4,918,1562,1105,0,187,49,81.548195,Steuern
FDP_Wahlprogramm_2021,2,8,1,359,1657,676,33,317,77,96.097,Investitionen
FDP_Wahlprogramm_2021,2,8,2,709,1669,748,30,39,44,96.692215,in
FDP_Wahlprogramm_2021,2,8,3,778,1661,855,32,77,53,96.402855,die
FDP_Wahlprogramm_2021,2,8,4,887,1661,1072,0,185,53,87.913399,Zukunft
FDP_Wahlprogramm_2021,2,9,1,359,1769,487,32,128,48,96.852936,Faire
FDP_Wahlprogramm_2021,2,9,2,519,1760,678,25,159,76,96.712318,Regeln
FDP_Wahlprogramm_2021,2,9,3,703,1760,776,34,73,76,96.923111,bei
FDP_Wahlprogramm_2021,2,9,4,810,1760,894,0,84,76,96.271332,der
FDP_Wahlprogramm_2021,2,9,5,887,1764,1666,0,779,68,96.56707,internationalen
FDP_Wahlprogramm_2021,2,9,6,1349,1760,1679,2092,330,76,86.344498,Besteuerung
FDP_Wahlprogramm_2021,2,9,10,3771,1768,3833,0,62,48,93.383965,12
FDP_Wahlprogramm_2021,2,10,1,359,1867,542,28,183,68,96.645203,Bildung
FDP_Wahlprogramm_2021,2,10,2,570,1867,650,27,80,53,96.632942,der
FDP_Wahlprogramm_2021,2,10,3,677,1867,854,33,177,53,92.259903,Zukunft
FDP_Wahlprogramm_2021,2,10,4,887,1902,901,36,14,4,86.799179,-
FDP_Wahlprogramm_2021,2,10,5,937,1863,1116,36,179,76,96.820549,Chancen
FDP_Wahlprogramm_2021,2,10,6,1152,1867,1234,26,82,53,96.655182,für
