file,page_num,line_num,word_num,left,top,right,delta,width,height,conf,text
SPD_Wahlprogramm_2021,0,3,1,787,1446,1527,108,740,271,96.714607,VOR
SPD_Wahlprogramm_2021,0,3,2,1635,1449,2872,0,1237,265,96.432365,DEINER
SPD_Wahlprogramm_2021,0,5,2,2540,2133,2693,0,153,458,88.832253,4
SPD_Wahlprogramm_2021,0,6,1,810,2868,1157,67,347,141,93.286011,DAS
SPD_Wahlprogramm_2021,0,6,2,1224,2868,3330,0,2106,142,89.782707,ZUKUNFTSPROGRAMM
SPD_Wahlprogramm_2021,0,7,1,2561,5283,3045,0,484,313,91.254799,SPD
SPD_Wahlprogramm_2021,1,1,1,1040,241,1261,0,221,55,96.445885,Soziale
SPD_Wahlprogramm_2021,1,2,1,1042,311,1240,18,198,55,96.741631,Politik
SPD_Wahlprogramm_2021,1,2,2,1258,311,1350,1389,92,55,96.859398,für
SPD_Wahlprogramm_2021,1,2,3,2739,322,2844,18,105,44,93.094002,DAS
SPD_Wahlprogramm_2021,1,2,4,2862,322,3495,18,633,44,87.498322,ZUKUNFTSPROGRAMM
SPD_Wahlprogramm_2021,1,2,5,3513,322,3618,16,105,43,96.708702,DER
SPD_Wahlprogramm_2021,1,2,6,3634,322,3737,0,103,44,96.62133,SPD
SPD_Wahlprogramm_2021,1,3,1,1042,381,1194,2354,152,55,96.230934,Dich.
SPD_Wahlprogramm_2021,1,3,2,3548,393,3738,0,190,42,96.565857,INHALT
SPD_Wahlprogramm_2021,1,4,1,495,1644,588,59,93,42,96.798271,1.0.
SPD_Wahlprogramm_2021,1,4,2,647,1637,865,27,218,66,96.391594,Zukunft.
SPD_Wahlprogramm_2021,1,4,3,892,1641,1103,1077,211,58,92.750595,Respekt.
SPD_Wahlprogramm_2021,1,4,6,2180,1644,2264,64,84,42,93.114365,3.4.
SPD_Wahlprogramm_2021,1,4,7,2328,1641,2713,915,385,45,91.928215,Alterabsichern
SPD_Wahlprogramm_2021,1,4,9,3628,1642,3734,0,106,44,73.01722,>35
SPD_Wahlprogramm_2021,1,5,1,496,1792,581,66,85,41,87.821373,1.1.
SPD_Wahlprogramm_2021,1,5,2,647,1788,1043,1137,396,45,89.601013,Zukunftsichern
SPD_Wahlprogramm_2021,1,5,7,2180,1791,2264,68,84,42,91.128456,3.5.
SPD_Wahlprogramm_2021,1,5,8,2332,1788,2905,49,573,45,90.723991,Füreinandereinstehen
SPD_Wahlprogramm_2021,1,5,9,2954,1825,3577,51,623,7,74.966393,....................
SPD_Wahlprogramm_2021,1,5,10,3628,1789,3735,0,107,44,74.966393,>36
SPD_Wahlprogramm_2021,1,6,1,496,1938,581,68,85,42,91.278282,1.2.
SPD_Wahlprogramm_2021,1,6,2,649,1935,1092,0,443,59,91.278282,Respekterneuern
SPD_Wahlprogramm_2021,1,7,1,496,2086,581,68,85,42,92.714401,1.3.
SPD_Wahlprogramm_2021,1,7,2,649,2083,1027,1153,378,59,91.331665,Europastärken
SPD_Wahlprogramm_2021,1,7,6,2180,2086,2264,66,84,42,91.411041,3.7.
SPD_Wahlprogramm_2021,1,7,7,2330,2083,2747,881,417,45,89.135811,Gutaufwachsen
SPD_Wahlprogramm_2021,1,7,11,3628,2102,3645,27,17,25,73.284729,>
SPD_Wahlprogramm_2021,1,7,12,3672,2084,3735,0,63,44,73.284729,39
SPD_Wahlprogramm_2021,1,8,1,496,2234,581,66,85,41,92.646194,1.4.
SPD_Wahlprogramm_2021,1,8,2,647,2230,1037,16,390,45,94.528801,Zusammenhalt
SPD_Wahlprogramm_2021,1,8,3,1053,2230,1239,941,186,45,89.536865,wählen
SPD_Wahlprogramm_2021,1,8,5,2180,2233,2264,66,84,42,89.616142,3.8.
SPD_Wahlprogramm_2021,1,8,6,2330,2230,3577,51,1247,59,78.887085,Gleichstellungverwirklichen.................
SPD_Wahlprogramm_2021,1,8,7,3628,2231,3734,0,106,43,91.242821,>42
SPD_Wahlprogramm_2021,1,9,1,495,2380,588,60,93,42,96.73584,2.0.
