;Unnamed: 0;Partei;Topic;Score;Anteil
0;0;AFD;Politik und Ideologie;840;0.1115
1;1;AFD;wirtschaft;557;0.0883
2;2;AFD;soziale Ursachen;182;0.0974
3;3;AFD;Klima;66;0.0912
4;4;AFD;Gesundheit;107;0.1132
5;5;AFD;Wissenschaft;62;0.108
6;6;AFD;Bildung;76;0.1128
7;7;AFD;Infrastruktur;23;0.1022
8;8;CDU-CSU;soziale Ursachen;187;0.1001
9;9;CDU-CSU;wirtschaft;897;0.1422
10;10;CDU-CSU;Politik und Ideologie;1247;0.1655
11;11;CDU-CSU;Gesundheit;142;0.1503
12;12;CDU-CSU;Klima;136;0.1878
13;13;CDU-CSU;Infrastruktur;38;0.1689
14;14;CDU-CSU;Wissenschaft;137;0.2387
15;15;CDU-CSU;Bildung;78;0.1157
16;16;GRUENE;soziale Ursachen;729;0.39
17;17;GRUENE;Politik und Ideologie;1857;0.2464
18;18;GRUENE;wirtschaft;1476;0.2339
19;19;GRUENE;Infrastruktur;60;0.2667
20;20;GRUENE;Bildung;162;0.2404
21;21;GRUENE;Gesundheit;220;0.2328
22;22;GRUENE;Klima;226;0.3122
23;23;GRUENE;Wissenschaft;150;0.2613
24;24;LINKE;wirtschaft;1959;0.3105
25;25;LINKE;Politik und Ideologie;1992;0.2643
26;26;LINKE;soziale Ursachen;436;0.2333
27;27;LINKE;Klima;173;0.239
28;28;LINKE;Gesundheit;266;0.2815
29;29;LINKE;Infrastruktur;68;0.3022
30;30;LINKE;Bildung;205;0.3042
31;31;LINKE;Wissenschaft;123;0.2143
32;32;FDP;wirtschaft;691;0.1095
33;33;FDP;Politik und Ideologie;987;0.131
34;34;FDP;soziale Ursachen;190;0.1017
35;35;FDP;Bildung;108;0.1602
36;36;FDP;Wissenschaft;73;0.1272
37;37;FDP;Gesundheit;131;0.1386
38;38;FDP;Klima;71;0.0981
39;39;FDP;Infrastruktur;17;0.0756
40;40;SPD;Politik und Ideologie;614;0.0815
41;41;SPD;wirtschaft;730;0.1157
42;42;SPD;soziale Ursachen;145;0.0776
43;43;SPD;Klima;52;0.0718
44;44;SPD;Gesundheit;79;0.0836
45;45;SPD;Wissenschaft;29;0.0505
46;46;SPD;Infrastruktur;19;0.0844
47;47;SPD;Bildung;45;0.0668
