,text,topic
0,deutschland,wirtschaft
1,normal,wirtschaft
2,normal,wirtschaft
3,programm alternative deutschland wahl   deutsch bundestag   ad,wirtschaft
4,inhaltsverzeichnis   demokratie rechtsstaat,wirtschaft
5,volk souverän,wirtschaft
6,volksabstimmung schweizer modell,wirtschaft
7,gewaltenteilung gewährleisten,wirtschaft
8,entpolitisierung justiz,wirtschaft
9,verfassungsschutz reformieren,wirtschaft
10,trennung amt mandat kampf ämterpatronag,wirtschaft
11,partei beschränken,wirtschaft
12,frei listenwahl frei mandat,wirtschaft
13,verkleinerung parlament,wirtschaft
14,berufspolitikertum mandat amtszeit begrenzen,wirtschaft
15,lobbyismus eindämmen,wirtschaft
16,freiheit verantwortung,wirtschaft
17,bürgerlich-freiheitlich rechtsordnung,wirtschaft
18,leistung quote freiheit diskriminierung,wirtschaft
19,schutz persönlich freiheit digital übergriffen,wirtschaft
20,hinweisgeber whistleblower schützen,wirtschaft
21,eu europa,wirtschaft
22,europa vaterländ,wirtschaft
23,zurückführung europäisch union staatenbund souverän staat,Politik und Ideologie
24,steuer finanz,wirtschaft
25,eu-steuern,wirtschaft
26,steuersystem weniger steuerart verständlich systematik,wirtschaft
27,abschaffung substanzsteuer,wirtschaft
28,land wohnungseigentümer,wirtschaft
29,elementar steuergerechtigkeit nominalwertprinzip ungleichbehandlung steuerbürger,wirtschaft
30,besteuerung digitalzeitalter anpassen einführung digitalsteuer,wirtschaft
31,inhaltsverzeichnis,wirtschaft
32,wirtschaft blue deal,wirtschaft
33,wirtschaft innovationspolitik deutschland,wirtschaft
34,mittelstand entlasten,wirtschaft
35,politisch induziert belastung aussetzen,wirtschaft
36,technologieführerschaft blue deal,wirtschaft
37,sozial marktwirtschaft sozialistisch industriepolitik,Politik und Ideologie
38,euro scheitern,wirtschaft
39,deutschland untergehend euro-system austreten,wirtschaft
40,schuldenaufnahme eu hilfskredit aufnationaler ebene,wirtschaft
41,zusätzlich inflationierung überzogen corona-mafsnahme beenden,wirtschaft
42,ezb-nullzinspolitik beenden,wirtschaft
43,wohlstand sozial frieden europa wiedereinführung national währung,wirtschaft
44,erhalt bargeld bargeld freiheit schutz enteignung totalüberwachung,wirtschaft
45,target-risiko beenden,wirtschaft
46,national investition,wirtschaft
47,absicherung eurokrise geldsystem reformieren deutsch staatsgold vollständig deutschland,wirtschaft
48,außen verteidigungspolitik,wirtschaft
49,außenpolitik deutschland deutsch interesse ausrichten,wirtschaft
50,verhältnis wichtig staat wandel geopolitik,wirtschaft
51,wiederherstellung wehrfähigkeit deutschland,wirtschaft
52,entwicklungspolitik stabilität sicherheit wirtschaftsinteres,wirtschaft
53,deutschland wirtschaftlich stärke ausbauen,wirtschaft
54,auswärtig kultur bildungspolitik deutschland,wirtschaft
55,inhaltsverzeichnis   innerer sicherheit,wirtschaft
56,linke gewalt entschieden bekämpfen,wirtschaft
57,wirksam bekämpfung ausländerkriminalität,wirtschaft
58,vollstreckung ausland,wirtschaft
59,jugendstrafrecht,wirtschaft
60,bundespolizei stärken grenzschutz national aufgabe,wirtschaft
61,reform polizei,wirtschaft
62,fahndungsmöglichkeit verbessern,wirtschaft
63,organisierte kriminalität bekämpfen,wirtschaft
64,sicherheit bürger verbessern,wirtschaft
65,strafjustiz verbessern,wirtschaft
66,islam,wirtschaft
67,migration asyl integration   human rational handeln deutschland schützen,wirtschaft
68,fluchtbewegung   jahrhundert mittels aufnahme migrant europa deutschland bewältigen,wirtschaft
69,asylmissbrauch beenden,wirtschaft
70,unlösbar folgeproblem,wirtschaft
71,asylparadies deutschland schliefsen,wirtschaft
72,abschiebung rückkehr,wirtschaft
73,leben retten sozial gerechtigkeit herstellen,wirtschaft
74,hilfe ort tod weg europa,wirtschaft
75,zuwanderung national regeln,wirtschaft
76,qualifizierte zuwanderung,wirtschaft
77,integration,wirtschaft
78,deutsch staatsangehörigkeit kostbar,wirtschaft
79,inhaltsverzeichnis,wirtschaft
80,familienpolitik,wirtschaft
81,familie stärken fördern,wirtschaft
82,ursache demografisch katastrophe,wirtschaft
83,leistungsfähigkeit familie erhalten,wirtschaft
84,familie unterstützen,wirtschaft
85,familienfreundliches deutschland,wirtschaft
86,kinderin familie belassen kindesentzug ausnahmefall,wirtschaft
87,willkommenskultur kind,wirtschaft
88,trennungsfolg mindern,wirtschaft
89,verantwortungsvoll kinderbetreuung,wirtschaft
90,geschlecht biologisch tatsache,wirtschaft
91,arbeit sozialpolitik,wirtschaft
92,zuwanderung eu-ausländer sozialsystem begrenzen,wirtschaft
93,national gesetzgebungshoheit sozialrecht verteidigen,wirtschaft
94,auszahlung sozialleistung ausländisch konto,wirtschaft
95,lohndumping leiharbeit verhindern,wirtschaft
96,mindestlohn beibehalten,wirtschaft
97,arbeitsleben würdigen arbeitslosengeld i gerecht gestalten,soziale Ursachen
98,reform arbeitslosenversicherung,soziale Ursachen
99,aktivierend grundsicherung arbeit lohnen,wirtschaft
100,finanzkontrolle schwarzarbeit stärken,wirtschaft
101,arbeitsrecht reformieren vereinfachen,wirtschaft
102,gezielt mafßfnahmen wohnung obdachlosigkeit,wirtschaft
103,arbeitsplatz fair entlohnung schwerbehindert mensch,wirtschaft
104,verbesserung mensch behinderung krankenhaus,wirtschaft
105,inhaltsverzeichnis   rentenkonzept afd,wirtschaft
106,rente zukunftsfest,wirtschaft
107,freiheit renteneintritt,wirtschaft
108,altersarmut verhindern,soziale Ursachen
109,abschaffung politikerpensione,wirtschaft
110,reduzierung beamtenstatus originär hoheitlich aufgabe,wirtschaft
111,lastengerechtigkeit familie kinderlose herstellen,wirtschaft
112,ungerechtigkeit überleitung ostrente beseitigen,wirtschaft
113,doppelbesteuerung steuerfreibetrag anheben,wirtschaft
114,umlagefinanziert rente stärken,wirtschaft
115,wehrdienst rentenpolitisch würdigen,wirtschaft
116,gesundheitspolitik,wirtschaft
117,schluss unverhältnismäfßig corona-mafsnahme,wirtschaft
118,impfen freiwillig bleiben,wirtschaft
119,einsetzung parlamentarisch corona-untersuchungsausschuss,wirtschaft
120,krankenhaus klinik brauchen planungssicherheit   individuell auskömmlich finanzierung,wirtschaft
121,serviceorientiert ambulant versorgung beendigung   budgetierung,wirtschaft
122,medizinisch versorgung land wiederh sichern,Gesundheit
123,zugang heil hilfsmittel entbürokratisi,wirtschaft
124,kurzzeitpflegeplatz krankenhaus finanzieren,wirtschaft
125,beendigung pflegenotstand,wirtschaft
126,vorfahrt häuslich pflege,wirtschaft
127,vereinfachung gut übersichtlichkeit   sozial pflege gesetzlich krankenversicherung,wirtschaft
128,arzneimittelversorgung verlässlich,wirtschaft
129,organspende sterbehilfe,wirtschaft
130,cannabis iin medizin,wirtschaft
131,antibiotikaresistenzen vermeiden konsequent bekämpfen,wirtschaft
132,beruf heilpraktiker erhalten,wirtschaft
133,anforderung ausländisch personal gesundheitswesen,wirtschaft
134,souveränität patient datum herstellen,wirtschaft
135,who grundlegend reformieren,wirtschaft
136,inhaltsverzeichnis,wirtschaft
137,bildung wissenschaft forschung,wirtschaft
138,mut leistung akademisierungswahn,wirtschaft
139,mehrgliedrige schulsystem erhalten,wirtschaft
140,berufliche bildung stärken meister master,wirtschaft
141,digitalisierung selbstzweck,wirtschaft
142,ideologisch motiviert inklusion förder sonderschule erhalten,wirtschaft
143,bildung migration,wirtschaft
144,neutralität schule wiederherstellen,wirtschaft
145,kompetenzorientierung entwerten bildung,wirtschaft
146,deutsches kulturgut unterricht vermitteln,wirtschaft
147,bekenntnisgebunden islamunterricht deutsch schule,wirtschaft
