,text,topic
0,frei demokrat frei demokrat   beschluss   ord,wirtschaft
1,bundesparteitag frei demokrat mai,wirtschaft
2,bleiben,wirtschaft
3,cccccceeee see essen een ee e ee error eeeeeereeeeee ne,wirtschaft
4,land stecken,wirtschaft
5,ccccoeeeeeneenee nennen een nee ers seen eeeeen ne,wirtschaft
6,richtig richtung mitte vorne,Politik und Ideologie
7,eeeeseeneeeeneenen nennen ernennen nennen nennen,wirtschaft
8,gestalten,wirtschaft
9,seseeeeeneneenneneeneneeneeneneeneenenee seen neeneeneneeneennnnne,wirtschaft
10,notwendig fit aufholwettbewerb,wirtschaft
11,eeeeeeeeeneneenenenenn ne,wirtschaft
12,sicherung sozial marktwirtschaft stärkung wirtschaft,wirtschaft
13,neseeeeeeeeeneneeenen nenn entlastung fair steuer,wirtschaft
14,cccooon nennen eeeeeeeeeeeeeeeeeeeeeen,wirtschaft
15,investition zukunft,wirtschaft
16,cocoon eeeeeeeeeeeeeeeeeen,wirtschaft
17,faire regel international besteuerung,wirtschaft
18,oooooonneenneeeernnenneeeeeeeeeereeneeen,wirtschaft
19,bildung zukunft chance aufstieg selbstbestimmung,wirtschaft
20,cusooeeneneneeeeeeeenneneenn,wirtschaft
21,berufliche bildung,wirtschaft
22,ooseeeene nennen eeeeeeeeeneeeeeeeeeeeeeeeenn,wirtschaft
23,hochschule forschung,wirtschaft
24,seeee nennen nnneeeeeeeeeeeneeeeeeeeeeeeeeeenn,wirtschaft
25,ii,wirtschaft
26,modernisierung dringlich modernisieren land,wirtschaft
27,ceeeeeeeeenenenenen nen,wirtschaft
28,unkomplizierter staat ccooenennneneneneeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeen,wirtschaft
29,innovation nation,wirtschaft
30,men nennen nennen ee eeeeeeeeeeeeeeeeeeeen   aug   > | eee,wirtschaft
31,dite tixe ei   te,wirtschaft
32,modern arbeitswelt,wirtschaft
33,oo ee esse essen eeeeeeeeeeeenn,wirtschaft
34,gesundheit,wirtschaft
35,cos eeeeeeeeeee nennen,wirtschaft
36,ye,wirtschaft
37,modernes stark familie,wirtschaft
38,r eeeeeeeeeeeeeeeenn,wirtschaft
39,schutz privatsphäre,wirtschaft
40,ueeeeeeeeeenen nennen,wirtschaft
41,handlungsfähiger rechtsstaat,wirtschaft
42,oooooo nennen ern neeeeeeeeeeneeeeeeeeeeeeereeeen,wirtschaft
43,presse meinungsfreiheit schützen,wirtschaft
44,ccm meeee ernennen neeeeeeeeeeeeeeneenn,wirtschaft
45,demokratie parlamentarismus cc cosennnnneneneeeneeeeeeeeeeeeeeeeeeeeeeeeeeenn,wirtschaft
46,tolerante weltoffen gesellschaft,wirtschaft
47,oe essen eeeeeeeeeeeenn,wirtschaft
48,kommune sport ehrenamt stärken,wirtschaft
49,como eeeeneenn,wirtschaft
50,n,wirtschaft
51,ill,wirtschaft
52,chance groß bewältigen herausforderung,wirtschaft
53,eeeeeenenen,wirtschaft
54,klima umweltschutz innovation m eeeeeen nennen eneeeeeeeeeeereeneenn,wirtschaft
55,zukunftsfähige stark europäisch union,Politik und Ideologie
56,onneeeeee essen eeeeeeeereeeeenn,wirtschaft
57,klar regel,wirtschaft
58,coooooooo nennen eeeeeeeeeeeeeeeeeeeeeeeeeneenn,wirtschaft
59,grundsatz liberal außenpolitik,Politik und Ideologie
60,ones eeeeeeeeeeene nennen,wirtschaft
61,freiheit menschenrecht weltweit,wirtschaft
62,cc ooneennnneneeeneeeeeneeeeeeeeeeeeeeeeeeeeenn,wirtschaft
63,entwicklungspolitik chance,wirtschaft
64,einwanderung flucht,wirtschaft
65,cuoooe een neeeeeeeeeeeeeeeeeeeeeeeeeeeeen,wirtschaft
66,ganzheitlich energiesystem,wirtschaft
67,cc comes eeeeeeeeeeeene,wirtschaft
68,land forstwirtschaft angeln fischerei jagd,wirtschaft
69,cc oonennnnneeeeeeeeeeeeeeeeeeeeenn,wirtschaft
70,wohnen oo ee essen eeeeeeeeeeeeeenn,wirtschaft
71,liberales bürgergeld oosmeeee een nnneeeeeeeeeeneeeeeeeeeeeeeeeeenn,Politik und Ideologie
72,enkelfitte rente,wirtschaft
73,ooooonnn rennen eeeeeeeeeeeeeeeeeeeeeeenen,wirtschaft
74,pandemie zeigen,wirtschaft
75,gespürt vorher,wirtschaft
76,welt verändern rasant,wirtschaft
77,erwach- sen chance risiko,wirtschaft
78,ändern tragen risiko chance ergreifen,wirtschaft
79,deutschland trügerisch bild vermit- teln bleiben können,wirtschaft
80,versprechen vertraut deutschland land bleiben können gerne leben verändern,wirtschaft
81,wissen falsch,wirtschaft
82,ergebnis politik unser staat träge schlank stark,wirtschaft
83,pandemie zeigen,wirtschaft
84,staat ver- waltung digitalisieren formular zettelwirtschaft festhalten,wirtschaft
85,staat gesundheitssystem digitalisieren gesundheitsamt gegenseitig fax schicken,wirtschaft
86,hochquali fiziert beamtin beamter liste abtippen hilfe modern digital technologie effektiv infektion kette nachverfolgen,wirtschaft
87,staat per sms impfung einladen impftermine per brief vergeben,wirtschaft
88,schützend maske schnell pragma- tisch schutzbedürftig mensch schicken drucken aufwendig bezugsschein versenden per post nötig gefährdet mensch maske belebt innenstadt abzuholen,Infrastruktur
89,krise basistechnologie papier klammern sein,wirtschaft
90,jahrhundert,wirtschaft
91,schluss,wirtschaft
92,unser staat umfassend modernisieren   jahrhun dern ankommen,wirtschaft
93,bilanz politik leben kosten zukunft,wirtschaft
94,wettbewerb unternehmertum innovation för dern setzen politik koalition altbekann- tes altmodisch,wirtschaft
95,wohlstand nachhaltigkeit wachstum klimapolitik wirtschaftlich stärke öko logisch verantwortung verbinden setzen verbot dirigismus,wirtschaft
96,sozialsystem fit zukunft problem demographisch wan dels verschärfen,wirtschaft
97,weltbeste bildung sorgen   zulassen bildungssystem mensch fair aufstiegschance bieten,wirtschaft
98,eigeninitiative übernahme persönlich verantwortung jeder einzelnen stärken verzetteln bürokratie,wirtschaft
99,handlungsfähig rechtsstaat sorgen sicherheit bürgerrecht gleichermaßen schützen politik freiheit sicherheit erschrecken- art weise unterordnen,wirtschaft
100,bleiben,wirtschaft
101,wissen,wirtschaft
102,nachricht bleiben,wirtschaft
103,,wirtschaft
104,schicksal,wirtschaft
105,hand,wirtschaft
106,mission,wirtschaft
107,programm frei demokrat bundestagswahl   kraft umfassend modernisierung deutschland stecken,wirtschaft
108,stecken mensch,wirtschaft
109,stecken kraft frei wissenschaft sozial markt wirtschaft,wirtschaft
110,schnell entwicklung impfstoffen covid-durch deutsch forscherin forscher zeigen hart arbeit entschlossenheit erfindergeist berg versetzen,wirtschaft
111,grundlage freiheit,wirtschaft
112,wich tig,wirtschaft
113,holen freiheit neustart politik,wirtschaft
114,land stecken,wirtschaft
115,bleiben,wirtschaft
116,veränderung nötig,wirtschaft
117,veränderung fortschritt,wirtschaft
118,alt irrweg finden neuerdings zulauf,wirtschaft
119,versuchen men- schen merkmal herkunft kultur religion sexuell orientierung hautfarbe spalten gegeneinander stellung bringen,soziale Ursachen
120,linke versuchen mensch merkmal erfolg einkommen vermögen spalten gegeneinander stellung bringen,wirtschaft
121,beide irr weg,wirtschaft
122,fortschritt vorne mitte,wirtschaft
123,richtig richtung,Politik und Ideologie
124,mitte vorne   fit zukunft,wirtschaft
125,fit auf- holwettbewerb entfessel kraft sozial markt wirtschaft weltbe bildung wohlstand freiheit aufstiegschance,wirtschaft
126,nutzen agilität marktwirt schaft schnell krise wachsen,wirtschaft
127,vorreiter modernisierung,wirtschaft
128,grund deutschland neu,wirtschaft
129,nutzen chance digitalisierung,wirtschaft
130,modernisierung pflichtprogramm verwaltung gesundheitswesen arbeitsmarkt,wirtschaft
131,land chance,wirtschaft
132,nutzen schub kraft freiheit sozial marktwirtschaft modernisierung bewältigung heraus forderung europa freiheit menschenrecht weltweit,wirtschaft
133,german mut klima- schutz nachhaltig entwicklung,wirtschaft
134,chance aufbau eigentum zukunftssicherung,wirtschaft
135,frei demokrat setzen freiheit verantwortung,wirtschaft
136,setzen kraft sozial marktwirtschaft wirtschaftlich prosperität gegenmodell dirigisti sch staat klein-klein verzetteln erziehungsberechtigter bürgerin bürger aufführen,wirtschaft
137,stehen lebendig kulturszene entfaltung individuell kreativität,wirtschaft
138,gesellschaft zusam- menhalt vorgegeben leben entwurf anpassen,wirtschaft
139,respektieren persönlich entscheidung jeder einzelnen grundlage freiheit mensch erkennen,wirtschaft
140,frei demokrat setzen freiheit rechtsstaat bürgerrecht krisenzeit gelten privileg abtun belieben zuteilen vorenthalten,wirtschaft
141,frei demokrat setzen kraft eigenverantwortung privatinitiative   freiheit individuum,wirtschaft
142,land ge- meinsam unser wertepartner global westen freiheit menschenrecht weltweit entschlossen verteidigen global kooperation nachhaltig entwicklung wohle mensch befördern,wirtschaft
143,frei demokrat erkennen agenda vereint nation ziel umfassend versuch menschheit verschieden aspekt nach- haltiger entwicklung global verbindend zielsystem bringen,wirtschaft
144,chance freiheit zukünftig generation,wirtschaft
145,land beitrag global entwicklung leisten frieden welt dienen,wirtschaft
146,frei demokrat setzen weltoffenheit toleranz wettbewerb idee lebendig demokratie selbstbewusst bürgerin bürger,wirtschaft
147,ziel,wirtschaft
148,richtig richtung,Politik und Ideologie
149,unser land richtig rich tung geben,Politik und Ideologie
150,frei demokrat mitwirken,wirtschaft
151,stimme fortschritt freiheit krise gemeinsam bürgerin bürger bewältigen deutschland potential entfesseln,wirtschaft
152,legen programm überzeugung,wirtschaft
153,taktik farbenspiel,wirtschaft
154,treten   bundestagswahl koalition überzeugung richtig weg land,Politik und Ideologie
155,stark seriös bund regierung frei demokrat bilden wert freiheit politisch entscheidung angemessen bedeutung erhalten,wirtschaft
156,möglichst idee umsetzen,wirtschaft
157,ge wählen kanzler kanzlerin,wirtschaft
158,stellen wahl,wirtschaft
159,stellen wahl unser land individuell freiheit persönlich verantwortung sozial marktwirtschaft umfassend nachhaltig keit,wirtschaft
160,staat stark schlank modern agieren selbstzufrieden altmodisch träge,wirtschaft
161,programm frei demokrat bundestagswahl bleiben demokratie usa setzen kurs kräftig anhaltend wirtschaftswachstum,wirtschaft
162,systemisch wettbewerber autoritär regime china reklamieren erfolgreich weg krise,wirtschaft
163,umso entschlossen fundament aufholwettbewerb legen weltspitze wettbewerbsfähigkeit steuer abgabe,wirtschaft
164,investieren massiv grundlage aufstieg wachstum bildungssystem,wirtschaft
165,lassen infrastruktur lang verkommen bauen,wirtschaft
166,stärke kraft sozial markt wirtschaft freihandel,wirtschaft
167,bringen verhältnis privat staat leistungsbereitschaft fördernd balance,wirtschaft
168,geben mittelstand selbstständig start-up raum erfolg kreativ lösung,wirtschaft
169,ermutigen erschweren mission,wirtschaft
170,coronakrise deutschland wirtschaft fahrt verlieren,wirtschaft
171,trotz krise schnell wachstumskurs,wirtschaft
172,zukunftsfähig standort arbeitsplatz brauchen echt modernisierungsimpul- se,wirtschaft
173,frei demokrat setzen innovation kraft sozial marktwirtschaft agenda wachstum entlasten entfesseln investieren,wirtschaft
174,schnell hilfe negativ gewinnsteuer wirtschaftskrise   frei demokrat fordern kurzfristig liquidi tätshilfe direkt finanzamt auszahlen,wirtschaft
175,steuervorauszahlungen konto unternehmen abzu- buchen überweisen finanzamt negativ einkommen beziehungsweise körperschaftsteuer liquiditätssoforthilfe negativ gewinnsteuer,wirtschaft
176,bemessungsgrundlage dienen letzter steuerbescheid,wirtschaft
177,schritt deutlich erweitert verlustverrechnung gewinn vergange ner künftig einführen,wirtschaft
178,sorgen   wirtschaftlich krisenzeit schnell unbürokratisch hilfe verhindern unnötig jobverlust insolvenz,wirtschaft
179,entfesselungspakt deutsch wirtschaft   frei demokrat fordern entfesselungspakt   deutsch wirtschaft maßnahme bürokratie- entlastung bündeln vorantreiben,wirtschaft
180,stetig wachsend bürokratiedschungel belasten bürgerin   bürger deutsch unternehmen bremsen wirtschaftlich entwicklung,wirtschaft
181,initiative bürokratie   programm frei demokrat bundestagswahl   entlastungsgesetz iv strategie einheitlich ansprech partner   verlegung sozialversicherungsbei träge folgemonat gesamtstrategie bündeln,wirtschaft
182,gelten schlanker vergabe register informationsbestimmung,wirtschaft
183,belas tung geplant regelung doppelt umfang belastung abbauen one two out europäisch ebene,Politik und Ideologie
184,unternehmensteuerlast prozent senken   frei demokrat steuerlich belastung unternehmen oecd-durchschnitt organisation wirtschaftlich zusammenarbeit entwicklung   prozent senken,wirtschaft
