text;topic;label;score;hate_label;hate_score;labels;scores;Top 3
gelten ganztag weiterführend schule kind ermöglichen behinderung;Bildung;positiv;0.6708062887;neutral;0.9451232553;Bildung;0.2524471283;
beratung versorgungsstruktur notwendig;Infrastruktur;neutral;0.6997532248;neutral;0.9804899096;Infrastruktur;0.2249855548;
patientin selbstbestimmt informiert grundlage entscheidung treffen pro- blemen wirksam zeitnah durchsetzen krankenkasse;Gesundheit;positiv;0.8184501529;neutral;0.9704868793;Gesundheit;0.2475821823;
verständlich information zutat herkunft herstellung ökologisch fußabdruck nötig transpa- renz sorgen;wirtschaft;positiv;0.7775834203;neutral;0.9887274504;wirtschaft;0.2170601189;
mobilität   ff;Infrastruktur;neutral;0.7345952988;neutral;0.9647074938;Infrastruktur;0.1990816593;
bürger*inne;Politik und Ideologie;neutral;0.562435329;neutral;0.9872360826;Politik und Ideologie;0.2327766716;
erreichen planung inf- rastrukturvorhab auswirkung klima natur umwelt umfassend prüfen berücksichtigen;Klima;neutral;0.7813224196;neutral;0.9874324799;Klima;0.2462977469;
beweislastumkehr absatz;wirtschaft;neutral;0.8779075146;neutral;0.9727175236;wirtschaft;0.2564669549;
europäer*inne unser stark gemeinsam binnenmarkt international standard setzen innovation vor- antreiben;wirtschaft;neutral;0.5919843912;neutral;0.988604784;wirtschaft;0.4230318367;
währungsordnung;wirtschaft;neutral;0.7953249216;neutral;0.9676231742;wirtschaft;0.6396443248;
leben künftig wissenschaftler*inn künstlerin forscher*in betrieb hochschule außeruniversitär einrichtung permanent leidenschaft idee arbeiten antwort frage stellen;Wissenschaft;neutral;0.6173929572;neutral;0.988188982;Wissenschaft;0.5836952925;
sicherheit cyber informationsraum schaffen   digitalisierung technologie bieten möglichkei ten schaffen risiko offen demokratisch gesellschaf ten werfen bestimmt bereich schwerwiegend ethisch politisch rechtlich frage;Wissenschaft;positiv;0.794388473;neutral;0.9862416983;Wissenschaft;0.2344641834;
gleich berechtigung kooperation zusammenhalt vielfalt maßstab bürger*innennahen staat verwirklichen;Politik und Ideologie;positiv;0.5797271132;neutral;0.9872074723;Politik und Ideologie;0.29179883;
region versorgungsproblem kämpfen investieren gestalten;Infrastruktur;neutral;0.5096161962;neutral;0.9859742522;Infrastruktur;0.3049562573;
künstlersozialkaß ksk finanziell stärken rechtssicherheit mitgliedschaft ksk künstler*innen zeitweise produktion versicherungspflichtig anstellen schaffen freiwillig weiterversicherung selbständige arbeitslosenversicherung vereinfachen;Politik und Ideologie;neutral;0.7303606272;neutral;0.9814474583;Politik und Ideologie;0.2302093953;
sauber bilanz deutsch kapitalmarkt   bilanzskandal wirecard zuständig wirtschaftsprü fer*inne staatlich aufsicht aufgabe scheitern;wirtschaft;negativ;0.7381138206;neutral;0.9766765237;wirtschaft;0.398504138;
