text;topic;label;score;hate_label;hate_score;labels;scores;Top 3
schule inklusiv;Bildung;neutral;0.5988746881484985;neutral;0.9823744297027588;bildung;0.3534606099128723;
weiterbildung spielen entschei- dend rolle;Bildung;neutral;0.5269302129745483;neutral;0.9898293614387512;bildung ;0.8576768636703491;
kontrolle demokratisch              konversionsbehandlung;Gesundheit;neutral;0.8303405046463013;negativ;0.9826052188873292;wirtschaft;0.1906520575284958;
atomwaffe deutsch land stationieren;Gesundheit;neutral;0.5839549899101257;negativ;0.9899925589561462;none;0.3119665086269378;
verbindlich bürger*innen- foren einrichten;Infrastruktur;neutral;0.7319812178611755;neutral;0.9901589751243592;bildung;0.2653090357780456;
wohnortnah sozial zentrum dorf schaffen ort begegnung dienen grundlegend dienst leistung post bank öffentlich internetzugang anbieten;Infrastruktur;neutral;0.7231146693229675;neutral;0.9866657853126526;wirtschaft;0.2805831432342529;
betreffen insbesondere erder wärmung massenhaft artensterbe veränderung landnutzung störung phosphor stickstoff kreisläufe;Klima;neutral;0.4997698664665222;neutral;0.9763572812080384;wirtschaft;0.3042406439781189;
gesellschaft arbeiter*inn angestellter klimaschutz leis- ten;Klima;neutral;0.6394838690757751;neutral;0.6653539538383484;klima;0.2657400667667389;
generell befristung gewerbemietverträg abschaf- fen;Infrastruktur;neutral;0.6884459257125854;neutral;0.9912789463996888;bildung;0.3224657773971557;
ohnefrieden   frieden abrüstung;Politik und Ideologie;neutral;0.6302488446235657;neutral;0.9844405651092528;none;0.9520775079727172;
forschungsprogramm zukünftig transparent partizipativ prozess entwickeln expertenwissen allgemeinheit einbinden;Wissenschaft;neutral;0.781650960445404;neutral;0.9852280616760254;wissenschaft;0.3069263994693756;
pfandsystem energiesparlampe einwegbecher mobil telefon fernseher elektro gerät einführen batterie sammelquote erhöhen verwer tung verbessern;Wissenschaft;neutral;0.8272521495819092;neutral;0.9873148202896118;wirtschaft;0.2245550900697708;
rechnen krise schutz hilfe erhalten;soziale Ursachen;neutral;0.6790727376937866;neutral;0.9891397356987;gesundheit;0.2805372476577759;
menschenrechtskonform bundes- teilhabegesetz kostenvorbe halten einkommen vermögensan rechnung zumutbarkeitsprüfung vorsehen tatsächlich chance gerechtigkeit schaffen;soziale Ursachen;neutral;0.7430213093757629;neutral;0.9900707602500916;wirtschaft;0.3095199763774872;
bleiben;Wirtschaft;neutral;0.6177866458892822;neutral;0.9886130094528198;wirtschaft;0.4810870587825775;
weiterbildungsangebot arbeit agentur jobcenter ausbauen;Wirtschaft;neutral;0.8274826407432556;neutral;0.9890505075454712;wirtschaft;0.5135669112205505;
