text;topic;sentiment_label;score;sentence;hate_label;hate_score;sequence;labels;scores;Top 3
nn gestatten öffentlich schule weder   lehrerin schülerin tragen;Bildung;neutral;0.6752240061759949;nn nicht gestattet und in öffentlichen Schulen weder  von Lehrerinnen noch Schülerinnen getragen wird;neutral;0.9825382232666016;nn nicht gestattet und in öffentlichen Schulen weder  von Lehrerinnen noch Schülerinnen getragen wird;bildung;0.2922376692295074;
afd fordern flächendeckend überprüfung moscheevereine koranschule verfassung feindlichkeit;Politik und Ideologie;neutral;0.6948931217193604;Die AfD fordert die flächendeckende Überprüfung aller Moscheevereine mit Koranschulen auf Verfassungs- feindlichkeit;neutral;0.9821741580963136;Die AfD fordert die flächendeckende Überprüfung aller Moscheevereine mit Koranschulen auf Verfassungs- feindlichkeit;politik und ideologie;0.3749925494194031;
afd fordern polizei soldat rettungsdienste bundeseinheitlich besoldung angemessen vergütung gefährdungszulag zulage überstunde sondereinsatz;wirtschaft;neutral;0.5910703539848328;Die AfD fordert für Polizei, Soldaten und Rettungsdienste eine bundeseinheitliche Besoldung und angemessene Vergütungen mit Gefährdungszulagen sowie weitere Zulagen für Überstunden und Sondereinsätze;neutral;0.97896009683609;Die AfD fordert für Polizei, Soldaten und Rettungsdienste eine bundeseinheitliche Besoldung und angemessene Vergütungen mit Gefährdungszulagen sowie weitere Zulagen für Überstunden und Sondereinsätze;wirtschaft;0.3573504686355591;
abgeord   netenvergütung politisch idealismus rege lung hinsichtlich   motivation kandidatur nebentätigkeit   mandat;Politik und Ideologie;neutral;0.7090876698493958;Nicht die Abgeord- __  netenvergütung, sondern politischer Idealismus soll Wir wollen die Rege- lungen hinsichtlich der  Motivation zur Kandidatur für ein Nebentätigkeiten von  Mandat sein;neutral;0.9591264128684998;Nicht die Abgeord- __  netenvergütung, sondern politischer Idealismus soll Wir wollen die Rege- lungen hinsichtlich der  Motivation zur Kandidatur für ein Nebentätigkeiten von  Mandat sein;olitik und ideologie;0.8495635390281677;
volk nationalbewusstsein dauer bestehen;Soziale Ursachen;neutral;0.7155539989471436;Ein Volk ohne Nationalbewusstsein kann auf die Dauer nicht bestehen;neutral;0.9873090386390686;Ein Volk ohne Nationalbewusstsein kann auf die Dauer nicht bestehen;soziale ursachen;0.3995295166969299;
weiterentwicklung bestehend siedlungstläche ermöglichen;Infrastruktur;neutral;0.4838219285011291;Die Weiterentwicklung bestehender Siedlungstlächen ist zu ermöglichen;neutral;0.984747052192688;Die Weiterentwicklung bestehender Siedlungstlächen ist zu ermöglichen;infrastruktur;0.4099204540252685;
post abortion-syndrom pas;Wissenschaft;neutral;0.483638197183609;das Post- Abortion-Syndrom (PAS);neutral;0.982419490814209;das Post- Abortion-Syndrom (PAS);wissenschaft;0.3988648355007171;
mobilitätundinfrastruktur;Infrastruktur;neutral;0.8449633121490479;MobilitätundInfrastruktur;neutral;0.9676231741905212;MobilitätundInfrastruktur;infrastruktur;0.8148818016052246;
stadt land gleichrangig entwickeln;wirtschaft;neutral;0.718885064125061;Stadt und Land gleichrangig entwickeln;neutral;0.9872176051139832;Stadt und Land gleichrangig entwickeln;wirtschaft;0.5082884430885315;
eeg ersatzlos streichen vorrang einspeisung beenden;Klima;neutral;0.7353172898292542;Wir wollen das EEG ersatzlos streichen und die Vorrang- einspeisung beenden;neutral;0.989222288131714;Wir wollen das EEG ersatzlos streichen und die Vorrang- einspeisung beenden;klima;0.2426404953002929;
privatisierung zentralisierung gehören zurückgedrehen anwendung finden nachweisbar notwendig einsatzfähigkeit truppe erhöhen;Wirtschaft;neutral;0.6835360527038574;Privatisierungen und Zentralisierungen gehören zurückgedreht und dürfen nur noch dort Anwendung finden, wo sie nachweisbar notwendig sind und die Einsatzfähigkeit der Truppe erhöhen;neutral;0.98101544380188;Privatisierungen und Zentralisierungen gehören zurückgedreht und dürfen nur noch dort Anwendung finden, wo sie nachweisbar notwendig sind und die Einsatzfähigkeit der Truppe erhöhen;wirtschaft;0.3044236898422241;
setzen bewahrung heimatlich landschaftsbild umwelt tierwelt;Klima;neutral;0.6839625835418701;Wir setzen uns für die Bewahrung des heimatlichen Landschaftsbildes, unserer Umwelt und Tierwelt ein;neutral;0.9807434678077698;Wir setzen uns für die Bewahrung des heimatlichen Landschaftsbildes, unserer Umwelt und Tierwelt ein;klima;0.3960720598697662;
qualität entscheidung bürger sichern ausgeprägt auto- nomen prozess willensbildung information pflicht -rechte breit gesellschaftlich debatte;soziale Ursachen;neutral;0.78282630443573;Die Qualität der Entscheidung der Bürger muss gesichert werden durch einen ausgeprägten und auto- nomen Prozess der Willensbildung, durch Informations- pflichten und -rechte und eine breite gesellschaftliche Debatte;neutral;0.9797499179840088;Die Qualität der Entscheidung der Bürger muss gesichert werden durch einen ausgeprägten und auto- nomen Prozess der Willensbildung, durch Informations- pflichten und -rechte und eine breite gesellschaftliche Debatte;soziale ursachen;0.3617050945758819;
gebilde verfügen weder staatsvolk erforderlich mindestmaf kulturell identität notwendig voraussetzun gen gelingend staat;soziale Ursachen;neutral;0.6495578289031982;Ein solches Gebilde verfügt weder über ein Staatsvolk, noch über das erforderliche Mindestmafs an kultureller Identität, welche notwendige Voraussetzun- gen für gelingende Staaten sind;neutral;0.9876415729522704;Ein solches Gebilde verfügt weder über ein Staatsvolk, noch über das erforderliche Mindestmafs an kultureller Identität, welche notwendige Voraussetzun- gen für gelingende Staaten sind;soziale ursachen;0.3122895359992981;
