text;topic;sentiment_label;score;sentence;hate_label;hate_score;sequence;labels;scores;Top 3
setzen zudem ausweitung pflegewissenschaft hochschule sodass dual studium pflegebereich berufsfeld personengruppe öffnen;Bildung;positiv;0.5309001207351685;Wir setzen uns zudem für die Ausweitung von Pflegewissenschaften an den Hochschulen ein, sodass auch ein (duales) Studium für den Pflegebereich das Berufsfeld für neue Personengruppen öffnen kann;neutral;0.984060525894165;Wir setzen uns zudem für die Ausweitung von Pflegewissenschaften an den Hochschulen ein, sodass auch ein (duales) Studium für den Pflegebereich das Berufsfeld für neue Personengruppen öffnen kann;bildung;0.4412189126014709;
brauchen innova tion qualitätssicherung vergleichbarkeit   programm frei demokrat bundestagswahl   schule unterschiedlich leistungsniveau schülerin schüler individuell gerecht;Bildung;neutral;0.7520405650138855;Wir brauchen mehr Innova- tionen und Qualitätssicherung durch Vergleichbarkeit in der  Das Programm der Freien Demokraten zur Bundestagswahl  und die Schule kann den unterschiedlichen Leistungsniveaus der Schülerinnen und Schüler individueller gerecht werden;neutral;0.9894000887870787;Wir brauchen mehr Innova- tionen und Qualitätssicherung durch Vergleichbarkeit in der  Das Programm der Freien Demokraten zur Bundestagswahl  und die Schule kann den unterschiedlichen Leistungsniveaus der Schülerinnen und Schüler individueller gerecht werden;bildung;0.405988484621048;
pädagogin pädagoge experimentell forschend lernen kitas ausbilden;Bildung;neutral;0.7898640036582947;Pädagoginnen und Pädagogen müssen für experimentelles und forschendes Lernen in allen Kitas ausgebildet werden;neutral;0.987911581993103;Pädagoginnen und Pädagogen müssen für experimentelles und forschendes Lernen in allen Kitas ausgebildet werden;bildung;0.4928693771362304;
krisenzeit aktuell covid-pandemie geraten menschenrecht international stark druck;Gesundheit;negativ;0.7858447432518005;Gerade in Krisenzeiten wie der aktuellen Covid-Pandemie geraten Menschenrechte international aber stärker unter Druck;neutral;0.9839490056037904;Gerade in Krisenzeiten wie der aktuellen Covid-Pandemie geraten Menschenrechte international aber stärker unter Druck;gesundheit;0.3059751987457275;
mensch wohnortnah qualitativ hoch- wertig medizinisch versorgung sichern;Gesundheit;neutral;0.4718208611011505;Wir wollen allen Menschen eine wohnortnahe und qualitativ hoch- wertige medizinische Versorgung sichern;neutral;0.9866122007369996;Wir wollen allen Menschen eine wohnortnahe und qualitativ hoch- wertige medizinische Versorgung sichern;gesundheit;0.2667600214481354;
nachhaltige nutzung fischbestand sichern   frei demokrat jeglicher fischerei konsequent grundsatz nachhaltig entwicklung orientie- ren;Gesundheit;positiv;0.7224847078323364;Nachhaltige Nutzung der Fischbestände sichern  Wir Freie Demokraten wollen jegliche Fischerei konsequent an den Grundsätzen der nachhaltigen Entwicklung orientie- ren;neutral;0.981110453605652;Nachhaltige Nutzung der Fischbestände sichern  Wir Freie Demokraten wollen jegliche Fischerei konsequent an den Grundsätzen der nachhaltigen Entwicklung orientie- ren;gesundheit;0.2469087839126587;
ältere mensch   alten seniorenwohnheimen zugang schnell internet;Infrastruktur;neutral;0.7753185629844666;Ältere Menschen sollen auch  in Alten- oder Seniorenwohnheimen Zugang zum schnellen Internet haben;neutral;0.983764946460724;Ältere Menschen sollen auch  in Alten- oder Seniorenwohnheimen Zugang zum schnellen Internet haben;infrastruktur;0.3262622356414795;
ziel person gut schiene transportieren;Infrastruktur;neutral;0.7444711327552795;Ziel ist es, mehr Personen und Güter auf der Schiene zu transportieren;neutral;0.9756069183349608;Ziel ist es, mehr Personen und Güter auf der Schiene zu transportieren;infrastruktur;0.2417199164628982;
sein bürgerin bürger staatsangehörigkeit bürger klasse;Infrastruktur;negativ;0.5352310538291931;Sonst wären Bürgerinnen und Bürger mit einer weiteren Staatsangehörigkeit nur Bürger zweiter Klasse;neutral;0.9405490159988404;Sonst wären Bürgerinnen und Bürger mit einer weiteren Staatsangehörigkeit nur Bürger zweiter Klasse;infrastruktur;0.416924387216568;
technologiefeindlichkeit aufbrechen;Klima;neutral;0.6133444905281067;Technologiefeindlichkeit wollen wir aufbrechen;neutral;0.9890815019607544;Technologiefeindlichkeit wollen wir aufbrechen;klima;0.2643937468528747;
schaffen anreiz investition klimafreundlich technologie;Klima;neutral;0.5986429452896118;So schaffen wir Anreize für Investitionen in klimafreundliche Technologien;neutral;0.9848029613494872;So schaffen wir Anreize für Investitionen in klimafreundliche Technologien;klima;0.4760853946208954;
reise individualverkehr innovation ökologisch;Klima;neutral;0.7299749851226807;Deshalb müssen Reisen und Individualverkehr durch Innovationen ökologischer werden;neutral;0.984591007232666;Deshalb müssen Reisen und Individualverkehr durch Innovationen ökologischer werden;klima;0.2339973598718643;
kontinuierlich versorgungssicher heit garantieren eu-mitgliedstaat weiterhin energieimport angewiesen;Politik und Ideologie;neutral;0.6565644145011902;Um eine kontinuierliche Versorgungssicher- heit zu garantieren, sind die EU-Mitgliedstaaten auch weiterhin auf Energieimporte angewiesen;neutral;0.9868516325950624;Um eine kontinuierliche Versorgungssicher- heit zu garantieren, sind die EU-Mitgliedstaaten auch weiterhin auf Energieimporte angewiesen;politik und ideologie;0.2662490308284759;
einsatz uploadfilter lehnen immense gefahr meinung kunstfreiheit netz weiterhin;Politik und Ideologie;positiv;0.8707379102706909;Den Einsatz von Uploadfiltern lehnen wir als immense Gefahr für Meinungs- und Kunstfreiheit im Netz jedoch weiterhin ab;neutral;0.987703025341034;Den Einsatz von Uploadfiltern lehnen wir als immense Gefahr für Meinungs- und Kunstfreiheit im Netz jedoch weiterhin ab;politik und ideologie;0.2790508568286896;
unser land richtig rich tung geben;Politik und Ideologie;positiv;0.4485751390457153;Nie gab es mehr zu tun, um unserem Land die richtige Rich- tung zu geben;neutral;0.989215075969696;Nie gab es mehr zu tun, um unserem Land die richtige Rich- tung zu geben;politik und ideologie;0.3649271130561828;
setzen schlüsseltechnologie offen innovationsfördernd rahmenbedingung;Wissenschaft;neutral;0.6405754685401917;Daher setzen wir uns in diesen Schlüsseltechnologien für offenere und innovationsfördernde Rahmenbedingungen ein;neutral;0.9812434315681458;Daher setzen wir uns in diesen Schlüsseltechnologien für offenere und innovationsfördernde Rahmenbedingungen ein;wissenschaft;0.4573909342288971;
setzen zudem kooperativ maßnahme überwachung gesetzlich regelung grundlage wissenschaftlich erkenntnis basieren weiterentwickeln;Wissenschaft;neutral;0.7819521427154541;Wir setzen zudem auf kooperative Maßnahmen zur Überwachung gesetzlicher Regelungen, die immer auf Grundlage wissenschaftlicher Erkenntnisse basieren und weiterentwickelt werden müssen;neutral;0.9790048599243164;Wir setzen zudem auf kooperative Maßnahmen zur Überwachung gesetzlicher Regelungen, die immer auf Grundlage wissenschaftlicher Erkenntnisse basieren und weiterentwickelt werden müssen;wissenschaft;0.6544498801231384;
tempo wasserstoff   frei demokrat wasserstoff synthetisch kraftstoff strom säule künftig ener     giesystem aufbauen hochlauf wasserstoffwirt schaft schnellstmöglich vorantreiben;Wissenschaft;neutral;0.7036426663398743;Mehr Tempo beim Wasserstoff  Wir Freie Demokraten wollen Wasserstoff und synthetische Kraftstoffe neben Strom als zweite Säule des künftigen Ener-    giesystems aufbauen und den Hochlauf der Wasserstoffwirt- schaft schnellstmöglich vorantreiben;neutral;0.9609232544898988;Mehr Tempo beim Wasserstoff  Wir Freie Demokraten wollen Wasserstoff und synthetische Kraftstoffe neben Strom als zweite Säule des künftigen Ener-    giesystems aufbauen und den Hochlauf der Wasserstoffwirt- schaft schnellstmöglich vorantreiben;wissenschaft;0.3632315695285797;
