text,topic,label,score,hate_label,hate_score,labels,scores,Top 3
nn gestatten öffentlich schule weder   lehrerin schülerin tragen,Bildung,negativ,0.6752240061759949,neutral,0.9825382232666016,none,0.2922376692295074,"[('none', 0.29223766922950745), ('soziale ursachen', 0.19449391961097717), ('bildung', 0.15075184404850006)]"
afd fordern flächendeckend überprüfung moscheevereine koranschule verfassung feindlichkeit,Bildung,neutral,0.6948931217193604,neutral,0.9821741580963136,politik und ideologie,0.3749925494194031,"[('politik und ideologie', 0.3749925494194031), ('bildung', 0.24953515827655792), ('gesundheit', 0.17928621172904968)]"
abgeord   netenvergütung politisch idealismus rege lung hinsichtlich   motivation kandidatur nebentätigkeit   mandat,Gesundheit,neutral,0.7090876698493958,neutral,0.9591264128684998,politik und ideologie,0.8495635390281677,"[('politik und ideologie', 0.8495635390281677), ('bildung', 0.049009714275598526), ('gesundheit', 0.04709716513752937)]"
volk nationalbewusstsein dauer bestehen,Gesundheit,negativ,0.7155539989471436,neutral,0.9873090386390686,gesundheit,0.3995295166969299,"[('gesundheit', 0.39952951669692993), ('bildung', 0.27412110567092896), ('klima', 0.08310125023126602)]"
post abortion-syndrom pas,Infrastruktur,neutral,0.483638197183609,neutral,0.982419490814209,bildung,0.3988648355007171,"[('bildung', 0.39886483550071716), ('wissenschaft', 0.12479246407747269), ('politik und ideologie', 0.12090499699115753)]"
mobilitätundinfrastruktur,Infrastruktur,neutral,0.8449633121490479,neutral,0.9676231741905212,infrastruktur,0.8148818016052246,"[('infrastruktur', 0.8148818016052246), ('gesundheit', 0.045920778065919876), ('klima', 0.034016601741313934)]"
eeg ersatzlos streichen vorrang einspeisung beenden,Klima,negativ,0.7353172898292542,neutral,0.989222288131714,gesundheit,0.2426404953002929,"[('gesundheit', 0.24264049530029297), ('bildung', 0.17439498007297516), ('wissenschaft', 0.1514233946800232)]"
privatisierung zentralisierung gehören zurückgedrehen anwendung finden nachweisbar notwendig einsatzfähigkeit truppe erhöhen,Klima,neutral,0.6835360527038574,neutral,0.98101544380188,bildung,0.3044236898422241,"[('bildung', 0.3044236898422241), ('gesundheit', 0.13630172610282898), ('wirtschaft', 0.11708521842956543)]"
qualität entscheidung bürger sichern ausgeprägt auto- nomen prozess willensbildung information pflicht -rechte breit gesellschaftlich debatte,Politik und Ideologie,neutral,0.78282630443573,neutral,0.9797499179840088,bildung,0.3617050945758819,"[('bildung', 0.36170509457588196), ('gesundheit', 0.167584627866745), ('soziale ursachen', 0.12811174988746643)]"
gebilde verfügen weder staatsvolk erforderlich mindestmaf kulturell identität notwendig voraussetzun gen gelingend staat,Politik und Ideologie,neutral,0.6495578289031982,neutral,0.9876415729522704,bildung,0.3122895359992981,"[('bildung', 0.3122895359992981), ('gesundheit', 0.22314849495887756), ('politik und ideologie', 0.17468677461147308)]"
partei beschränken   partei politisch system mitwirken art,Wissenschaft,neutral,0.7553414106369019,neutral,0.9811681509017944,politik und ideologie,0.5512018799781799,"[('politik und ideologie', 0.5512018799781799), ('bildung', 0.1873394101858139), ('gesundheit', 0.14343003928661346)]"
sicherheit bürger verbessern,Wissenschaft,neutral,0.5708634853363037,neutral,0.988783061504364,gesundheit,0.3800924718379974,"[('gesundheit', 0.38009247183799744), ('bildung', 0.16385941207408905), ('wirtschaft', 0.09604980796575546)]"
verhinderung abschiebung straftatbestand erklären,soziale Ursachen,neutral,0.6122834086418152,neutral,0.9559839367866516,bildung,0.3506786227226257,"[('bildung', 0.35067862272262573), ('gesundheit', 0.32091861963272095), ('klima', 0.07201764732599258)]"
vereint nation reformieren verändert gewichtung welt rech nung tragen,soziale Ursachen,neutral,0.7353603839874268,neutral,0.9553297162055968,bildung,0.3594559729099273,"[('bildung', 0.35945597290992737), ('gesundheit', 0.1550801396369934), ('politik und ideologie', 0.15149550139904022)]"
setzen aufkauf fläche landwirtschafts- fremd investor erschweren,wirtschaft,neutral,0.6331537961959839,neutral,0.9766659140586852,wirtschaft,0.4224464297294616,"[('wirtschaft', 0.42244642972946167), ('bildung', 0.20366698503494263), ('gesundheit', 0.1902877688407898)]"
zukünftig instrument kostenersparnis kostenträger leistungsgerechtigkeit patient behandlungsqualität,wirtschaft,neutral,0.7052695155143738,neutral,0.9555479288101196,bildung,0.4003377258777618,"[('bildung', 0.40033772587776184), ('gesundheit', 0.12122448533773422), ('infrastruktur', 0.11045856028795242)]"
