text,topic,label,score,sentence,hate_label,hate_score,sequence,labels,scores,Top 3
nn gestatten öffentlich schule weder   lehrerin schülerin tragen,Bildung,negativ,0.6752240061759949,nn nicht gestattet und in öffentlichen Schulen weder  von Lehrerinnen noch Schülerinnen getragen wird,neutral,0.9825382232666016,nn nicht gestattet und in öffentlichen Schulen weder  von Lehrerinnen noch Schülerinnen getragen wird,none,0.2922376692295074,"[('none', 0.29223766922950745), ('soziale ursachen', 0.19449391961097717), ('bildung', 0.15075184404850006)]"
afd fordern flächendeckend überprüfung moscheevereine koranschule verfassung feindlichkeit,Bildung,neutral,0.6948931217193604,Die AfD fordert die flächendeckende Überprüfung aller Moscheevereine mit Koranschulen auf Verfassungs- feindlichkeit,neutral,0.9821741580963136,Die AfD fordert die flächendeckende Überprüfung aller Moscheevereine mit Koranschulen auf Verfassungs- feindlichkeit,politik und ideologie,0.3749925494194031,"[('politik und ideologie', 0.3749925494194031), ('bildung', 0.24953515827655792), ('gesundheit', 0.17928621172904968)]"
afd fordern polizei soldat rettungsdienste bundeseinheitlich besoldung angemessen vergütung gefährdungszulag zulage überstunde sondereinsatz,Bildung,neutral,0.5910703539848328,"Die AfD fordert für Polizei, Soldaten und Rettungsdienste eine bundeseinheitliche Besoldung und angemessene Vergütungen mit Gefährdungszulagen sowie weitere Zulagen für Überstunden und Sondereinsätze",neutral,0.97896009683609,"Die AfD fordert für Polizei, Soldaten und Rettungsdienste eine bundeseinheitliche Besoldung und angemessene Vergütungen mit Gefährdungszulagen sowie weitere Zulagen für Überstunden und Sondereinsätze",politik und ideologie,0.3573504686355591,"[('politik und ideologie', 0.3573504686355591), ('bildung', 0.27232763171195984), ('gesundheit', 0.16980014741420746)]"
abgeord   netenvergütung politisch idealismus rege lung hinsichtlich   motivation kandidatur nebentätigkeit   mandat,Gesundheit,neutral,0.7090876698493958,"Nicht die Abgeord- __  netenvergütung, sondern politischer Idealismus soll Wir wollen die Rege- lungen hinsichtlich der  Motivation zur Kandidatur für ein Nebentätigkeiten von  Mandat sein",neutral,0.9591264128684998,"Nicht die Abgeord- __  netenvergütung, sondern politischer Idealismus soll Wir wollen die Rege- lungen hinsichtlich der  Motivation zur Kandidatur für ein Nebentätigkeiten von  Mandat sein",politik und ideologie,0.8495635390281677,"[('politik und ideologie', 0.8495635390281677), ('bildung', 0.049009714275598526), ('gesundheit', 0.04709716513752937)]"
volk nationalbewusstsein dauer bestehen,Gesundheit,negativ,0.7155539989471436,Ein Volk ohne Nationalbewusstsein kann auf die Dauer nicht bestehen,neutral,0.9873090386390686,Ein Volk ohne Nationalbewusstsein kann auf die Dauer nicht bestehen,gesundheit,0.3995295166969299,"[('gesundheit', 0.39952951669692993), ('bildung', 0.27412110567092896), ('klima', 0.08310125023126602)]"
weiterentwicklung bestehend siedlungstläche ermöglichen,Gesundheit,neutral,0.4838219285011291,Die Weiterentwicklung bestehender Siedlungstlächen ist zu ermöglichen,neutral,0.984747052192688,Die Weiterentwicklung bestehender Siedlungstlächen ist zu ermöglichen,gesundheit,0.4099204540252685,"[('gesundheit', 0.40992045402526855), ('bildung', 0.23145966231822968), ('infrastruktur', 0.07271245121955872)]"
post abortion-syndrom pas,Infrastruktur,neutral,0.483638197183609,das Post- Abortion-Syndrom (PAS),neutral,0.982419490814209,das Post- Abortion-Syndrom (PAS),bildung,0.3988648355007171,"[('bildung', 0.39886483550071716), ('wissenschaft', 0.12479246407747269), ('politik und ideologie', 0.12090499699115753)]"
mobilitätundinfrastruktur,Infrastruktur,neutral,0.8449633121490479,MobilitätundInfrastruktur,neutral,0.9676231741905212,MobilitätundInfrastruktur,infrastruktur,0.8148818016052246,"[('infrastruktur', 0.8148818016052246), ('gesundheit', 0.045920778065919876), ('klima', 0.034016601741313934)]"
stadt land gleichrangig entwickeln,Infrastruktur,neutral,0.718885064125061,Stadt und Land gleichrangig entwickeln,neutral,0.9872176051139832,Stadt und Land gleichrangig entwickeln,bildung,0.5082884430885315,"[('bildung', 0.5082884430885315), ('gesundheit', 0.14968647062778473), ('wirtschaft', 0.10690709203481674)]"
eeg ersatzlos streichen vorrang einspeisung beenden,Klima,negativ,0.7353172898292542,Wir wollen das EEG ersatzlos streichen und die Vorrang- einspeisung beenden,neutral,0.989222288131714,Wir wollen das EEG ersatzlos streichen und die Vorrang- einspeisung beenden,gesundheit,0.2426404953002929,"[('gesundheit', 0.24264049530029297), ('bildung', 0.17439498007297516), ('wissenschaft', 0.1514233946800232)]"
privatisierung zentralisierung gehören zurückgedrehen anwendung finden nachweisbar notwendig einsatzfähigkeit truppe erhöhen,Klima,neutral,0.6835360527038574,"Privatisierungen und Zentralisierungen gehören zurückgedreht und dürfen nur noch dort Anwendung finden, wo sie nachweisbar notwendig sind und die Einsatzfähigkeit der Truppe erhöhen",neutral,0.98101544380188,"Privatisierungen und Zentralisierungen gehören zurückgedreht und dürfen nur noch dort Anwendung finden, wo sie nachweisbar notwendig sind und die Einsatzfähigkeit der Truppe erhöhen",bildung,0.3044236898422241,"[('bildung', 0.3044236898422241), ('gesundheit', 0.13630172610282898), ('wirtschaft', 0.11708521842956543)]"
setzen bewahrung heimatlich landschaftsbild umwelt tierwelt,Klima,neutral,0.6839625835418701,"Wir setzen uns für die Bewahrung des heimatlichen Landschaftsbildes, unserer Umwelt und Tierwelt ein",neutral,0.9807434678077698,"Wir setzen uns für die Bewahrung des heimatlichen Landschaftsbildes, unserer Umwelt und Tierwelt ein",bildung,0.3960720598697662,"[('bildung', 0.39607205986976624), ('gesundheit', 0.3287715017795563), ('soziale ursachen', 0.0648036077618599)]"
qualität entscheidung bürger sichern ausgeprägt auto- nomen prozess willensbildung information pflicht -rechte breit gesellschaftlich debatte,Politik und Ideologie,neutral,0.78282630443573,"Die Qualität der Entscheidung der Bürger muss gesichert werden durch einen ausgeprägten und auto- nomen Prozess der Willensbildung, durch Informations- pflichten und -rechte und eine breite gesellschaftliche Debatte",neutral,0.9797499179840088,"Die Qualität der Entscheidung der Bürger muss gesichert werden durch einen ausgeprägten und auto- nomen Prozess der Willensbildung, durch Informations- pflichten und -rechte und eine breite gesellschaftliche Debatte",bildung,0.3617050945758819,"[('bildung', 0.36170509457588196), ('gesundheit', 0.167584627866745), ('soziale ursachen', 0.12811174988746643)]"
gebilde verfügen weder staatsvolk erforderlich mindestmaf kulturell identität notwendig voraussetzun gen gelingend staat,Politik und Ideologie,neutral,0.6495578289031982,"Ein solches Gebilde verfügt weder über ein Staatsvolk, noch über das erforderliche Mindestmafs an kultureller Identität, welche notwendige Voraussetzun- gen für gelingende Staaten sind",neutral,0.9876415729522704,"Ein solches Gebilde verfügt weder über ein Staatsvolk, noch über das erforderliche Mindestmafs an kultureller Identität, welche notwendige Voraussetzun- gen für gelingende Staaten sind",bildung,0.3122895359992981,"[('bildung', 0.3122895359992981), ('gesundheit', 0.22314849495887756), ('politik und ideologie', 0.17468677461147308)]"
