text,topic,sentiment_label,sentiment_score,sentence,hate_label,hate_score,sequence,labels,scores,Top 3
e besonderer sprachförderbedarf feststellen verpflichtend qualitativ wirksam durchgehend sprachförderung kindertagesstätte vorschule erteilen,Bildung,neutral,0.7880309224128723,"e Dort, wo ein besonderer Sprachförderbedarf festgestellt wird, muss eine verpflichtende, qualitativ wirksame und durchgehende Sprachförderung in einer Kindertagesstätte oder Vorschule erteilt werden",neutral,0.916532337665558,"e Dort, wo ein besonderer Sprachförderbedarf festgestellt wird, muss eine verpflichtende, qualitativ wirksame und durchgehende Sprachförderung in einer Kindertagesstätte oder Vorschule erteilt werden",gesundheit,0.3379838466644287,"[('gesundheit', 0.3379838466644287), ('bildung', 0.2631058096885681), ('infrastruktur', 0.12869836390018463)]"
notwendig transformation begleiten bedeutung projektarbeit stärken prozessbegleitend beratung weiterbildung fördern rechtsfra- gen klären,Bildung,neutral,0.6838392615318298,"Die notwendige Transformation wollen wir begleiten, um die Bedeutung der Projektarbeit zu stärken, prozessbegleitende Beratung und Weiterbildung zu fördern und Rechtsfra- gen zu klären",neutral,0.992514669895172,"Die notwendige Transformation wollen wir begleiten, um die Bedeutung der Projektarbeit zu stärken, prozessbegleitende Beratung und Weiterbildung zu fördern und Rechtsfra- gen zu klären",gesundheit,0.266405701637268,"[('gesundheit', 0.26640570163726807), ('bildung', 0.19786570966243744), ('none', 0.1024232730269432)]"
aufstieg bildung   jeder kind individuell lebenschance nutzen zukunftsverspre chen aufstieg bildung bestand beitrag leisten fürsorglich unterstützend eltern engagiert erzieherinne lehrkraft ermutigend in- spirierend ausbilder professor,Bildung,neutral,0.6617191433906555,"Aufstieg durch Bildung  Damit jedes Kind seine individuellen Lebenschancen nutzen kann und das Zukunftsverspre- chen Aufstieg durch Bildung Bestand hat, müssen alle ihren Beitrag leisten: fürsorgliche und unterstützende Eltern, engagierte Erzieherinnen und Lehrkräfte, ermutigende und in- spirierende Ausbilder und Professoren",neutral,0.8854617476463318,"Aufstieg durch Bildung  Damit jedes Kind seine individuellen Lebenschancen nutzen kann und das Zukunftsverspre- chen Aufstieg durch Bildung Bestand hat, müssen alle ihren Beitrag leisten: fürsorgliche und unterstützende Eltern, engagierte Erzieherinnen und Lehrkräfte, ermutigende und in- spirierende Ausbilder und Professoren",bildung,0.5802640914916992,"[('bildung', 0.5802640914916992), ('gesundheit', 0.10250402241945267), ('klima', 0.08041896671056747)]"
investieren früh bildung ferienfreizeit familienerholung zusätzlich sozialarbeit,Gesundheit,neutral,0.7412161827087402,"Die Mittel investieren wir in frühe Bildung, Ferienfreizeiten, Familienerholung und zusätzliche Sozialarbeit",neutral,0.9809768795967102,"Die Mittel investieren wir in frühe Bildung, Ferienfreizeiten, Familienerholung und zusätzliche Sozialarbeit",bildung,0.4336075484752655,"[('bildung', 0.4336075484752655), ('wirtschaft', 0.2062818557024002), ('soziale ursachen', 0.12233299762010574)]"
chance digitalisierung künstlichen intelligenz nutzen,Gesundheit,positiv,0.5197040438652039,Dabei wollen wir die Chancen der Digitalisierung und der Künstlichen Intelligenz noch besser nutzen,neutral,0.991134762763977,Dabei wollen wir die Chancen der Digitalisierung und der Künstlichen Intelligenz noch besser nutzen,bildung,0.3039723932743072,"[('bildung', 0.30397239327430725), ('gesundheit', 0.18927891552448273), ('soziale ursachen', 0.11201110482215881)]"
versiegelung reduzieren entsiegelung nachnutzung versiegelt fläche vorantreiben,Gesundheit,neutral,0.6624161005020142,Wir werden die Versiegelung weiter reduzieren und die Entsiegelung und die Nachnutzung von bereits versiegelten Flächen vorantreiben,neutral,0.97514545917511,Wir werden die Versiegelung weiter reduzieren und die Entsiegelung und die Nachnutzung von bereits versiegelten Flächen vorantreiben,bildung,0.2834542691707611,"[('bildung', 0.2834542691707611), ('gesundheit', 0.20341303944587708), ('wirtschaft', 0.13377951085567474)]"
mensch bahn fahrrad umsteigen weiterhin land gut straße auto bus unterwegs,Infrastruktur,neutral,0.7240582704544067,"Immer mehr Menschen wollen auf die Bahn oder das Fahrrad umsteigen, aber auch weiterhin - gerade auf dem Land - auf guten Straßen mit dem Auto oder dem Bus unterwegs sein können",neutral,0.978721797466278,"Immer mehr Menschen wollen auf die Bahn oder das Fahrrad umsteigen, aber auch weiterhin - gerade auf dem Land - auf guten Straßen mit dem Auto oder dem Bus unterwegs sein können",infrastruktur,0.3036670982837677,"[('infrastruktur', 0.3036670982837677), ('gesundheit', 0.18935617804527283), ('bildung', 0.18434475362300873)]"
gesamt bürgerlich vertragsrecht insbesondere elektro- nisch rechtsverkehr modernisieren,Infrastruktur,neutral,0.8177884221076965,"Deshalb werden wir das gesamte bürgerliche Vertragsrecht, insbesondere den elektro- nischen Rechtsverkehr, modernisieren",neutral,0.9857903718948364,"Deshalb werden wir das gesamte bürgerliche Vertragsrecht, insbesondere den elektro- nischen Rechtsverkehr, modernisieren",bildung,0.2802976667881012,"[('bildung', 0.2802976667881012), ('gesundheit', 0.2591266632080078), ('politik und ideologie', 0.11143674701452255)]"
rechtsanspruch bürgerin bürger digital bürgeridentität e-id schaffen,Infrastruktur,neutral,0.8090866804122925,Wir werden einen Rechtsanspruch der Bürgerinnen und Bürger auf eine digitale Bürgeridentität (e-ID) schaffen,neutral,0.9736136794090272,Wir werden einen Rechtsanspruch der Bürgerinnen und Bürger auf eine digitale Bürgeridentität (e-ID) schaffen,bildung,0.3676055073738098,"[('bildung', 0.3676055073738098), ('gesundheit', 0.23310481011867523), ('wissenschaft', 0.08716531842947006)]"
gehören energiegewinnung sonne wind genauso nachhaltig biomaß wasserkraft geothermie ländlich raum,Klima,neutral,0.8574297428131104,"Dazu gehört die Energiegewinnung aus Sonne und Wind genauso wie nachhaltige Biomasse, Wasserkraft und Geothermie im ländlichen Raum",neutral,0.9818465113639832,"Dazu gehört die Energiegewinnung aus Sonne und Wind genauso wie nachhaltige Biomasse, Wasserkraft und Geothermie im ländlichen Raum",wirtschaft,0.2788100242614746,"[('wirtschaft', 0.2788100242614746), ('bildung', 0.22325296700000763), ('gesundheit', 0.21511194109916687)]"
