text,topic,sentiment_label,sentiment_score,sentence,hate_label,score,sequence,labels,scores,Top 3
gelten ganztag weiterführend schule kind ermöglichen behinderung,Bildung,neutral,0.6708958148956299,"Es gilt, Ganztag und gute weiterführende Schulen für alle Kinder zu ermöglichen, ob mit Behinderungen oder ohne",neutral,0.919450044631958,"Es gilt, Ganztag und gute weiterführende Schulen für alle Kinder zu ermöglichen, ob mit Behinderungen oder ohne",infrastruktur,0.2524471282958984,"[('infrastruktur', 0.25244712829589844), ('gesundheit', 0.1854146271944046), ('bildung', 0.17787420749664307)]"
beratung versorgungsstruktur notwendig,Bildung,neutral,0.6997535824775696,In dieser Zeit sind gute Beratungs- und Versorgungsstrukturen notwendig,neutral,0.9869943261146544,In dieser Zeit sind gute Beratungs- und Versorgungsstrukturen notwendig,bildung,0.2249855548143386,"[('bildung', 0.22498555481433868), ('gesundheit', 0.2183721363544464), ('infrastruktur', 0.17026452720165253)]"
begreifen aufgabe gut regel schaffen gut mensch,Bildung,neutral,0.6611337661743164,"Wir begreifen es als unsere Aufgabe, bessere Regeln zu schaffen, nicht den besseren Menschen",neutral,0.988080620765686,"Wir begreifen es als unsere Aufgabe, bessere Regeln zu schaffen, nicht den besseren Menschen",bildung,0.2552487850189209,"[('bildung', 0.2552487850189209), ('gesundheit', 0.15028966963291168), ('politik und ideologie', 0.14946439862251282)]"
patientin selbstbestimmt informiert grundlage entscheidung treffen pro- blemen wirksam zeitnah durchsetzen krankenkasse,Gesundheit,neutral,0.8185032606124878,"Patientinnen sollen selbstbestimmt und auf informierter Grundlage Entscheidungen treffen und bei Pro- blemen ihre Rechte wirksam und zeitnah durchsetzen können, etwa gegenüber ihrer Krankenkasse",neutral,0.9767051339149476,"Patientinnen sollen selbstbestimmt und auf informierter Grundlage Entscheidungen treffen und bei Pro- blemen ihre Rechte wirksam und zeitnah durchsetzen können, etwa gegenüber ihrer Krankenkasse",bildung,0.2475821822881698,"[('bildung', 0.24758218228816986), ('gesundheit', 0.16907936334609985), ('soziale ursachen', 0.13826888799667358)]"
verständlich information zutat herkunft herstellung ökologisch fußabdruck nötig transpa- renz sorgen,Gesundheit,neutral,0.7775806188583374,"Mit verständlichen Informationen über Zutaten, Herkunft, Herstellung und zum ökologischen Fußabdruck wollen wir für die nötige Transpa- renz sorgen",neutral,0.9750115275382996,"Mit verständlichen Informationen über Zutaten, Herkunft, Herstellung und zum ökologischen Fußabdruck wollen wir für die nötige Transpa- renz sorgen",wissenschaft,0.2170601189136505,"[('wissenschaft', 0.2170601189136505), ('bildung', 0.21227826178073883), ('gesundheit', 0.10830546915531158)]"
verurteilen austritt türkei istanbul-konvention fordern rückgängig,Gesundheit,negativ,0.6167517304420471,"Wir verurteilen den Austritt der Türkei aus der Istanbul-Konvention und fordern sie auf, diesen wieder rückgängig zu machen",neutral,0.993061363697052,"Wir verurteilen den Austritt der Türkei aus der Istanbul-Konvention und fordern sie auf, diesen wieder rückgängig zu machen",bildung,0.2404638528823852,"[('bildung', 0.24046385288238525), ('gesundheit', 0.22884586453437805), ('politik und ideologie', 0.14938534796237946)]"
mobilität   ff,Infrastruktur,neutral,0.7345953583717346,Mobilität  ff,neutral,0.9211158156394958,Mobilität  ff,gesundheit,0.1990816593170166,"[('gesundheit', 0.1990816593170166), ('soziale ursachen', 0.16917257010936737), ('none', 0.15129977464675903)]"
bürger*inne,Infrastruktur,neutral,0.5624350905418396,Bürger*innen,neutral,0.9605414271354676,Bürger*innen,bildung,0.2327766716480255,"[('bildung', 0.2327766716480255), ('gesundheit', 0.16209794580936432), ('none', 0.14865826070308685)]"
national fußmobilitätsstrategie schaffen barrierefreiheit verkehrssicherheit aufenthaltsqualität fußgänger*inn,Infrastruktur,neutral,0.4865032434463501,"Mit einer nationalen Fußmobilitätsstrategie schaffen wir Barrierefreiheit, Verkehrssicherheit und mehr Aufenthaltsqualität für Fußgänger*innen",neutral,0.9736641049385072,"Mit einer nationalen Fußmobilitätsstrategie schaffen wir Barrierefreiheit, Verkehrssicherheit und mehr Aufenthaltsqualität für Fußgänger*innen",bildung,0.2902059257030487,"[('bildung', 0.2902059257030487), ('gesundheit', 0.24601449072360992), ('politik und ideologie', 0.10862956196069717)]"
erreichen planung inf- rastrukturvorhab auswirkung klima natur umwelt umfassend prüfen berücksichtigen,Klima,neutral,0.7813253998756409,"Wir wollen erreichen, dass vor jeder Planung von Inf- rastrukturvorhaben die Auswirkungen auf Klima, Natur und Umwelt umfassend geprüft und berücksichtigt werden",neutral,0.9925570487976074,"Wir wollen erreichen, dass vor jeder Planung von Inf- rastrukturvorhaben die Auswirkungen auf Klima, Natur und Umwelt umfassend geprüft und berücksichtigt werden",klima,0.2462977468967437,"[('klima', 0.24629774689674377), ('infrastruktur', 0.2141878306865692), ('bildung', 0.16293539106845856)]"
