text,topic,label,score,hate_label,hate_score,labels,scores,Top 3
schule inklusiv,Bildung,neutral,0.5988746881484985,neutral,0.9823744297027588,bildung,0.3534606099128723,"[('bildung', 0.3534606099128723), ('gesundheit', 0.22968758642673492), ('soziale ursachen', 0.0829850509762764)]"
weiterbildung spielen entschei- dend rolle,Bildung,neutral,0.5269302129745483,neutral,0.9898293614387512,bildung,0.8576768636703491,"[('bildung', 0.8576768636703491), ('gesundheit', 0.06022036075592041), ('wissenschaft', 0.023106001317501068)]"
kontrolle demokratisch              konversionsbehandlung,Gesundheit,neutral,0.8303405046463013,neutral,0.9826052188873292,bildung,0.1906520575284958,"[('bildung', 0.1906520575284958), ('gesundheit', 0.1757030040025711), ('politik und ideologie', 0.17503072321414948)]"
atomwaffe deutsch land stationieren,Gesundheit,negativ,0.5839549899101257,neutral,0.9899925589561462,none,0.3119665086269378,"[('none', 0.31196650862693787), ('bildung', 0.25842878222465515), ('gesundheit', 0.20437736809253693)]"
verbindlich bürger*innen- foren einrichten,Infrastruktur,neutral,0.7319812178611755,neutral,0.9901589751243592,bildung,0.2653090357780456,"[('bildung', 0.26530903577804565), ('gesundheit', 0.2401684671640396), ('politik und ideologie', 0.11070749908685684)]"
wohnortnah sozial zentrum dorf schaffen ort begegnung dienen grundlegend dienst leistung post bank öffentlich internetzugang anbieten,Infrastruktur,neutral,0.7231146693229675,neutral,0.9866657853126526,bildung,0.2805831432342529,"[('bildung', 0.28058314323425293), ('infrastruktur', 0.17826691269874573), ('soziale ursachen', 0.17191414535045624)]"
betreffen insbesondere erder wärmung massenhaft artensterbe veränderung landnutzung störung phosphor stickstoff kreisläufe,Klima,neutral,0.4997698664665222,neutral,0.9763572812080384,bildung,0.3042406439781189,"[('bildung', 0.3042406439781189), ('gesundheit', 0.23863933980464935), ('wirtschaft', 0.10788009315729141)]"
gesellschaft arbeiter*inn angestellter klimaschutz leis- ten,Klima,neutral,0.6394838690757751,neutral,0.6653539538383484,klima,0.2657400667667389,"[('klima', 0.2657400667667389), ('bildung', 0.24421235918998718), ('gesundheit', 0.2254486382007599)]"
generell befristung gewerbemietverträg abschaf- fen,Politik und Ideologie,neutral,0.6884459257125854,neutral,0.9912789463996888,bildung,0.3224657773971557,"[('bildung', 0.32246577739715576), ('gesundheit', 0.22667966783046722), ('wirtschaft', 0.13119415938854218)]"
ohnefrieden   frieden abrüstung,Politik und Ideologie,neutral,0.6302488446235657,neutral,0.9844405651092528,none,0.9520775079727172,"[('none', 0.9520775079727173), ('gesundheit', 0.013153979554772377), ('soziale ursachen', 0.010356911458075047)]"
forschungsprogramm zukünftig transparent partizipativ prozess entwickeln expertenwissen allgemeinheit einbinden,Wissenschaft,neutral,0.781650960445404,neutral,0.9852280616760254,wissenschaft,0.3069263994693756,"[('wissenschaft', 0.3069263994693756), ('bildung', 0.26408088207244873), ('gesundheit', 0.11562985926866531)]"
pfandsystem energiesparlampe einwegbecher mobil telefon fernseher elektro gerät einführen batterie sammelquote erhöhen verwer tung verbessern,Wissenschaft,neutral,0.8272521495819092,neutral,0.9873148202896118,wirtschaft,0.2245550900697708,"[('wirtschaft', 0.2245550900697708), ('bildung', 0.21741026639938354), ('gesundheit', 0.1823854148387909)]"
rechnen krise schutz hilfe erhalten,soziale Ursachen,neutral,0.6790727376937866,neutral,0.9891397356987,gesundheit,0.2805372476577759,"[('gesundheit', 0.2805372476577759), ('bildung', 0.15565839409828186), ('soziale ursachen', 0.1034240871667862)]"
menschenrechtskonform bundes- teilhabegesetz kostenvorbe halten einkommen vermögensan rechnung zumutbarkeitsprüfung vorsehen tatsächlich chance gerechtigkeit schaffen,soziale Ursachen,neutral,0.7430213093757629,neutral,0.9900707602500916,bildung,0.3095199763774872,"[('bildung', 0.3095199763774872), ('gesundheit', 0.223799467086792), ('wissenschaft', 0.1287989318370819)]"
bleiben,wirtschaft,neutral,0.6177866458892822,neutral,0.9886130094528198,bildung,0.4810870587825775,"[('bildung', 0.4810870587825775), ('gesundheit', 0.17251794040203094), ('none', 0.09010300040245056)]"
weiterbildungsangebot arbeit agentur jobcenter ausbauen,wirtschaft,neutral,0.8274826407432556,neutral,0.9890505075454712,bildung,0.5135669112205505,"[('bildung', 0.5135669112205505), ('gesundheit', 0.13439235091209412), ('wirtschaft', 0.11584115028381348)]"
