text,topic,sentiment_label,sentiment_score,sentence,hate_label,hate_score,sequence,labels,scores,Top 3
schule inklusiv,Bildung,neutral,0.5988748073577881,Eine Schule für alle: inklusiv,neutral,0.9373732209205629,Eine Schule für alle: inklusiv,bildung,0.3534606099128723,"[('bildung', 0.3534606099128723), ('gesundheit', 0.22968758642673492), ('soziale ursachen', 0.0829850509762764)]"
weiterbildung spielen entschei- dend rolle,Bildung,neutral,0.5269303321838379,Die Weiterbildung spielt hier eine entschei- dende Rolle,neutral,0.9769037365913392,Die Weiterbildung spielt hier eine entschei- dende Rolle,bildung,0.8576768636703491,"[('bildung', 0.8576768636703491), ('gesundheit', 0.06022036075592041), ('wissenschaft', 0.023106001317501068)]"
schulgeld grundsätzlich entfallen tarif orientiert ausbildungsgeld zahlen,Bildung,neutral,0.7526420950889587,Schulgeld soll grundsätzlich entfallen und ein am Tarif orientiertes Ausbildungsgeld gezahlt werden,neutral,0.9562851786613464,Schulgeld soll grundsätzlich entfallen und ein am Tarif orientiertes Ausbildungsgeld gezahlt werden,gesundheit,0.3452485799789428,"[('gesundheit', 0.34524857997894287), ('bildung', 0.27524036169052124), ('soziale ursachen', 0.10267679393291473)]"
kontrolle demokratisch              konversionsbehandlung,Gesundheit,neutral,0.8303406834602356,"Kontrolle, demokratische      ,       Konversionsbehandlungen",neutral,0.9139842987060548,"Kontrolle, demokratische      ,       Konversionsbehandlungen",bildung,0.1906520575284958,"[('bildung', 0.1906520575284958), ('gesundheit', 0.1757030040025711), ('politik und ideologie', 0.17503072321414948)]"
atomwaffe deutsch land stationieren,Gesundheit,negativ,0.5841142535209656,Es dürfen keine Atomwaffen in Deutsch- land stationiert sein und werden,neutral,0.9283004999160768,Es dürfen keine Atomwaffen in Deutsch- land stationiert sein und werden,none,0.3119665086269378,"[('none', 0.31196650862693787), ('bildung', 0.25842878222465515), ('gesundheit', 0.20437736809253693)]"
krankenhaus kommu- nale öffentlich gemeinnützig hand überführen,Gesundheit,neutral,0.7327307462692261,"Wir wollen Krankenhäuser in kommu- nale, öffentliche oder gemeinnützige Hand überführen",neutral,0.9308286309242249,"Wir wollen Krankenhäuser in kommu- nale, öffentliche oder gemeinnützige Hand überführen",gesundheit,0.451428472995758,"[('gesundheit', 0.45142847299575806), ('bildung', 0.1237744465470314), ('infrastruktur', 0.11055755615234375)]"
verbindlich bürger*innen- foren einrichten,Infrastruktur,neutral,0.7319812774658203,Wir wollen verbindliche Bürger*innen- foren einrichten,neutral,0.990714192390442,Wir wollen verbindliche Bürger*innen- foren einrichten,bildung,0.2653090357780456,"[('bildung', 0.26530903577804565), ('gesundheit', 0.2401684671640396), ('politik und ideologie', 0.11070749908685684)]"
wohnortnah sozial zentrum dorf schaffen ort begegnung dienen grundlegend dienst leistung post bank öffentlich internetzugang anbieten,Infrastruktur,neutral,0.7231231331825256,"Wir wollen wohnortnahe soziale Zentren in den Dörfern schaffen, die als Orte der Begegnung dienen und grundlegende Dienst- leistungen wie Post, Bank und Öffentlichen Internetzugang anbieten",neutral,0.9780411124229432,"Wir wollen wohnortnahe soziale Zentren in den Dörfern schaffen, die als Orte der Begegnung dienen und grundlegende Dienst- leistungen wie Post, Bank und Öffentlichen Internetzugang anbieten",bildung,0.2805831432342529,"[('bildung', 0.28058314323425293), ('infrastruktur', 0.17826691269874573), ('soziale ursachen', 0.17191414535045624)]"
db groß stadt nachtzüg liegewagen anfahren,Infrastruktur,neutral,0.8497615456581116,Die DB soll alle Groß- städte auch mit Nachtzügen (Liegewagen) anfahren,neutral,0.9754897356033324,Die DB soll alle Groß- städte auch mit Nachtzügen (Liegewagen) anfahren,bildung,0.3518376350402832,"[('bildung', 0.3518376350402832), ('gesundheit', 0.24446305632591248), ('infrastruktur', 0.09846702963113785)]"
betreffen insbesondere erder wärmung massenhaft artensterbe veränderung landnutzung störung phosphor stickstoff kreisläufe,Klima,neutral,0.4997095465660095,"Das betrifft insbesondere die Erder- wärmung, das massenhafte Artensterben, die Veränderung der Landnutzung sowie die Störung der Phosphor- und Stickstoff- kreisläufe",neutral,0.9400187730789183,"Das betrifft insbesondere die Erder- wärmung, das massenhafte Artensterben, die Veränderung der Landnutzung sowie die Störung der Phosphor- und Stickstoff- kreisläufe",bildung,0.3042406439781189,"[('bildung', 0.3042406439781189), ('gesundheit', 0.23863933980464935), ('wirtschaft', 0.10788009315729141)]"
gesellschaft arbeiter*inn angestellter klimaschutz leis- ten,Klima,neutral,0.639498770236969,"Wir wollen eine Gesellschaft, in der sich Arbeiter*innen und Angestellte den Klimaschutz auch leis- ten können",neutral,0.9269528388977052,"Wir wollen eine Gesellschaft, in der sich Arbeiter*innen und Angestellte den Klimaschutz auch leis- ten können",klima,0.2657400667667389,"[('klima', 0.2657400667667389), ('bildung', 0.24421235918998718), ('gesundheit', 0.2254486382007599)]"
häufig lagern industrieland klima umweltschutz- maßnahme waldschutz initiative global süden entziehen verantwortung,Klima,neutral,0.76009601354599,"Immer häufiger lagern Industrieländer Klima- und Umweltschutz- maßnahmen, zum Beispiel Waldschutz- Initiativen, in den Globalen Süden aus und entziehen sich so ihrer Verantwortung",neutral,0.9666764140129088,"Immer häufiger lagern Industrieländer Klima- und Umweltschutz- maßnahmen, zum Beispiel Waldschutz- Initiativen, in den Globalen Süden aus und entziehen sich so ihrer Verantwortung",klima,0.361725389957428,"[('klima', 0.361725389957428), ('bildung', 0.2600948214530945), ('gesundheit', 0.15591305494308472)]"
generell befristung gewerbemietverträg abschaf- fen,Politik und Ideologie,neutral,0.6882748603820801,Die generelle Befristung von Gewerbemietverträgen wollen wir abschaf- fen,neutral,0.9895440340042114,Die generelle Befristung von Gewerbemietverträgen wollen wir abschaf- fen,bildung,0.3224657773971557,"[('bildung', 0.32246577739715576), ('gesundheit', 0.22667966783046722), ('wirtschaft', 0.13119415938854218)]"
ohnefrieden   frieden abrüstung,Politik und Ideologie,neutral,0.630288302898407,OhneFrieden ist alles nichts:  Für Frieden und Abrüstung,neutral,0.9780027270317078,OhneFrieden ist alles nichts:  Für Frieden und Abrüstung,none,0.9520775079727172,"[('none', 0.9520775079727173), ('gesundheit', 0.013153979554772377), ('soziale ursachen', 0.010356911458075047)]"
betreuung sozial zentrum finden tariflich bezahlt arbeitsplatz,Politik und Ideologie,neutral,0.8888259530067444,Die Betreuung der sozialen Zentren findet über tariflich bezahlte Arbeitsplätze statt,neutral,0.9524838328361512,Die Betreuung der sozialen Zentren findet über tariflich bezahlte Arbeitsplätze statt,soziale ursachen,0.4168856143951416,"[('soziale ursachen', 0.4168856143951416), ('bildung', 0.20979343354701996), ('gesundheit', 0.15621674060821533)]"
forschungsprogramm zukünftig transparent partizipativ prozess entwickeln expertenwissen allgemeinheit einbinden,Wissenschaft,neutral,0.7818484902381897,"Forschungsprogramme sollen zukünftig in einem transparenten und partizipativen Prozess entwickelt werden, der neben Expertenwissen die Allgemeinheit einbindet",neutral,0.9898887276649476,"Forschungsprogramme sollen zukünftig in einem transparenten und partizipativen Prozess entwickelt werden, der neben Expertenwissen die Allgemeinheit einbindet",wissenschaft,0.3069263994693756,"[('wissenschaft', 0.3069263994693756), ('bildung', 0.26408088207244873), ('gesundheit', 0.11562985926866531)]"
pfandsystem energiesparlampe einwegbecher mobil telefon fernseher elektro gerät einführen batterie sammelquote erhöhen verwer tung verbessern,Wissenschaft,neutral,0.8273079991340637,"Wir wollen ein Pfandsystem für Energiesparlampen, Einwegbecher, Mobil- telefone, Fernseher und weitere Elektro- geräte einführen und Batterien, um die Sammelquote zu erhöhen und die Verwer- tung zu verbessern",neutral,0.9772945642471312,"Wir wollen ein Pfandsystem für Energiesparlampen, Einwegbecher, Mobil- telefone, Fernseher und weitere Elektro- geräte einführen und Batterien, um die Sammelquote zu erhöhen und die Verwer- tung zu verbessern",wirtschaft,0.2245550900697708,"[('wirtschaft', 0.2245550900697708), ('bildung', 0.21741026639938354), ('gesundheit', 0.1823854148387909)]"
digitalisierung nutzen entscheiden,Wissenschaft,neutral,0.8835086226463318,"Wem die Digitalisierung nutzt, wird jetzt entschieden",neutral,0.9914816617965698,"Wem die Digitalisierung nutzt, wird jetzt entschieden",gesundheit,0.4820437431335449,"[('gesundheit', 0.4820437431335449), ('bildung', 0.22720828652381897), ('wissenschaft', 0.08085766434669495)]"
rechnen krise schutz hilfe erhalten,soziale Ursachen,neutral,0.679061233997345,"Wir wollen, dass alle damit rechnen können, in Krisen Schutz und Hilfe zu erhalten",neutral,0.9926758408546448,"Wir wollen, dass alle damit rechnen können, in Krisen Schutz und Hilfe zu erhalten",gesundheit,0.2805372476577759,"[('gesundheit', 0.2805372476577759), ('bildung', 0.15565839409828186), ('soziale ursachen', 0.1034240871667862)]"
menschenrechtskonform bundes- teilhabegesetz kostenvorbe halten einkommen vermögensan rechnung zumutbarkeitsprüfung vorsehen tatsächlich chance gerechtigkeit schaffen,soziale Ursachen,neutral,0.7431033253669739,"Ein menschenrechtskonformes Bundes- teilhabegesetz, das keine Kostenvorbe- halte, Einkommens- sowie Vermögensan- rechnungen und Zumutbarkeitsprüfungen vorsieht und so tatsächliche Chancen- gerechtigkeit schafft",neutral,0.980663001537323,"Ein menschenrechtskonformes Bundes- teilhabegesetz, das keine Kostenvorbe- halte, Einkommens- sowie Vermögensan- rechnungen und Zumutbarkeitsprüfungen vorsieht und so tatsächliche Chancen- gerechtigkeit schafft",bildung,0.3095199763774872,"[('bildung', 0.3095199763774872), ('gesundheit', 0.223799467086792), ('wissenschaft', 0.1287989318370819)]"
  überall welt kriegser   klärung einsetzen usa,soziale Ursachen,neutral,0.7371207475662231,"Und sie  können überall auf der Welt ohne Kriegser-  klärung, eingesetzt werden, so wie die USA es seit Jahren machen",neutral,0.9813412427902222,"Und sie  können überall auf der Welt ohne Kriegser-  klärung, eingesetzt werden, so wie die USA es seit Jahren machen",gesundheit,0.341409832239151,"[('gesundheit', 0.341409832239151), ('bildung', 0.19229759275913239), ('klima', 0.14354315400123596)]"
bleiben,wirtschaft,neutral,0.6177869439125061,Dabei bleibt es,neutral,0.97093403339386,Dabei bleibt es,bildung,0.4810870587825775,"[('bildung', 0.4810870587825775), ('gesundheit', 0.17251794040203094), ('none', 0.09010300040245056)]"
weiterbildungsangebot arbeit agentur jobcenter ausbauen,wirtschaft,neutral,0.8274835348129272,Weiterbildungsangebote der Arbeits- agentur und Jobcenter müssen ausgebaut werden,neutral,0.9777125120162964,Weiterbildungsangebote der Arbeits- agentur und Jobcenter müssen ausgebaut werden,bildung,0.5135669112205505,"[('bildung', 0.5135669112205505), ('gesundheit', 0.13439235091209412), ('wirtschaft', 0.11584115028381348)]"
