text,topic,label,score,hate_label,hate_score,labels,scores,Top 3
setzen zudem ausweitung pflegewissenschaft hochschule sodass dual studium pflegebereich berufsfeld personengruppe öffnen,Bildung,neutral,0.5309001207351685,neutral,0.984060525894165,wissenschaft,0.4412189126014709,"[('wissenschaft', 0.44121891260147095), ('bildung', 0.20240002870559692), ('gesundheit', 0.09997193515300751)]"
brauchen innova tion qualitätssicherung vergleichbarkeit   programm frei demokrat bundestagswahl   schule unterschiedlich leistungsniveau schülerin schüler individuell gerecht,Bildung,neutral,0.7520405650138855,neutral,0.9894000887870787,politik und ideologie,0.405988484621048,"[('politik und ideologie', 0.405988484621048), ('bildung', 0.14295093715190887), ('gesundheit', 0.1411837488412857)]"
krisenzeit aktuell covid-pandemie geraten menschenrecht international stark druck,Gesundheit,negativ,0.7858447432518005,neutral,0.9839490056037904,bildung,0.3059751987457275,"[('bildung', 0.30597519874572754), ('gesundheit', 0.26130735874176025), ('politik und ideologie', 0.12360000610351562)]"
mensch wohnortnah qualitativ hoch- wertig medizinisch versorgung sichern,Gesundheit,neutral,0.4718208611011505,neutral,0.9866122007369996,gesundheit,0.2667600214481354,"[('gesundheit', 0.2667600214481354), ('infrastruktur', 0.2110496461391449), ('bildung', 0.17389193177223206)]"
ältere mensch   alten seniorenwohnheimen zugang schnell internet,Infrastruktur,neutral,0.7753185629844666,neutral,0.983764946460724,gesundheit,0.3262622356414795,"[('gesundheit', 0.3262622356414795), ('bildung', 0.2506732940673828), ('soziale ursachen', 0.09587293863296509)]"
ziel person gut schiene transportieren,Infrastruktur,neutral,0.7444711327552795,neutral,0.9756069183349608,bildung,0.2417199164628982,"[('bildung', 0.24171991646289825), ('wirtschaft', 0.16831327974796295), ('infrastruktur', 0.16591030359268188)]"
technologiefeindlichkeit aufbrechen,Klima,negativ,0.6133444905281067,neutral,0.9890815019607544,bildung,0.2643937468528747,"[('bildung', 0.26439374685287476), ('gesundheit', 0.2310580015182495), ('soziale ursachen', 0.15590502321720123)]"
schaffen anreiz investition klimafreundlich technologie,Klima,positiv,0.5986429452896118,neutral,0.9848029613494872,klima,0.4760853946208954,"[('klima', 0.4760853946208954), ('bildung', 0.1710914522409439), ('gesundheit', 0.10479043424129486)]"
kontinuierlich versorgungssicher heit garantieren eu-mitgliedstaat weiterhin energieimport angewiesen,Politik und Ideologie,neutral,0.6565644145011902,neutral,0.9868516325950624,bildung,0.2662490308284759,"[('bildung', 0.26624903082847595), ('gesundheit', 0.25042569637298584), ('wissenschaft', 0.10881276428699493)]"
einsatz uploadfilter lehnen immense gefahr meinung kunstfreiheit netz weiterhin,Politik und Ideologie,negativ,0.8707379102706909,neutral,0.987703025341034,soziale ursachen,0.2790508568286896,"[('soziale ursachen', 0.2790508568286896), ('gesundheit', 0.2387835532426834), ('bildung', 0.16302265226840973)]"
setzen schlüsseltechnologie offen innovationsfördernd rahmenbedingung,Wissenschaft,positiv,0.6405754685401917,neutral,0.9812434315681458,bildung,0.4573909342288971,"[('bildung', 0.4573909342288971), ('soziale ursachen', 0.09308737516403198), ('gesundheit', 0.08013691008090973)]"
setzen zudem kooperativ maßnahme überwachung gesetzlich regelung grundlage wissenschaftlich erkenntnis basieren weiterentwickeln,Wissenschaft,neutral,0.7819521427154541,neutral,0.9790048599243164,wissenschaft,0.6544498801231384,"[('wissenschaft', 0.6544498801231384), ('bildung', 0.1260441243648529), ('gesundheit', 0.049210548400878906)]"
pflegend angehörige tragend säule pflegerisch versorgung unser land,soziale Ursachen,neutral,0.7221620082855225,neutral,0.882013201713562,gesundheit,0.4900093972682953,"[('gesundheit', 0.4900093972682953), ('soziale ursachen', 0.1786501556634903), ('bildung', 0.16141104698181152)]"
stellen wahl,soziale Ursachen,neutral,0.7328759431838989,neutral,0.9896129965782166,gesundheit,0.2715567350387573,"[('gesundheit', 0.2715567350387573), ('bildung', 0.15937747061252594), ('politik und ideologie', 0.12678419053554535)]"
digital landwirtschaft smart farming   frei demokrat chance digitalisie rung landwirtschaft nutzen,wirtschaft,positiv,0.5140466690063477,neutral,0.9845582842826844,wirtschaft,0.5999475121498108,"[('wirtschaft', 0.5999475121498108), ('bildung', 0.1492438167333603), ('politik und ideologie', 0.09991157054901123)]"
blick demographisch wandel entwicklung sozialabgabe unvertretbar pflegefinanzierung zukünftig generation abwälzen,wirtschaft,neutral,0.5408053994178772,neutral,0.9708957076072692,bildung,0.2601142823696136,"[('bildung', 0.26011428236961365), ('gesundheit', 0.2498190701007843), ('soziale ursachen', 0.2415991723537445)]"
