text,topic,sentiment_label,sentiment_score,sentence,hate_label,hate_score,sequence,labels,scores,Top 3
setzen zudem ausweitung pflegewissenschaft hochschule sodass dual studium pflegebereich berufsfeld personengruppe öffnen,Bildung,neutral,0.5314156413078308,"Wir setzen uns zudem für die Ausweitung von Pflegewissenschaften an den Hochschulen ein, sodass auch ein (duales) Studium für den Pflegebereich das Berufsfeld für neue Personengruppen öffnen kann",neutral,0.9926885962486268,"Wir setzen uns zudem für die Ausweitung von Pflegewissenschaften an den Hochschulen ein, sodass auch ein (duales) Studium für den Pflegebereich das Berufsfeld für neue Personengruppen öffnen kann",wissenschaft,0.4412189126014709,"[('wissenschaft', 0.44121891260147095), ('bildung', 0.20240002870559692), ('gesundheit', 0.09997193515300751)]"
brauchen innova tion qualitätssicherung vergleichbarkeit   programm frei demokrat bundestagswahl   schule unterschiedlich leistungsniveau schülerin schüler individuell gerecht,Bildung,neutral,0.7520886063575745,Wir brauchen mehr Innova- tionen und Qualitätssicherung durch Vergleichbarkeit in der  Das Programm der Freien Demokraten zur Bundestagswahl  und die Schule kann den unterschiedlichen Leistungsniveaus der Schülerinnen und Schüler individueller gerecht werden,neutral,0.9687904119491576,Wir brauchen mehr Innova- tionen und Qualitätssicherung durch Vergleichbarkeit in der  Das Programm der Freien Demokraten zur Bundestagswahl  und die Schule kann den unterschiedlichen Leistungsniveaus der Schülerinnen und Schüler individueller gerecht werden,politik und ideologie,0.405988484621048,"[('politik und ideologie', 0.405988484621048), ('bildung', 0.14295093715190887), ('gesundheit', 0.1411837488412857)]"
pädagogin pädagoge experimentell forschend lernen kitas ausbilden,Bildung,neutral,0.7899344563484192,Pädagoginnen und Pädagogen müssen für experimentelles und forschendes Lernen in allen Kitas ausgebildet werden,neutral,0.8884842395782471,Pädagoginnen und Pädagogen müssen für experimentelles und forschendes Lernen in allen Kitas ausgebildet werden,bildung,0.4928693771362304,"[('bildung', 0.49286937713623047), ('wissenschaft', 0.1280839741230011), ('gesundheit', 0.09032649546861649)]"
krisenzeit aktuell covid-pandemie geraten menschenrecht international stark druck,Gesundheit,negativ,0.7856553792953491,Gerade in Krisenzeiten wie der aktuellen Covid-Pandemie geraten Menschenrechte international aber stärker unter Druck,neutral,0.9905244708061218,Gerade in Krisenzeiten wie der aktuellen Covid-Pandemie geraten Menschenrechte international aber stärker unter Druck,bildung,0.3059751987457275,"[('bildung', 0.30597519874572754), ('gesundheit', 0.26130735874176025), ('politik und ideologie', 0.12360000610351562)]"
mensch wohnortnah qualitativ hoch- wertig medizinisch versorgung sichern,Gesundheit,neutral,0.4718239605426788,Wir wollen allen Menschen eine wohnortnahe und qualitativ hoch- wertige medizinische Versorgung sichern,neutral,0.9825814366340636,Wir wollen allen Menschen eine wohnortnahe und qualitativ hoch- wertige medizinische Versorgung sichern,gesundheit,0.2667600214481354,"[('gesundheit', 0.2667600214481354), ('infrastruktur', 0.2110496461391449), ('bildung', 0.17389193177223206)]"
nachhaltige nutzung fischbestand sichern   frei demokrat jeglicher fischerei konsequent grundsatz nachhaltig entwicklung orientie- ren,Gesundheit,neutral,0.7225452661514282,Nachhaltige Nutzung der Fischbestände sichern  Wir Freie Demokraten wollen jegliche Fischerei konsequent an den Grundsätzen der nachhaltigen Entwicklung orientie- ren,neutral,0.9843426942825316,Nachhaltige Nutzung der Fischbestände sichern  Wir Freie Demokraten wollen jegliche Fischerei konsequent an den Grundsätzen der nachhaltigen Entwicklung orientie- ren,politik und ideologie,0.2469087839126587,"[('politik und ideologie', 0.2469087839126587), ('gesundheit', 0.22484077513217926), ('bildung', 0.18179188668727875)]"
ältere mensch   alten seniorenwohnheimen zugang schnell internet,Infrastruktur,neutral,0.7754514217376709,Ältere Menschen sollen auch  in Alten- oder Seniorenwohnheimen Zugang zum schnellen Internet haben,neutral,0.9519842267036438,Ältere Menschen sollen auch  in Alten- oder Seniorenwohnheimen Zugang zum schnellen Internet haben,gesundheit,0.3262622356414795,"[('gesundheit', 0.3262622356414795), ('bildung', 0.2506732940673828), ('soziale ursachen', 0.09587293863296509)]"
ziel person gut schiene transportieren,Infrastruktur,neutral,0.7445178627967834,"Ziel ist es, mehr Personen und Güter auf der Schiene zu transportieren",neutral,0.9796308279037476,"Ziel ist es, mehr Personen und Güter auf der Schiene zu transportieren",bildung,0.2417199164628982,"[('bildung', 0.24171991646289825), ('wirtschaft', 0.16831327974796295), ('infrastruktur', 0.16591030359268188)]"
sein bürgerin bürger staatsangehörigkeit bürger klasse,Infrastruktur,neutral,0.5349857807159424,Sonst wären Bürgerinnen und Bürger mit einer weiteren Staatsangehörigkeit nur Bürger zweiter Klasse,neutral,0.9371336102485656,Sonst wären Bürgerinnen und Bürger mit einer weiteren Staatsangehörigkeit nur Bürger zweiter Klasse,bildung,0.416924387216568,"[('bildung', 0.416924387216568), ('gesundheit', 0.21202166378498077), ('soziale ursachen', 0.09494944661855698)]"
technologiefeindlichkeit aufbrechen,Klima,negativ,0.6133442521095276,Technologiefeindlichkeit wollen wir aufbrechen,neutral,0.634782075881958,Technologiefeindlichkeit wollen wir aufbrechen,bildung,0.2643937468528747,"[('bildung', 0.26439374685287476), ('gesundheit', 0.2310580015182495), ('soziale ursachen', 0.15590502321720123)]"
schaffen anreiz investition klimafreundlich technologie,Klima,positiv,0.5984732508659363,So schaffen wir Anreize für Investitionen in klimafreundliche Technologien,neutral,0.990321934223175,So schaffen wir Anreize für Investitionen in klimafreundliche Technologien,klima,0.4760853946208954,"[('klima', 0.4760853946208954), ('bildung', 0.1710914522409439), ('gesundheit', 0.10479043424129486)]"
reise individualverkehr innovation ökologisch,Klima,neutral,0.7299752831459045,Deshalb müssen Reisen und Individualverkehr durch Innovationen ökologischer werden,neutral,0.9675918221473694,Deshalb müssen Reisen und Individualverkehr durch Innovationen ökologischer werden,bildung,0.2339973598718643,"[('bildung', 0.23399735987186432), ('gesundheit', 0.207366943359375), ('soziale ursachen', 0.14445266127586365)]"
